x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
0.421141,-7.384617,0.821606,0.578394,0.059996,0.607659,3.276100
0.664443,-7.351737,0.861644,0.538356,0.139729,0.044166,3.271685
0.906662,-7.316330,0.902245,0.497755,0.151145,0.049096,3.219573
1.147838,-7.278113,0.947517,0.452483,0.163810,0.054669,3.129042
1.387821,-7.236799,0.947772,0.355328,0.178437,0.065543,3.009370
1.626307,-7.191819,0.994819,0.305181,0.196030,0.079632,2.869835
1.862675,-7.142502,1.060068,0.277132,0.218615,0.107768,2.719716
2.096122,-7.087442,1.183629,0.314171,0.248282,0.139502,2.568291
2.326655,-7.024877,1.218911,0.287789,0.283173,0.152548,2.424838
2.554137,-6.954163,1.325326,0.350474,0.322757,0.180022,2.298637
2.777701,-6.874024,1.380785,0.382815,0.368436,0.204174,2.198965
2.997229,-6.783100,1.416496,0.420404,0.417642,0.209359,2.132642
3.212925,-6.680895,1.429171,0.458429,0.466800,0.202461,2.096732
3.424700,-6.567677,1.418918,0.490182,0.514558,0.195556,2.085864
3.632117,-6.443901,1.395746,0.520754,0.561580,0.193998,2.094670
3.834649,-6.309756,1.343567,0.533033,0.608418,0.191666,2.117783
4.031953,-6.165389,1.284688,0.545712,0.654253,0.183471,2.149837
4.223806,-6.011298,1.236419,0.568381,0.699007,0.180527,2.185464
4.409721,-5.847839,1.194471,0.594629,0.744141,0.184239,2.219294
4.589045,-5.675018,1.149553,0.614647,0.790575,0.188715,2.246253
4.761120,-5.492784,1.137374,0.661526,0.839061,0.198186,2.262446
4.925040,-5.300878,1.116746,0.694754,0.890834,0.212047,2.264272
5.079611,-5.098903,1.110376,0.745024,0.945850,0.220566,2.248132
5.223804,-4.886736,1.081174,0.769726,1.004108,0.233678,2.210422
5.356187,-4.664245,1.065052,0.800648,1.065658,0.241803,2.147544
5.475549,-4.431495,1.054424,0.834576,1.131806,0.263495,2.055909
5.579836,-4.187937,1.051211,0.872089,1.208555,0.314792,1.931933
5.664687,-3.932403,1.006778,0.862222,1.302413,0.381203,1.772047
5.723841,-3.664318,0.998598,0.884802,1.416899,0.451078,1.577420
5.749744,-3.384090,0.983340,0.894660,1.557756,0.541982,1.368109
5.731313,-3.091333,0.901066,0.831434,1.741829,0.695112,1.168837
5.646996,-2.789208,0.848537,0.789263,1.989034,0.904739,1.004392
5.473248,-2.510706,0.763469,0.707031,2.291775,0.953898,0.899274
5.205515,-2.286841,0.762568,0.686732,2.674593,1.289857,0.877553
4.846799,-2.194853,0.823679,0.703221,-3.138937,1.498823,0.954329
4.501193,-2.288712,0.833946,0.672354,-2.651509,1.482717,1.109895
