x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
0.430179,-7.088981,1.118285,0.281715,0.026964,0.075899,6.015511
0.725517,-7.078087,1.145011,0.254989,0.074805,0.322210,6.050557
0.956255,-7.049554,1.173510,0.226490,0.132851,0.088608,6.072648
1.175409,-7.017965,1.208189,0.191811,0.149682,0.060665,6.082242
1.387854,-6.984465,1.199574,0.103526,0.162776,0.060061,6.079777
1.597156,-6.948702,1.239621,0.060379,0.150075,-0.180413,6.065705
1.807791,-6.920965,1.288165,0.049035,0.198329,0.636810,6.040497
2.012822,-6.865165,1.420265,0.077535,0.256224,-0.088388,6.004668
2.221168,-6.812668,1.454433,0.052267,0.268145,0.195356,5.958732
2.430354,-6.750443,1.561822,0.113978,0.314952,0.233816,5.903231
2.638691,-6.676640,1.620424,0.143176,0.370667,0.269194,5.838760
2.845555,-6.589083,1.661580,0.175320,0.432410,0.279407,5.765819
3.050655,-6.486502,1.682082,0.205518,0.495133,0.268310,5.684760
3.252999,-6.369063,1.682012,0.227088,0.555890,0.252907,5.595907
3.450960,-6.237817,1.671290,0.245210,0.614614,0.243008,5.499655
3.643084,-6.093738,1.633699,0.242901,0.671692,0.232981,5.396145
3.828664,-5.937538,1.591400,0.239000,0.726342,0.218308,5.284456
4.007223,-5.770254,1.561592,0.243208,0.778907,0.212169,5.163397
4.177895,-5.592811,1.539930,0.249170,0.831495,0.215124,5.031903
4.339994,-5.405298,1.517099,0.247101,0.885477,0.219966,4.888725
4.493096,-5.207242,1.528825,0.270075,0.939698,0.213060,4.734583
4.637085,-4.998769,1.532790,0.278710,0.985917,0.153905,4.578478
4.773350,-4.784002,1.546340,0.309060,1.019599,0.112678,4.429685
4.902194,-4.567525,1.528291,0.322609,1.043451,0.076642,4.295828
5.025192,-4.351549,1.511422,0.354278,1.057002,0.031841,4.181722
5.144651,-4.137904,1.485301,0.403699,1.063238,0.019114,4.087685
5.260048,-3.929266,1.449747,0.473553,1.076110,0.091799,4.000835
5.366740,-3.726189,1.356869,0.512131,1.107427,0.183555,3.905264
