x_m,y_m,psi_rad,v_mps,v_mps,s_m,ey_m,epsi_rad,a_mps2,delta_rad,t_s
0.442375270487007,-7.2731031790906115,-0.028417835386181613,8.159600373641975,8.159600373641975,0.0,0.2328241222055705,-0.0010320671753947556,0.9999999230884494,0.0031887067277180945,0.0
0.6999632286849318,-7.280107180802027,-0.021065956551332265,8.18403315386945,8.18403315386945,0.2588155828085715,0.23287886250689144,0.0014570689480556556,0.9999999219611504,-0.0038011667126817547,0.031523021566373044
0.9586131539326794,-7.2846808625304575,-0.02352384498399468,8.205828872139122,8.205828872139122,0.5176240273709414,0.23287290792995255,-0.0015034056202009203,0.999999920694099,0.003939043448009203,0.06288553479799773
1.2181758890477288,-7.291521503520896,-0.024039760580914615,8.222987077376237,8.222987077376237,0.7764358971542489,0.2328791109355494,0.0015518742158888972,0.9999999192880382,-0.004030461424446943,0.09404539647537284
1.4744777859415277,-7.297891019206762,-0.016698410293709668,8.23342098131052,8.23342098131052,1.0352535446693647,0.2328786818292579,-0.0015552477106701905,0.9999999177773518,0.004072826239052813,0.12496329367326947
1.7272181893641294,-7.299296615107042,0.012440839150809974,8.235342535681996,8.235342535681996,1.294050885182735,0.23287925047913327,0.001559753815266275,0.9999999162158784,-0.004117558466874556,0.15561416981445267
1.9762186964780715,-7.292555472706593,0.051128506410209745,8.22762027538956,8.22762027538956,1.5528320853288216,0.23287917323543278,-0.0015603716179288468,0.9999999146849959,0.0041606190813376015,0.18599264143219535
2.2188865308186445,-7.273679561106742,0.12080118213256152,8.209952427926446,8.209952427926446,1.8116097562877616,0.23287931364205744,0.0015615057110149664,0.999999913259068,-0.0042027793088440886,0.21612007050373708
2.457630682126598,-7.235018644917355,0.19268709590755814,8.182924004903892,8.182924004903892,2.0704980828556696,0.23287927999382133,-0.0015617801256310655,0.9999999120382338,0.004238892406623918,0.24604011181370936
2.692546276065722,-7.18054196678799,0.2733241571405979,8.14802245729919,8.14802245729919,2.329605448349927,0.23287933961087026,0.0015622703834941186,0.999999911089738,-0.004266036881399318,0.2758250606510835
2.919144095447754,-7.106672381857807,0.3604135579952217,8.107544918262882,8.107544918262882,2.5886260106519976,0.23287930831340084,-0.0015625293434451037,0.9999999104716856,0.0042802321465243535,0.30556487875298954
3.1372393283585005,-7.012220225007534,0.4566487697981249,8.064289662827301,8.064289662827301,2.847683815985246,0.2328793476276312,0.0015628556563218152,0.9999999101539045,-0.004281675544126222,0.3353651310760221
3.3475549782566247,-6.89684228733511,0.5383802699893477,8.02113125063259,8.02113125063259,3.10689738540109,0.23287930205846932,-0.0015632339279890051,0.9999999100805534,0.00427119105282372,0.36532212853690726
3.5509236964078172,-6.764018731614183,0.6142662178833423,7.980569976287515,7.980569976287515,3.366445887920775,0.2328793456835189,0.001563595089257521,0.9999999101287431,-0.004253298183065864,0.395516910338379
3.745813900894089,-6.6167579094191895,0.6773925456838595,7.944433290787798,7.944433290787798,3.6260621513232456,0.23287925680995336,-0.0015643275121890916,0.9999999102005906,0.004231331289834923,0.4259953920244401
3.9317693723723774,-6.456634803423846,0.7433962748257583,7.913721173160837,7.913721173160837,3.8857955295125137,0.2328793383274785,0.001564995543950257,0.9999999101831193,-0.004210906862032332,0.4567750052299074
4.107998654796454,-6.284700738647121,0.7960949494385685,7.888602508760537,7.888602508760537,4.145291882812426,0.23287910680964324,-0.0015668821197689557,0.9999999100153045,0.004194652402718352,0.48783850525595396
4.30062854238545,-6.07833874546464,0.8373775202449103,7.868492618524075,7.868492618524075,4.420410458627874,0.23287933084621543,0.001568698538699346,0.9999999096438261,-0.004191624996122372,0.5191488489303363
4.443083295145629,-5.914042160243815,0.8748553148056843,7.852260842411112,7.852260842411112,4.679414707712023,0.23287835788536096,-0.001576557057206036,0.9999999090708047,0.004202300135049146,0.5506511308097726
4.5995897705669595,-5.719241343140449,0.9135027890320226,7.838499533866774,7.838499533866774,4.921903029819732,0.23287932843573297,0.0015843770977006244,0.9999999083009075,-0.004419072009096323,0.5822903786081213
4.7492974197309294,-5.5186086012374584,0.9459401126794031,7.8257612390655815,7.8257612390655815,5.180264730811939,0.23285965651933696,-0.0017427313972909573,0.9999999073683079,0.004841582837418657,0.614012881357541
4.8899150249686105,-5.315401612788087,0.9954366687432948,7.812682633458077,7.812682633458077,5.438449611792108,0.23287933185843163,0.0019011706317370296,0.9999999062881804,-0.006876401063157483,0.6457762671831918
5.018028967256781,-5.106408108867674,1.0436339603054254,7.798010206192678,7.798010206192678,5.696024014833217,0.23271016929074526,-0.0032656464097628565,0.9999999050849304,0.010543120851049657,0.6775433410755498
5.135995966200889,-4.889323040270748,1.0986079016141554,7.7805174023372725,7.7805174023372725,5.95373171735348,0.23287934166096533,0.004634069680880116,0.9999999037329501,-0.01549857221996976,0.7092860695327886
5.244783695211955,-4.667706119382732,1.1343866776032825,7.758841981123389,7.758841981123389,6.211630259676477,0.23259695041126163,-0.006928354715880539,0.9999999022428426,0.021796313856466208,0.7409696283628342
