x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
0.436000,-7.505840,0.700000,0.700000,-0.028599,-0.001298,5.219061
0.685903,-7.512697,0.700000,0.700000,-0.025407,0.013936,5.023803
0.935858,-7.517292,0.700000,0.700000,-0.005995,0.013477,4.820643
1.185766,-7.523615,0.699961,0.699961,-0.026887,-0.004059,4.608535
1.435682,-7.529979,0.649996,0.649996,-0.022140,0.052760,4.386183
1.685667,-7.532152,0.650001,0.650001,-0.005170,0.119187,4.151939
1.935602,-7.527245,0.669690,0.669690,0.035996,0.191508,3.903665
2.185113,-7.512100,0.750008,0.750008,0.098850,0.237532,3.638489
2.432582,-7.476944,0.747084,0.747084,0.177112,0.285025,3.394022
2.677151,-7.425268,0.836699,0.836699,0.241452,0.335602,3.229398
2.917008,-7.355034,0.881083,0.881083,0.329334,0.345719,3.181796
3.149646,-7.263710,0.909805,0.909805,0.420807,0.314858,3.241717
3.372949,-7.151455,0.941415,0.941415,0.508100,0.324465,3.284355
3.586597,-7.021719,0.948099,0.948099,0.578721,0.298355,3.374237
3.790732,-6.877455,0.958736,0.958736,0.644527,0.263925,3.554642
3.985633,-6.720932,0.960683,0.960683,0.714249,0.218422,3.726322
4.169837,-6.551947,0.927866,0.927866,0.771623,0.196961,3.890434
4.345061,-6.373657,0.909947,0.909947,0.811662,0.164520,4.047898
4.513688,-6.189107,0.899415,0.899415,0.846165,0.134338,4.199462
4.675220,-5.998330,0.896168,0.896168,0.893296,0.134954,4.345742
4.829577,-5.801689,0.877185,0.877185,0.919937,0.157068,4.487257
4.977445,-5.600122,0.900707,0.900707,0.953907,0.165456,4.524494
5.117392,-5.392981,0.901700,0.901700,0.999087,0.178900,4.423122
5.244979,-5.178016,0.927900,0.927900,1.055856,0.196951,4.215557
5.362672,-4.957484,0.924041,0.924041,1.090194,0.195437,4.231849
5.471182,-4.732298,0.928232,0.928232,1.142527,0.196207,4.104979
5.567440,-4.501606,0.931290,0.931290,1.203812,0.209418,3.853680
5.650833,-4.265974,0.972529,0.972529,1.252703,0.271200,3.592440
5.719734,-4.025740,0.931814,0.931814,1.330005,0.318640,3.314239
5.769192,-3.780787,0.936551,0.936551,1.418394,0.369970,3.070284
5.794409,-3.532190,0.950423,0.950423,1.520472,0.443565,2.759560
5.793465,-3.282345,0.929527,0.929527,1.632188,0.548990,2.524945
5.757939,-3.035155,0.850469,0.850469,1.784221,0.647789,2.324434
5.684413,-2.796521,0.826467,0.826467,1.954792,0.736016,2.180673
5.564695,-2.577618,0.728964,0.728964,2.184242,0.836491,2.045518
5.403081,-2.387420,0.741198,0.741198,2.386525,0.940752,1.928841
5.202271,-2.239490,0.712515,0.712515,2.633559,1.103335,1.781067
4.970825,-2.147037,0.769258,0.769258,2.909619,1.243482,1.677700
4.722518,-2.130268,0.758998,0.758998,-3.039841,1.325194,1.625153
4.483392,-2.198648,0.757905,0.757905,-2.684536,1.287264,1.648922
4.280978,-2.343644,0.746892,0.746892,-2.378233,1.120981,1.766993
4.125323,-2.538539,0.647149,0.647149,-2.123077,0.850764,2.028287
4.012155,-2.761029,0.587819,0.587819,-1.942924,0.557148,2.316020
3.929091,-2.996737,0.562700,0.562700,-1.862828,0.301839,2.571760
3.863960,-3.238082,0.559223,0.559223,-1.811937,0.102463,2.804273
3.805500,-3.481150,0.613836,0.613836,-1.807696,-0.082122,3.018932
3.743436,-3.723314,0.638527,0.638527,-1.838043,-0.237315,3.219309
3.669205,-3.961982,0.652643,0.652643,-1.910374,-0.352750,3.148225
3.572463,-4.192365,0.648869,0.648869,-2.024648,-0.414240,2.906753
3.449381,-4.409839,0.659143,0.659143,-2.136405,-0.411374,2.916860
3.305731,-4.614358,0.644367,0.644367,-2.223233,-0.370412,3.067169
3.145516,-4.806159,0.638142,0.638142,-2.310110,-0.312120,3.264587
2.969957,-4.984056,0.610293,0.610293,-2.387665,-0.287201,3.450728
2.784331,-5.151473,0.570286,0.570286,-2.444655,-0.328368,3.235204
2.585290,-5.302622,0.631298,0.631298,-2.528415,-0.387481,3.005446
2.372550,-5.433671,0.641004,0.641004,-2.638288,-0.460852,2.755835
2.146225,-5.539475,0.702701,0.702701,-2.772826,-0.554571,2.512208
1.907250,-5.612192,0.701034,0.701034,-2.911879,-0.619137,2.377609
1.660474,-5.650396,0.767171,0.767171,-3.068721,-0.626835,2.362965
1.410738,-5.647810,0.805031,0.805031,3.058272,-0.603773,2.407672
1.164737,-5.604715,0.855564,0.855564,2.887898,-0.535327,2.541441
0.927265,-5.527038,0.904731,0.904731,2.781195,-0.438245,2.735000
0.698166,-5.427192,0.843053,0.843053,2.685002,-0.313325,2.954695
0.477945,-5.308946,0.815623,0.815623,2.612930,-0.196494,3.159149
0.264150,-5.179372,0.768379,0.768379,2.578329,-0.126070,3.351152
0.054567,-5.043085,0.719540,0.719540,2.554348,-0.066881,3.532736
-0.152646,-4.903221,0.697731,0.697731,2.541063,-0.008642,3.705432
-0.359515,-4.762852,0.690633,0.690633,2.540727,0.099161,3.870429
-0.568232,-4.625280,0.678166,0.678166,2.579504,0.176039,3.750620
-0.782919,-4.497258,0.702657,0.702657,2.628153,0.253766,3.473781
-1.005960,-4.384512,0.710531,0.710531,2.728498,0.330975,3.172878
-1.238023,-4.291602,0.729067,0.729067,2.778920,0.408658,2.926537
-1.477026,-4.218673,0.781795,0.781795,2.893622,0.450379,2.787695
-1.722641,-4.173099,0.803894,0.803894,3.019564,0.457632,2.765514
-1.971961,-4.157029,0.800002,0.800002,3.141198,0.392157,2.950293
-2.221453,-4.171633,0.795087,0.795087,-3.053606,0.327060,3.140811
-2.469409,-4.203134,0.800030,0.800030,-2.986346,0.255225,3.333871
-2.715852,-4.245103,0.809267,0.809267,-2.959454,0.188515,3.516347
-2.959883,-4.299111,0.837700,0.837700,-2.897349,0.163683,3.689810
-3.201017,-4.365069,0.799984,0.799984,-2.862894,0.085296,3.855476
-3.440337,-4.437311,0.813686,0.813686,-2.849083,0.025922,4.014311
-3.679335,-4.510649,0.691073,0.691073,-2.844284,-0.066576,4.038274
-3.919192,-4.581118,0.548136,0.548136,-2.880818,-0.170678,3.782546
-4.162398,-4.638924,0.548274,0.548274,-2.925374,-0.260385,3.508227
-4.408480,-4.682760,0.664978,0.664978,-2.990347,-0.327620,3.210554
-4.657292,-4.706172,0.640785,0.640785,-3.096006,-0.374672,3.056387
-4.907212,-4.705628,0.599733,0.599733,3.091225,-0.388916,2.948937
