x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
0.436858,-7.336630,0.870546,0.529454,0.126736,0.731216,5.499426
0.739757,-7.268089,0.954476,0.445524,0.234187,0.093758,5.566973
0.977386,-7.207679,1.013979,0.386021,0.239147,-0.087042,5.614676
1.196342,-7.156768,1.067816,0.332184,0.215314,-0.121083,5.648604
1.409009,-7.113281,1.069032,0.234068,0.190598,-0.105372,5.669641
1.616364,-7.075729,1.111150,0.188850,0.144325,-0.318312,5.678567
1.834027,-7.051511,1.155009,0.182191,0.163657,0.480776,5.676092
2.049258,-7.004243,1.276493,0.221307,0.195097,-0.193962,5.662651
2.263476,-6.966648,1.294747,0.211953,0.186319,0.110762,5.638922
2.486206,-6.921876,1.381520,0.294280,0.217004,0.159914,5.605457
2.712890,-6.867563,1.415590,0.348010,0.260215,0.208998,5.562688
2.943017,-6.800250,1.429007,0.407893,0.313198,0.232219,5.511084
3.175522,-6.717736,1.419288,0.468312,0.370916,0.236550,5.450971
3.408422,-6.619245,1.387483,0.521617,0.430803,0.238570,5.382521
3.639261,-6.504605,1.344743,0.571757,0.493057,0.245789,5.305885
3.865581,-6.373604,1.276166,0.600434,0.558049,0.252405,5.220982
4.085154,-6.226263,1.205202,0.625198,0.625193,0.256402,5.126726
4.296077,-6.062882,1.150414,0.654386,0.695187,0.268801,5.021757
4.496410,-5.883236,1.108886,0.680214,0.770145,0.288313,4.904825
4.684053,-5.686565,1.072703,0.691497,0.851235,0.308857,4.774544
4.856230,-5.472620,1.079056,0.719844,0.937324,0.322838,4.631512
5.008550,-5.244739,1.087271,0.724229,1.021814,0.298881,4.484570
5.139697,-5.009215,1.116304,0.739096,1.100728,0.288910,4.342747
5.249773,-4.769940,1.126069,0.724831,1.174704,0.273199,4.213467
5.340350,-4.529409,1.149540,0.716160,1.236402,0.204460,4.101543
5.416784,-4.289253,1.173912,0.715088,1.280194,0.141106,4.007541
5.483746,-4.049934,1.195579,0.727721,1.317810,0.162808,3.918896
5.539973,-3.812746,1.163215,0.705785,1.364416,0.221930,3.820068
5.582402,-3.578708,1.153608,0.729792,1.422286,0.259938,3.694857
5.610263,-3.342932,1.123359,0.754641,1.503773,0.398743,3.523721
5.615275,-3.088981,1.016060,0.716440,1.679132,0.900910,3.276001
5.552232,-2.809362,0.946301,0.691499,1.982854,1.319059,2.925894
5.385612,-2.563533,0.866091,0.604409,2.367410,1.407393,2.576791
5.137200,-2.403538,0.897573,0.551727,2.793666,1.599957,2.339798
4.846744,-2.368096,0.996593,0.530307,-3.035518,1.768999,2.204825
4.593966,-2.461378,1.029664,0.476636,-2.590849,1.661098,2.129801
4.417055,-2.631981,0.962198,0.392302,-2.283353,0.757620,2.084196
4.276491,-2.828832,0.863384,0.334916,-2.136674,0.438977,2.047930
4.154994,-3.044566,0.799430,0.345270,-2.058883,0.197801,2.012643
4.042717,-3.269140,0.735919,0.375881,-2.027102,0.057628,1.992263
3.932651,-3.497535,0.734996,0.478704,-2.025340,-0.042840,1.996534
3.819237,-3.726462,0.710662,0.559238,-2.047278,-0.128216,2.019069
3.697382,-3.953354,0.675458,0.623642,-2.091033,-0.211046,2.056580
3.562256,-4.175043,0.638547,0.669153,-2.155973,-0.289370,2.107699
3.409784,-4.387403,0.612480,0.702520,-2.241883,-0.369879,2.171178
3.237048,-4.584611,0.575882,0.719118,-2.344664,-0.418941,2.245787
3.044721,-4.760983,0.530166,0.736534,-2.456179,-0.441462,2.330271
2.836161,-4.912399,0.463050,0.747350,-2.572574,-0.467988,2.423331
2.615529,-5.035488,0.387716,0.774284,-2.692906,-0.490309,2.523570
2.387463,-5.128418,0.375426,0.877374,-2.805985,-0.429671,2.629574
2.157585,-5.195220,0.354153,0.967647,-2.903725,-0.386465,2.739901
1.928920,-5.239596,0.350551,1.051849,-2.989243,-0.344501,2.853157
1.701738,-5.265211,0.371495,1.122405,-3.068441,-0.344300,2.968025
1.474308,-5.272911,0.423264,1.175936,3.134524,-0.355832,3.083301
1.244300,-5.261977,0.501665,1.200535,3.062217,-0.270123,3.197914
1.009579,-5.235945,0.601479,1.196321,3.013152,-0.148730,3.310862
0.770281,-5.200757,0.616418,1.076082,2.984347,-0.091453,3.420982
0.527811,-5.159558,0.661282,0.958118,2.966022,-0.058335,3.526995
0.282890,-5.114295,0.703860,0.819940,2.954516,-0.034465,3.627621
0.036050,-5.066473,0.760591,0.685109,2.947398,-0.022331,3.721568
-0.212128,-5.016939,0.834423,0.561977,2.942979,-0.012693,3.807522
-0.460990,-4.966435,0.920560,0.451340,2.942137,0.006021,3.884148
