x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
0.413553,-7.257790,0.948659,0.451341,0.024985,-0.916916,4.912440
0.657216,-7.278705,0.934970,0.465030,-0.058175,0.224504,4.950787
0.901783,-7.286225,0.932635,0.467365,-0.004655,0.213244,4.980706
1.146518,-7.280982,0.944795,0.455205,0.046167,0.202379,5.003033
1.390602,-7.263641,0.920791,0.382309,0.094987,0.197047,5.018579
1.633217,-7.234612,0.951465,0.348535,0.142831,0.195090,5.028164
1.873399,-7.194210,1.007254,0.329946,0.191775,0.207408,5.032615
2.110079,-7.142024,1.127286,0.370514,0.243962,0.223238,5.032782
2.342785,-7.077371,1.163993,0.342707,0.297490,0.220196,5.029496
2.571011,-7.000708,1.275814,0.399986,0.351767,0.231211,5.023558
2.793720,-6.911863,1.339691,0.423909,0.408109,0.238531,5.015757
3.010611,-6.810632,1.385882,0.451018,0.463878,0.227029,5.006839
3.221978,-6.697611,1.410159,0.477441,0.515531,0.203906,4.997523
3.428200,-6.574008,1.411693,0.497407,0.561794,0.181103,4.988553
3.629542,-6.441069,1.399547,0.516953,0.603414,0.163944,4.980706
3.826313,-6.299644,1.356677,0.519923,0.641019,0.146313,4.974568
4.019136,-6.150381,1.304451,0.525949,0.673907,0.123420,4.969896
4.208862,-5.994128,1.259223,0.545577,0.702141,0.106362,4.966229
4.396119,-5.831471,1.215743,0.573357,0.727358,0.096874,4.963087
4.581437,-5.662472,1.163752,0.600448,0.750728,0.089322,4.959964
4.765419,-5.486930,1.137984,0.660916,0.773354,0.088361,4.956311
4.948440,-5.304205,1.096261,0.715239,0.798296,0.104050,4.950758
5.129796,-5.113030,1.061046,0.794354,0.832734,0.156577,4.938602
5.306065,-4.911013,0.998086,0.852814,0.883048,0.218396,4.913743
5.472554,-4.695824,0.946881,0.918819,0.949677,0.271543,4.869466
5.624540,-4.465967,0.903416,0.985584,1.032801,0.331416,4.798502
5.756640,-4.219735,0.872855,1.050445,1.135308,0.400934,4.692732
5.862131,-3.955325,0.808662,1.060338,1.261204,0.482025,4.542612
5.931811,-3.672119,0.790676,1.092724,1.413728,0.561581,4.336760
5.954583,-3.371564,0.778121,1.099879,1.597689,0.646611,4.060414
5.915199,-3.054578,0.713621,1.018879,1.823193,0.745141,3.687755
5.788851,-2.728936,0.694623,0.943177,2.094560,0.856886,3.202038
5.561869,-2.442824,0.652156,0.818344,2.400293,0.846895,2.736339
5.244003,-2.230140,0.694434,0.754866,2.764940,1.114498,2.428524
4.853417,-2.162605,0.791230,0.735670,-3.078755,1.326030,2.272828
4.500750,-2.276906,0.823060,0.683240,-2.622440,1.335693,2.215277
4.268661,-2.496757,0.761471,0.593029,-2.276384,0.769160,2.202402
4.114526,-2.730282,0.673806,0.524494,-2.095420,0.445146,2.199642
3.996434,-2.967153,0.622986,0.521714,-2.009110,0.188236,2.194821
3.893227,-3.202414,0.572212,0.539588,-1.980466,0.029491,2.199642
3.793103,-3.435399,0.582237,0.631463,-1.985769,-0.072110,2.224038
3.689336,-3.665218,0.567046,0.702854,-2.014645,-0.156927,2.261147
3.576834,-3.890233,0.539389,0.759711,-2.064729,-0.241390,2.308010
3.451045,-4.107768,0.508582,0.799118,-2.135517,-0.322927,2.363808
3.308321,-4.314059,0.487307,0.827693,-2.226871,-0.407730,2.427785
3.145978,-4.504044,0.454324,0.840676,-2.334589,-0.458342,2.499184
2.964478,-4.673091,0.411201,0.855499,-2.450299,-0.480685,2.577215
2.767190,-4.817496,0.345791,0.864609,-2.570285,-0.508173,2.661061
2.558533,-4.934038,0.271417,0.890583,-2.693881,-0.529847,2.749867
2.342115,-5.021632,0.259468,0.993332,-2.809845,-0.464205,2.842713
2.122669,-5.084184,0.237798,1.084002,-2.910878,-0.422375,2.938619
1.903600,-5.124638,0.232849,1.169551,-3.000780,-0.382719,3.036681
1.685935,-5.146091,0.251302,1.242598,-3.085419,-0.388429,3.135969
1.469025,-5.149075,0.299233,1.299967,3.111070,-0.403145,3.235548
1.249614,-5.132769,0.372205,1.329995,3.032340,-0.307444,3.334381
1.023658,-5.100224,0.464834,1.332966,2.977631,-0.177136,3.431434
0.791544,-5.056983,0.470854,1.221646,2.943455,-0.115733,3.525880
0.555702,-5.006271,0.505246,1.114154,2.920170,-0.078513,3.616976
0.317068,-4.950172,0.536010,0.987790,2.904518,-0.049814,3.703923
0.076194,-4.890413,0.579865,0.865835,2.894641,-0.030117,3.785909
-0.166450,-4.828278,0.640237,0.756163,2.889323,-0.012523,3.862111
