x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
0.430179,-7.088981,1.118285,0.281715,-0.015246,-0.207349,5.242713
0.727276,-7.101554,1.121478,0.278522,0.001034,0.365075,5.207163
0.961450,-7.088432,1.134287,0.265713,0.070522,0.130651,5.197181
1.183158,-7.069351,1.156222,0.243778,0.096847,0.101766,5.193809
1.397964,-7.046024,1.137190,0.165910,0.118582,0.098423,5.193807
1.607750,-7.018764,1.168762,0.131238,0.114651,-0.134598,5.195449
1.823086,-6.997069,1.210540,0.126660,0.170921,0.652534,5.197918
2.033797,-6.945227,1.337501,0.160299,0.235692,-0.051397,5.200488
2.244056,-6.895970,1.368044,0.138656,0.255155,0.225286,5.203004
2.457783,-6.834634,1.473276,0.202524,0.308651,0.258395,5.205304
2.671023,-6.759836,1.531166,0.232434,0.370707,0.290064,5.206813
2.882667,-6.669491,1.573020,0.263880,0.438401,0.297916,5.207163
3.091743,-6.562590,1.595609,0.291991,0.506774,0.285657,5.205888
3.296811,-6.439587,1.598987,0.310113,0.572874,0.269232,5.201980
3.496098,-6.301769,1.593013,0.323487,0.636566,0.258085,5.193935
3.688089,-6.150347,1.561380,0.315220,0.698191,0.246771,5.179856
3.871996,-5.986315,1.526155,0.304245,0.756957,0.230921,5.156924
4.047379,-5.810935,1.504431,0.300369,0.813168,0.223136,5.121914
4.213511,-5.625286,1.491732,0.297368,0.868893,0.224361,5.071555
4.369777,-5.429646,1.478630,0.285570,0.925505,0.227476,5.002578
4.515751,-5.223798,1.500765,0.298135,0.981852,0.219129,4.914171
4.651319,-5.008194,1.515719,0.295781,1.029707,0.158662,4.815266
4.778228,-4.787001,1.540614,0.314786,1.064449,0.115355,4.714983
4.897287,-4.564667,1.533970,0.316930,1.088742,0.077106,4.620892
5.010427,-4.343216,1.528377,0.337323,1.102139,0.030006,4.538449
5.120225,-4.124319,1.513251,0.375749,1.107702,0.015378,4.468731
5.226225,-3.911021,1.488177,0.435123,1.119471,0.086602,4.399474
5.323634,-3.704651,1.405056,0.463944,1.149303,0.177740,4.315567
5.409387,-3.502511,1.342659,0.540741,1.195873,0.242258,4.201522
5.483509,-3.298403,1.257708,0.620292,1.269198,0.408872,4.038538
