x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
0.440510,-7.472025,0.735101,0.664899,0.029002,0.119039,5.499426
0.753987,-7.457961,0.764072,0.635928,0.073619,0.223808,5.566973
1.007128,-7.430236,0.789444,0.610556,0.111876,0.024377,5.614676
1.233638,-7.404074,0.817714,0.582286,0.115376,0.003501,5.648604
1.452584,-7.378612,0.800147,0.502953,0.116060,0.002743,5.669641
1.658524,-7.354540,0.829170,0.470830,0.097112,-0.164419,5.678567
1.891178,-7.335885,0.864949,0.472251,0.141740,0.521816,5.676092
2.123641,-7.288169,0.982985,0.514815,0.191068,-0.102919,5.662651
2.341020,-7.248873,1.002062,0.504638,0.202238,0.194423,5.638922
2.575368,-7.195547,1.093691,0.582109,0.250549,0.216184,5.605457
2.814032,-7.127816,1.136374,0.627226,0.308393,0.249665,5.562688
3.054951,-7.042772,1.161899,0.675001,0.373562,0.261874,5.511084
3.295134,-6.939240,1.167551,0.720049,0.441449,0.259385,5.450971
3.531604,-6.817529,1.154051,0.755049,0.509665,0.255380,5.382521
3.761897,-6.678358,1.132070,0.784430,0.578303,0.256142,5.305885
3.983829,-6.522342,1.086152,0.790448,0.647718,0.256906,5.220982
4.195400,-6.350365,1.039203,0.791197,0.717363,0.254788,5.126726
4.395283,-6.163384,1.009196,0.795604,0.787702,0.259317,5.021757
4.582366,-5.961612,0.992562,0.796538,0.860653,0.270746,4.904825
4.755220,-5.744744,0.980782,0.783418,0.937587,0.284647,4.774544
4.911603,-5.513086,1.010473,0.788427,1.018015,0.295427,4.631512
5.047699,-5.270663,1.040317,0.771183,1.095346,0.265113,4.484570
5.163487,-5.023840,1.088378,0.767022,1.164437,0.242869,4.342747
5.260482,-4.776176,1.113676,0.737224,1.225838,0.218605,4.213467
5.341014,-4.529784,1.148777,0.716923,1.274239,0.152492,4.101543
5.410361,-4.285681,1.181262,0.707738,1.305917,0.095499,4.007541
5.472779,-4.044018,1.208039,0.715261,1.333395,0.125916,3.918896
