8.160859999999999559e+00,-1.128459999999999575e+00,-1.805375969242492828e-01
8.230899530435571876e+00,-9.870107844485791482e-01,-2.106438818716069583e-01
8.304189540780416934e+00,-8.472089517154672844e-01,-2.252702873830311481e-01
8.381302312743740046e+00,-7.094911742899694396e-01,-2.196842491481172666e-01
8.461034001207675459e+00,-5.732608183389147349e-01,-1.941238179820101162e-01
8.544256771446246290e+00,-4.391456892120695343e-01,-1.516822318084618260e-01
8.630298452811853593e+00,-3.068085207444548601e-01,-9.640028666996197648e-02
8.719347273229853812e+00,-1.764720480769152999e-01,-3.146775782993818660e-02
8.811022374206824992e+00,-4.797694021754850269e-02,4.112847019515026431e-02
8.905667102915591826e+00,7.835083354560623548e-02,1.188235127067484576e-01
9.000466220171867704e+00,2.045433328946222318e-01,1.968266488045638807e-01
9.085702799793338613e+00,3.374651918108080295e-01,2.687542317229148492e-01
9.162966675738402955e+00,4.751150823143277524e-01,3.288575185892555486e-01
9.230845201853046689e+00,6.176652263486765992e-01,3.739788388197985980e-01
9.289477646923414156e+00,7.642493284444236146e-01,4.041952315329879197e-01
9.338309702230723985e+00,9.143463679569523439e-01,4.221768948095023788e-01
9.377096382044992851e+00,1.067383965947412028e+00,4.317290394291715683e-01
9.405545090737030378e+00,1.222645915104634495e+00,4.362981839327831901e-01
9.423539713588466427e+00,1.379490800976086007e+00,4.381638389015216628e-01
9.430914299448216909e+00,1.537159355226415558e+00,4.384711941002130686e-01
9.427708267336539549e+00,1.695005164843040868e+00,4.376785784174682115e-01
9.413916132229815048e+00,1.852272800538889319e+00,4.359745808738536565e-01
9.389622020062416752e+00,2.008239639288097234e+00,4.335266497516020445e-01
9.355043652367687201e+00,2.162281393232383220e+00,4.306117430830340709e-01
9.310374400628472102e+00,2.313672970697166154e+00,4.276671147037699461e-01
9.255941315694487415e+00,2.461863671128758035e+00,4.252254009888007391e-01
9.192045014333302788e+00,2.606232691861995576e+00,4.237079327901560610e-01
9.119098057600409035e+00,2.746205171438262038e+00,4.231462262352038706e-01
9.037522613860081933e+00,2.881368993042262794e+00,4.229763063260469358e-01
8.947700669547719698e+00,3.011165764236873876e+00,4.220330856754852533e-01
8.850148948535631277e+00,3.135280320992816172e+00,4.188082998405018298e-01
8.743855204500720291e+00,3.251981688943427429e+00,4.119271814312909785e-01
8.629591053556382008e+00,3.360941764580066327e+00,4.006425104969172923e-01
8.508598600556773306e+00,3.462353975089607516e+00,3.850868386103112329e-01
8.381718404970822434e+00,3.556260670016422321e+00,3.661756147660612526e-01
8.249722567561125430e+00,3.642859325382665325e+00,3.452592756655525896e-01
8.113345001576021787e+00,3.722334604323439322e+00,3.237052599253493756e-01
7.973214342307635150e+00,3.795016429622176002e+00,3.025768951003175999e-01
7.829871673061391313e+00,3.861123904703855025e+00,2.825125612496660055e-01
7.683832432592965667e+00,3.921054331731088638e+00,2.637913889113017718e-01
7.535489353956876357e+00,3.975037987707021880e+00,2.464761707563590809e-01
7.385239691104872328e+00,4.023384190096717106e+00,2.305315971145910081e-01
7.233367557521050095e+00,4.066440747661410171e+00,2.158870010029161901e-01
7.080159205719941617e+00,4.104418583306566504e+00,2.024606993048990722e-01
6.925846687172446892e+00,4.137663094922022999e+00,1.901683573271222838e-01
6.770629183610299862e+00,4.166370725247104723e+00,1.789264755129989226e-01
6.614684087876248952e+00,4.190805561523849754e+00,1.686542411438244071e-01
6.458154068476806842e+00,4.211195731548473375e+00,1.592746030946805558e-01
6.301186322850567123e+00,4.227729026145190083e+00,1.507151211765357657e-01
6.143859735058538440e+00,4.240627823309096378e+00,1.429085600833708558e-01
5.986293976325205435e+00,4.250041220839489320e+00,1.357928905394542307e-01
5.828568567662061994e+00,4.256157831492298094e+00,1.293107024619407353e-01
5.670750205824085732e+00,4.259117123716603892e+00,1.234083408299881668e-01
5.512901420595899715e+00,4.259067694310190610e+00,1.180344692331490863e-01
5.355082805266664359e+00,4.256126237197956463e+00,1.131355403218572281e-01
5.197337266927259947e+00,4.250416312027764043e+00,1.086364314454472957e-01
5.039712847897487968e+00,4.242053881349087341e+00,1.043794495406080852e-01
4.882252467452255829e+00,4.231117925258388368e+00,9.998769900139697908e-02
4.724972750829269152e+00,4.217723496699044894e+00,9.466385375662093871e-02
4.567919288064675953e+00,4.201935076802311819e+00,8.704779530950165767e-02
4.411111092291893243e+00,4.183828568092510025e+00,7.534019302291553033e-02
4.254587051747092730e+00,4.163489283952126030e+00,5.779659451568237155e-02
4.098347649493775613e+00,4.140997759863797256e+00,3.345094118002939210e-02
3.942438853923373898e+00,4.116324070755926101e+00,2.759560032785202816e-03
3.786886870302934582e+00,4.089518083836146900e+00,-3.215134458775589094e-02
3.631505151283847876e+00,4.061759175601492800e+00,-6.786179157627314495e-02
3.475344321873445885e+00,4.038722414000968541e+00,-1.006267005481779608e-01
3.318644580881463302e+00,4.019674336972760109e+00,-1.275206008828585480e-01
3.161479486391033156e+00,4.005038208910380426e+00,-1.472047896788440391e-01
3.003980872413283709e+00,3.994557959001773462e+00,-1.600454401477575672e-01
2.846251136473056942e+00,3.988339962400901051e+00,-1.676686433991369796e-01
2.688418116150347537e+00,3.986361568641627606e+00,-1.722091586181143663e-01
2.530584875599119155e+00,3.988625156318062359e+00,-1.755713744477775951e-01
2.372871922688116531e+00,3.995146761181911366e+00,-1.789776386946681785e-01
2.215399225899211011e+00,4.005955131765023047e+00,-1.828597634720552367e-01
2.058270207482388425e+00,4.021046971779760781e+00,-1.869236004070224666e-01
1.901631407259781970e+00,4.040504364400769433e+00,-1.902084186462780491e-01
1.745668060328770199e+00,4.064834098158686793e+00,-1.911439785031310568e-01
1.590605370637005800e+00,4.094371532172725203e+00,-1.877613800152944656e-01
1.436582083735236548e+00,4.128902539086490187e+00,-1.781729174075411259e-01
1.283748192908815922e+00,4.168392789652408226e+00,-1.612319370082451464e-01
1.132232030968774117e+00,4.212652706473462239e+00,-1.371228779604665438e-01
9.822312353393107820e-01,4.261818044651073834e+00,-1.076217386449529467e-01
8.338642195830852089e-01,4.315719283539396045e+00,-7.583830621126917693e-02
