0.000000000000000000e+00,-7.782255235717689956e-01,5.448723138751553341e-01,3.794242521331595341e+00,-1.759329481890848701e+00,1.958358686817286198e+00,1.999980092109562735e+00,-1.084001832723738845e-01,4.836163566066847608e+00
1.578398441577653633e-01,-7.580613507479289082e-01,6.273209660689853528e-01,3.792889701997247620e+00,-1.916027608635384905e+00,1.342069209785041517e+00,1.999954334105109144e+00,-1.923193032227538957e-01,4.992628383219209987e+00
3.156732289512507172e-01,-7.314405378191179974e-01,6.912507270769382428e-01,3.834011385728841148e+00,-1.999998822761693607e+00,5.999017141628977257e-01,9.025723401505850174e-02,4.110933161649940604e-02,5.063183042743213846e+00
4.735007700749602755e-01,-6.976349175150480253e-01,7.462905355222222425e-01,3.822935067422863931e+00,-1.999999135794901628e+00,6.235292309008237943e-01,-1.999937027935083433e+00,7.363771733696372612e-02,4.918490207638329892e+00
6.313359408601937339e-01,-6.559215472614177145e-01,8.031469570641532885e-01,3.733698188725517397e+00,-1.999998847498574372e+00,7.149749960409613747e-01,-1.999955503499996734e+00,1.018687789897305129e-01,4.620234636736141987e+00
7.891656251032345137e-01,-6.056843421539931382e-01,8.616172322188996313e-01,3.622586252984926425e+00,-1.999998921287783560e+00,8.560478923195530276e-01,-1.999920203319261125e+00,6.993905788755006014e-02,4.269066416232275785e+00
9.470004133077283281e-01,-5.460865319705220378e-01,9.194791990723488739e-01,3.492107827530543052e+00,-1.999999389179583531e+00,9.115709134514716760e-01,1.999954168939190424e+00,7.354071067669695760e-02,3.913632449060759022e+00
1.104840621716450366e+00,-4.750249114786237459e-01,9.735940100628873717e-01,3.504522117532637981e+00,-1.999999660307961502e+00,9.688163462945407201e-01,1.999988378230710628e+00,7.876069906127543263e-02,3.679527595017537678e+00
1.262681461522275228e+00,-3.911131207235012952e-01,1.022590545588689226e+00,3.501695064265242241e+00,-1.999999729164999351e+00,1.034789398103292735e+00,1.999994611598685079e+00,6.989664519877958337e-02,3.475940225011593832e+00
1.420518228414948236e+00,-2.954682557333606630e-01,1.064859174622348137e+00,3.483773666837788774e+00,-1.999999744870325946e+00,1.068259960925279861e+00,1.999996913967543977e+00,6.822593046016171836e-02,3.321171717322870975e+00
1.578359492907691175e+00,-1.905549884973792574e-01,1.098266820602490368e+00,3.449681832547545124e+00,-1.999999766064478823e+00,1.090788712584974229e+00,1.999997995918490368e+00,6.438665206800986418e-02,3.229790422512137216e+00
1.736119677055532495e+00,-8.038785562755873526e-02,1.121215674040026089e+00,3.401051108174288018e+00,-1.999999747883371537e+00,1.097026417215836158e+00,1.999998573543496638e+00,7.388188099343580284e-02,3.209964347398341467e+00
1.893929269320524078e+00,3.024007140090786624e-02,1.133749766369042788e+00,3.337445211457629402e+00,-1.999999798595755385e+00,1.128152443215599599e+00,1.999998906774447693e+00,6.505200120215842707e-02,3.257026647969752720e+00
2.051709477387540836e+00,1.368475650965935708e-01,1.136363052375640947e+00,3.266297045688935530e+00,-1.999999757416605517e+00,1.126490760894750309e+00,1.999999110597222796e+00,5.807391555336335887e-02,3.360999388572194935e+00
2.209509697694257646e+00,2.363403732906029786e-01,1.129347393970237867e+00,3.194052305978714923e+00,-1.999999752915776252e+00,1.104516462220291428e+00,1.999999242869727301e+00,5.380850587749607533e-02,3.508040414343793767e+00
2.367281937511195533e+00,3.269846904662663811e-01,1.114065990328535261e+00,3.124790626300894214e+00,-1.999999782649565461e+00,1.074811295248466747e+00,1.999999332790403095e+00,4.385207457503739747e-02,3.681262066072156003e+00
2.525053648535680040e+00,4.082235959501701594e-01,1.091891085074769618e+00,3.062323841376388245e+00,-1.999999703907411552e+00,1.025560800470017409e+00,1.999999397518302802e+00,4.136457933569107071e-02,3.867813601235766008e+00
2.682826593173742058e+00,4.802377254222547909e-01,1.064118984970678472e+00,3.006780267947357643e+00,-1.999999792000151766e+00,9.797015531297171842e-01,1.999999445974798062e+00,3.249280025734894994e-02,4.058123598876226090e+00
2.840598310788523317e+00,5.434766795796475147e-01,1.031733941992067249e+00,2.959170164064261144e+00,-1.999999653837955416e+00,9.218989745688113135e-01,1.999999483929391086e+00,3.264504495799177425e-02,4.246687296665458966e+00
2.998365782695653792e+00,5.985193051209320991e-01,9.955253739348304265e-01,2.917864068144450318e+00,-1.999999814075432480e+00,8.745369087941041730e-01,1.999999514585492300e+00,2.372083037126266822e-02,4.427518022711222301e+00
3.156136732688610280e+00,6.459099492011303179e-01,9.560784537600313104e-01,2.883428335463267711e+00,-1.999999772915853846e+00,8.161035279714986546e-01,1.999999539948294380e+00,1.359536863932273021e-02,4.596167013979869154e+00
3.313922521897811890e+00,6.861894475263031756e-01,9.134986509119926712e-01,2.856157128832670367e+00,-1.999998995867248830e+00,7.462728478071311011e-01,1.999999563043675543e+00,2.097495954028734400e-02,4.749088784107017958e+00
3.471693240198370223e+00,7.198229458600237107e-01,8.684825173286444544e-01,2.833092703911100241e+00,-1.999999504983726473e+00,7.017252322794832464e-01,1.999999585404794056e+00,3.487765094195757060e-02,4.879564830642733497e+00
3.629467839254204797e+00,7.471832949661576517e-01,8.223463627808635934e-01,2.811347953741478278e+00,-1.999999887516942021e+00,6.885489588806252836e-01,1.999999606054613022e+00,2.875841674935174577e-02,4.981351369183404820e+00
3.787241177560768168e+00,7.686110997519831622e-01,7.756871228923444272e-01,2.792298200995653623e+00,-1.999487666222445448e+00,6.647028175746136913e-01,1.999999626168979194e+00,4.050974871929075016e-02,5.055321688306885441e+00
