0.000000000000000000e+00,-7.518779270638090706e-01,3.806905694971696175e-01,4.383706361147410746e+00,-9.608672898091487058e-01,1.341351732799527907e+00,1.999999725589951760e+00,1.449034052302830000e-01,5.122187935884364052e+00
1.578398441577653633e-01,-7.254862042013104917e-01,4.534845891615067459e-01,4.418706221662064948e+00,-1.073209942126946537e+00,1.511805611976409169e+00,1.999999712464404222e+00,1.377617203638580867e-01,5.243584126309296600e+00
3.156732289512507172e-01,-6.920735245227291887e-01,5.345825140305008327e-01,4.447148648754482458e+00,-1.199239613480665545e+00,1.633956871070154415e+00,1.999999706781585562e+00,1.237629261383269286e-01,5.257313668228412062e+00
4.735007700749602755e-01,-6.503712668124386198e-01,6.209384343102389847e-01,4.468331707664755292e+00,-1.334787599409853476e+00,1.703652609557527287e+00,1.999999709673873083e+00,1.037864939723286278e-01,5.146070134719994194e+00
6.313359408601937339e-01,-5.988450211002407375e-01,7.089360295044718763e-01,4.481293366258935151e+00,-1.475888271147744124e+00,1.716242489405066740e+00,1.999999719591276426e+00,7.880113667516684683e-02,4.936227281739621553e+00
7.891656251032345137e-01,-5.359796126949267769e-01,7.946286835695905992e-01,4.485549999420060274e+00,-1.616931663943684594e+00,1.665499243184133560e+00,1.999999733588731843e+00,5.068449008837559722e-02,4.676382513510376704e+00
9.470004133077283281e-01,-4.606867484648665689e-01,8.737572267895168387e-01,4.482029833682859454e+00,-1.749284097660909199e+00,1.546942482756481274e+00,1.999999748707074421e+00,2.331911465594248278e-02,4.414548845620644535e+00
1.104840621716450366e+00,-3.727502327995355635e-01,9.418599499743397496e-01,4.473596581394466476e+00,-1.861534499928899855e+00,1.366033840955035439e+00,1.999999762693372096e+00,3.378724866595698463e-03,4.186188812898260281e+00
1.262681461522275228e+00,-2.731931096901362710e-01,9.947863940648685732e-01,4.463920953214570275e+00,-1.942422923864993045e+00,1.149907668651477755e+00,1.999999773991066654e+00,-4.953622658553238174e-04,4.015300287532709511e+00
1.420518228414948236e+00,-1.645138111391856173e-01,1.029876391831925586e+00,4.454167438634063281e+00,-1.986493587320022236e+00,9.548646833288800817e-01,1.999999781599730353e+00,1.844199881190142568e-02,3.919828605640875985e+00
1.578359492907691175e+00,-5.068183549606342098e-02,1.047487553754899992e+00,4.439565870533684233e+00,-1.999999097526675262e+00,8.535687963976743564e-01,1.999999785159674914e+00,4.884591723793930973e-02,3.911983669135720376e+00
