9.38224, -1.48225
9.36775, -1.58264
9.33544, -1.70995
9.28996, -1.83317
9.25459, -1.91541
9.22467, -1.98833
9.19618, -2.06127
9.16917, -2.13419
9.14367, -2.20705
9.11970, -2.27980
9.09731, -2.35239
9.07652, -2.42476
9.05735, -2.49686
9.03986, -2.56863
9.02405, -2.64001
9.01003, -2.71058
8.99776, -2.78077
8.98709, -2.85129
8.97804, -2.92211
8.97060, -2.99316
8.96478, -3.06441
8.96058, -3.13579
8.95801, -3.20726
8.95707, -3.27877
8.95776, -3.35026
8.96008, -3.42169
8.96403, -3.49300
8.96960, -3.56414
8.97680, -3.63507
8.98740, -3.72003
8.99363, -3.78285
9.00099, -3.88258
9.00408, -3.94756
9.00624, -4.04754
9.00589, -4.11447
9.00270, -4.21442
8.99861, -4.28302
8.98992, -4.38264
8.98184, -4.45259
8.96755, -4.55156
8.95523, -4.62248
8.93527, -4.72047
8.91852, -4.79194
8.89284, -4.88859
8.87153, -4.96016
8.84013, -5.05511
8.81417, -5.12629
8.77708, -5.21915
8.74647, -5.28944
8.70375, -5.37986
8.66856, -5.44874
8.62034, -5.53634
8.58070, -5.60332
8.52712, -5.68775
8.48325, -5.75233
8.42450, -5.83325
8.37667, -5.89498
8.31298, -5.97207
8.26152, -6.03055
8.19316, -6.10353
8.13847, -6.15839
8.06572, -6.22699
8.00823, -6.27796
7.93140, -6.34196
7.87156, -6.38880
7.79098, -6.44802
7.72928, -6.49057
7.64530, -6.54486
7.58221, -6.58304
7.49517, -6.63228
7.43115, -6.66608
7.34141, -6.71020
7.27692, -6.73966
7.18482, -6.77861
7.12029, -6.80382
7.02617, -6.83762
6.96197, -6.85873
6.86617, -6.88738
6.80266, -6.90457
6.70548, -6.92815
6.64298, -6.94163
6.54472, -6.96020
6.48349, -6.97021
6.38443, -6.98389
6.32468, -6.99068
6.22508, -6.99958
6.16701, -7.00341
6.06710, -7.00766
6.01084, -7.00879
5.91084, -7.00854
5.85651, -7.00722
5.75662, -7.00263
5.70429, -6.99912
5.60468, -6.99034
5.55439, -6.98488
5.45521, -6.97208
5.40699, -6.96489
5.30839, -6.94823
5.26224, -6.93954
5.16433, -6.91918
5.12022, -6.90918
5.02311, -6.88530
5.00843, -6.88159
4.91162, -6.85653
4.89724, -6.85272
4.80073, -6.82651
4.78665, -6.82260
4.69046, -6.79526
4.67665, -6.79125
4.58078, -6.76281
4.56724, -6.75871
4.47169, -6.72919
4.45840, -6.72500
4.36319, -6.69441
4.35012, -6.69014
4.25526, -6.65851
4.24241, -6.65414
4.14789, -6.62149
4.13525, -6.61704
4.04109, -6.58337
4.02863, -6.57884
3.93483, -6.54417
3.92256, -6.53956
3.82913, -6.50392
3.81702, -6.49922
3.72397, -6.46261
3.71201, -6.45783
3.61934, -6.42026
3.60753, -6.41540
3.51525, -6.37688
3.50357, -6.37193
3.41168, -6.33248
3.40012, -6.32745
3.30864, -6.28707
3.29719, -6.28195
3.20612, -6.24066
3.19477, -6.23545
3.10411, -6.19325
3.09286, -6.18794
3.00262, -6.14484
2.99145, -6.13943
2.90165, -6.09544
2.89055, -6.08993
2.80119, -6.04505
2.79015, -6.03943
2.70124, -5.99367
2.69025, -5.98795
2.60180, -5.94130
2.59086, -5.93546
2.50287, -5.88794
2.49197, -5.88199
2.40446, -5.83359
2.39359, -5.82751
2.30656, -5.77825
2.29571, -5.77204
2.20918, -5.72191
2.19834, -5.71555
2.11232, -5.66456
2.10149, -5.65806
2.01599, -5.60619
2.00515, -5.59954
1.92018, -5.54681
1.90933, -5.54000
1.82491, -5.48640
1.81404, -5.47942
1.73017, -5.42495
1.72806, -5.42358
1.64431, -5.36894
1.64221, -5.36756
1.55856, -5.31276
1.55647, -5.31138
1.47293, -5.25641
1.47084, -5.25503
1.38742, -5.19989
1.38534, -5.19851
1.30202, -5.14320
1.29994, -5.14181
1.21674, -5.08634
1.21465, -5.08495
1.13156, -5.02931
1.12947, -5.02791
1.04650, -4.97210
1.04440, -4.97069
0.96154, -4.91471
0.95944, -4.91329
0.87669, -4.85715
0.87458, -4.85572
0.79194, -4.79940
0.78982, -4.79796
0.70730, -4.74148
0.70517, -4.74002
0.62277, -4.68336
0.62062, -4.68188
0.53833, -4.62506
0.53617, -4.62356
0.45400, -4.56657
0.45182, -4.56505
0.36977, -4.50788
0.36757, -4.50634
0.28564, -4.44899
0.28341, -4.44742
0.20162, -4.38990
0.19936, -4.38831
0.11769, -4.33060
0.11540, -4.32898
0.03386, -4.27109
0.03154, -4.26944
-0.04987, -4.21136
-0.05222, -4.20968
-0.13350, -4.15141
-0.13589, -4.14969
-0.21702, -4.09124
-0.21946, -4.08948
-0.30045, -4.03083
-0.30293, -4.02903
-0.38378, -3.97018
-0.38631, -3.96834
-0.46701, -3.90929
-0.46959, -3.90740
-0.55014, -3.84814
-0.55277, -3.84620
-0.63194, -3.78764
-0.71002, -3.73018
-0.78823, -3.67292
-0.86658, -3.61586
-0.94505, -3.55900
-1.02364, -3.50235
-1.10236, -3.44591
-1.17559, -3.39368
-1.24380, -3.34641
-1.31255, -3.30015
-1.38182, -3.25491
-1.45159, -3.21071
-1.52183, -3.16758
-1.59251, -3.12554
-1.66362, -3.08461
-1.71999, -3.05324
-1.76215, -3.03206
-1.80537, -3.01259
-1.84963, -2.99484
-1.89488, -2.97885
-1.95247, -2.96115
-2.02225, -2.94138
-2.09272, -2.92307
-2.16386, -2.90622
-2.23560, -2.89085
-2.30789, -2.87695
-2.38069, -2.86453
-2.45394, -2.85360
-2.52761, -2.84416
-2.60163, -2.83621
-2.67597, -2.82976
-2.75057, -2.82480
-2.82540, -2.82134
-2.90040, -2.81938
-2.98793, -2.81883
-2.99962, -2.81870
-3.09960, -2.81714
-3.11150, -2.81690
-3.21147, -2.81439
-3.22359, -2.81402
-3.32353, -2.81054
-3.33589, -2.81005
-3.43579, -2.80558
-3.44840, -2.80495
-3.54825, -2.79947
-3.56114, -2.79870
-3.66093, -2.79219
-3.67410, -2.79126
-3.77382, -2.78369
-3.78730, -2.78260
-3.88692, -2.77396
-3.90072, -2.77268
-4.00025, -2.76294
-4.01439, -2.76147
-4.11380, -2.75059
-4.12830, -2.74892
-4.22757, -2.73688
-4.24245, -2.73499
-4.34157, -2.72176
-4.35685, -2.71962
-4.45580, -2.70517
-4.47150, -2.70278
-4.57026, -2.68707
-4.58640, -2.68439
-4.68494, -2.66740
-4.70155, -2.66442
-4.79986, -2.64609
-4.81695, -2.64278
-4.91499, -2.62309
-4.93260, -2.61942
-5.03035, -2.59831
-5.04849, -2.59426
-5.14591, -2.57170
-5.16462, -2.56722
-5.26168, -2.54317
-5.28097, -2.53823
-5.37764, -2.51263
-5.39755, -2.50719
-5.49378, -2.48000
-5.51432, -2.47401
-5.61008, -2.44518
-5.63128, -2.43859
-5.72651, -2.40806
-5.74840, -2.40082
-5.84304, -2.36855
-5.86565, -2.36060
-5.95966, -2.32651
-5.98299, -2.31779
-6.07631, -2.28184
-6.10040, -2.27227
-6.19294, -2.23439
-6.21781, -2.22390
-6.30952, -2.18403
-6.33517, -2.17253
-6.42596, -2.13061
-6.45241, -2.11802
-6.54219, -2.07399
-6.56944, -2.06020
-6.65812, -2.01399
-6.68618, -1.99891
-6.77365, -1.95045
-6.80251, -1.93395
-6.88867, -1.88318
-6.91831, -1.86516
-7.00302, -1.81201
-7.03342, -1.79233
-7.11656, -1.73675
-7.14767, -1.71526
-7.22909, -1.65720
-7.26087, -1.63377
-7.34041, -1.57317
-7.34930, -1.56633
-7.42830, -1.50502
-7.43721, -1.49803
-7.51565, -1.43600
-7.52460, -1.42886
-7.60246, -1.36611
-7.61146, -1.35880
-7.68874, -1.29533
-7.69778, -1.28784
-7.77446, -1.22365
-7.78356, -1.21596
-7.85962, -1.15105
-7.86878, -1.14316
-7.94421, -1.07751
-7.95344, -1.06940
-8.02822, -1.00301
-8.03752, -0.99468
-8.11164, -0.92755
-8.12102, -0.91897
-8.19445, -0.85109
-8.20391, -0.84225
-8.27664, -0.77361
-8.28619, -0.76450
-8.35819, -0.69510
-8.36784, -0.68570
-8.43908, -0.61552
-8.44883, -0.60581
-8.51930, -0.53486
-8.52916, -0.52482
-8.59882, -0.45308
-8.60880, -0.44269
-8.67763, -0.37015
-8.68772, -0.35939
-8.75569, -0.28604
-8.76590, -0.27489
-8.83298, -0.20073
-8.84332, -0.18916
-8.90947, -0.11417
-8.91993, -0.10215
-8.98513, -0.02633
-8.99572, -0.01384
-9.05991, 0.06283
-9.07064, 0.07582
-9.13379, 0.15335
-9.14465, 0.16687
-9.20673, 0.24528
-9.21772, 0.25936
-9.27866, 0.33864
-9.28979, 0.35333
-9.34956, 0.43350
-9.36081, 0.44883
-9.41935, 0.52991
-9.45006, 0.57442
-9.50504, 0.65795
-9.53491, 0.70562
-9.58608, 0.79154
-9.61481, 0.84245
-9.66191, 0.93066
-9.68917, 0.98486
-9.73193, 1.07525
-9.75738, 1.13274
-9.79554, 1.22517
-9.81879, 1.28592
-9.85210, 1.38021
-9.87276, 1.44413
-9.90095, 1.54008
-9.91862, 1.60702
-9.94145, 1.70438
-9.95573, 1.77414
-9.97298, 1.87264
-9.98348, 1.94494
-9.99495, 2.04428
-10.00130, 2.11878
-10.00681, 2.21863
-10.00869, 2.29492
-10.00809, 2.39492
-10.00522, 2.47255
-9.99841, 2.57232
-9.99057, 2.65076
-9.97749, 2.74990
-9.96454, 2.82861
-9.94516, 2.92671
-9.92704, 3.00510
-9.90139, 3.10175
-9.87813, 3.17922
-9.84628, 3.27401
-9.81799, 3.34998
-9.78007, 3.44251
-9.74694, 3.51642
-9.70311, 3.60630
-9.66544, 3.67761
-9.61590, 3.76447
-9.57403, 3.83271
-9.51903, 3.91623
-9.47338, 3.98099
-9.41320, 4.06086
-9.36422, 4.12180
-9.29916, 4.19774
-9.24734, 4.25461
-9.17774, 4.32641
-9.16061, 4.34373
-9.08962, 4.41416
-9.07230, 4.43102
