8.832834751593237499e+00,-1.461192817800893717e+00,1.469741954458202438e+00,4.703607041681275192e+00
8.875398078739335617e+00,-1.315456425897601589e+00,1.519351350384417376e+00,4.749140911632451889e+00
8.910649423249289214e+00,-1.175882134952757285e+00,1.561414449740165855e+00,4.794352327803993674e+00
8.943639153108160045e+00,-1.031447806073598761e+00,1.608787031332340689e+00,4.839313219630207108e+00
8.971881680944123971e+00,-8.811812820629456589e-01,1.657309031662235199e+00,4.881974815999361894e+00
8.994867433640965970e+00,-7.253971770467546598e-01,1.702444618344079563e+00,4.920467518633668824e+00
9.012324145708236145e+00,-5.614555800169247490e-01,1.743898813806649351e+00,4.952877250372228701e+00
9.024453309728290407e+00,-3.895061733757785305e-01,1.778957095954886825e+00,4.974440476403533928e+00
9.032099246900905598e+00,-2.096225703334138046e-01,1.805162671554302545e+00,4.984027858296271596e+00
9.039133090549317018e+00,-2.177700843413088450e-02,1.829111338763051542e+00,4.981315449321516375e+00
9.045551752348114150e+00,1.732173760514799099e-01,1.888366367383792710e+00,4.964011728797924405e+00
9.036629804437337654e+00,3.669375373844578903e-01,1.964433644456199612e+00,4.930918903491301464e+00
9.016564147160732290e+00,5.509509568545438718e-01,2.024856777880630787e+00,4.883607920774213795e+00
8.988653581395865899e+00,7.236364059201333410e-01,2.076548952303890694e+00,4.828444147255065211e+00
8.956914547494406520e+00,8.847110710764440888e-01,2.118024415186534171e+00,4.769377450998644186e+00
8.922839073080334416e+00,1.034434957324984694e+00,2.153773808143690349e+00,4.709125823929711352e+00
8.887442744640161152e+00,1.174169891677849575e+00,2.185393617813408795e+00,4.649805750788929437e+00
8.851014369256821723e+00,1.305163345863179059e+00,2.214466471913903334e+00,4.591929071555843400e+00
8.813708149462705421e+00,1.428680890350284116e+00,2.241949244076346215e+00,4.536208305332493751e+00
8.775466610829436576e+00,1.545819084328986293e+00,2.268263664318848960e+00,4.482389162632001600e+00
8.736301862700377896e+00,1.657708623369774648e+00,2.293565585114059058e+00,4.430824665266046125e+00
8.696081842881786983e+00,1.764991174548037556e+00,2.318321254724010849e+00,4.381092137916504647e+00
8.654621720662241557e+00,1.868658700743352608e+00,2.342604256018657960e+00,4.332251344781862024e+00
8.611783040065864370e+00,1.969435269097205454e+00,2.366759322665206611e+00,4.284381970365574333e+00
8.567333814000454240e+00,2.067873857028186269e+00,2.390629216929157419e+00,4.238443600039103920e+00
8.521079717678418319e+00,2.164639837448189219e+00,2.414128278119501925e+00,4.193128889006213278e+00
8.472788095846413015e+00,2.260080406580680101e+00,2.437396531069954797e+00,4.148979084464549771e+00
8.422152184869192482e+00,2.354785541268223259e+00,2.459957386121690348e+00,4.105529614225575941e+00
8.369054726301271785e+00,2.448951293811937546e+00,2.482002520567368364e+00,4.063002702476074646e+00
8.313137545610153722e+00,2.542890404600029797e+00,2.503093930481812723e+00,4.022223025564478860e+00
8.257227471732388580e+00,2.633385131450882710e+00,2.529081427049574060e+00,3.983786608708651311e+00
8.199895054908493464e+00,2.720323716542521808e+00,2.559804469691547180e+00,3.948270012252668160e+00
8.136344062629248697e+00,2.809350040609089660e+00,2.586639436660800762e+00,3.916245879086750481e+00
8.066214566962932153e+00,2.900939288406350514e+00,2.609605224059113215e+00,3.888258505627931072e+00
7.989905614594659866e+00,2.994333055766435159e+00,2.630678522138826025e+00,3.864744445209861823e+00
7.907197559314750102e+00,3.089343190569038278e+00,2.650626630335293665e+00,3.845918595579799426e+00
7.817947216387810094e+00,3.185521566677611993e+00,2.670170712637877752e+00,3.831690783050245130e+00
7.722180603916740438e+00,3.282286923845526339e+00,2.690215179911514376e+00,3.821701092159287327e+00
7.619850037089848094e+00,3.378916084025232358e+00,2.710901196385494760e+00,3.816551945810262136e+00
7.511148215849068777e+00,3.474795371841101765e+00,2.731795077144346884e+00,3.817190878212099125e+00
7.396376317383463572e+00,3.569114011747132498e+00,2.753316747003790255e+00,3.822040119508311573e+00
7.275691802145989762e+00,3.661285660199746772e+00,2.775576232481778316e+00,3.830945921847085600e+00
7.149520548142753285e+00,3.750771248502428712e+00,2.798836765277082694e+00,3.843473979998105250e+00
7.018245542674596216e+00,3.837090360094462582e+00,2.822067304315611924e+00,3.861165888132574775e+00
6.882284555929330416e+00,3.920014648484672293e+00,2.844259611171411795e+00,3.883787648438858486e+00
6.742080609295458160e+00,3.999211593237583351e+00,2.865959778662832136e+00,3.910130664150191837e+00
6.597999704320603342e+00,4.074498725169378055e+00,2.887867190863131484e+00,3.938620668212824416e+00
6.450448474049063741e+00,4.145771572248561299e+00,2.909933917498352951e+00,3.970123413297298232e+00
6.299801018002818331e+00,4.212935872221730271e+00,2.932265347974836622e+00,4.003007085633181639e+00
6.146368891798015710e+00,4.276039590924050060e+00,2.953940095236156083e+00,4.039438816639979279e+00
5.990480836814707999e+00,4.335043116259583940e+00,2.975469471394934562e+00,4.076114502860723299e+00
5.832417811102854621e+00,4.389985265008245818e+00,2.996970116736478840e+00,4.115102439794760869e+00
5.672426028290695754e+00,4.440913356092843323e+00,3.018245062241642351e+00,4.154638910264675467e+00
5.510733207475060347e+00,4.487907603629014197e+00,3.038968347402827952e+00,4.196266816801243138e+00
5.347544416608281281e+00,4.531093307123847502e+00,3.058191531146187359e+00,4.239250459732366139e+00
5.183054827147524968e+00,4.570494376627363131e+00,3.077373039774788044e+00,4.281906038837563599e+00
5.017413287451519821e+00,4.606138849458894846e+00,3.097618844525722004e+00,4.324219430075316062e+00
4.850786594185881206e+00,4.638163360365295418e+00,3.117090146320394606e+00,4.368617908091581015e+00
4.683292009440583215e+00,4.666673501687644610e+00,3.135602301628693134e+00,4.412642062647654129e+00
4.515039552606846307e+00,4.691593033202688723e+00,-3.128328969688514594e+00,4.456360528235442153e+00
4.346203238508694611e+00,4.712825929643010170e+00,-3.107660210455330585e+00,4.499758365514974656e+00
4.176988760401085798e+00,4.730135344587527158e+00,-3.084554700083730783e+00,4.542864224860414524e+00
4.007358957154502299e+00,4.743177934856277034e+00,-3.059394463888894578e+00,4.588411698613826140e+00
3.837468580726010714e+00,4.751412043422590159e+00,-3.033370492032215981e+00,4.638544049483358300e+00
3.670190539231468208e+00,4.754502818101606465e+00,-3.006780134250004011e+00,4.689107686620212156e+00
3.518433723132063928e+00,4.755254526588611697e+00,-2.997810746277464578e+00,4.744327278125410885e+00
3.378606862195696614e+00,4.757873010752803111e+00,-3.000090672923793278e+00,4.799772264185605763e+00
3.239281517090818685e+00,4.759168556683196272e+00,-2.998515988382278064e+00,4.857464489757949089e+00
3.101264601936173815e+00,4.759424007270189882e+00,-2.995082365503796584e+00,4.908353305100113140e+00
2.963531854268828258e+00,4.758151743429411162e+00,-2.988966723698640582e+00,4.945144580417901281e+00
2.826315642103781833e+00,4.755860697042851193e+00,-2.987977732764481420e+00,4.960339073928831333e+00
2.689110941510270525e+00,4.753213796701405869e+00,-3.002280558188529458e+00,4.965477026397200788e+00
2.551805458929338855e+00,4.750825217636363895e+00,-3.037561069860148510e+00,4.972351331380893136e+00
2.414312233965722587e+00,4.748834582250957226e+00,-3.088081408983808451e+00,4.980119319813889334e+00
2.276448659203688774e+00,4.747503404408081273e+00,3.134999142642493464e+00,4.979714711198297117e+00
2.138221037084312215e+00,4.747141170950267330e+00,3.070049563662968328e+00,4.981758901537871154e+00
2.000743440079230329e+00,4.748078412535416071e+00,3.001798660179857414e+00,4.984031595964845351e+00
1.864515573182385255e+00,4.751053040313252041e+00,2.931783679425837175e+00,4.987447963369314508e+00
1.727947541685735500e+00,4.756952647794189026e+00,2.863660394508056317e+00,4.983413715285737844e+00
1.590274777823129870e+00,4.766039868970375792e+00,2.800034896327235234e+00,4.975636681855196919e+00
1.451635617572642145e+00,4.778499588832470835e+00,2.743749988653701788e+00,4.968892266949593406e+00
1.312508171066681939e+00,4.794468761302227655e+00,2.693742736574065155e+00,4.966466869343622470e+00
1.173208636881195144e+00,4.814679223748211001e+00,2.647661208659811471e+00,4.968565401889511790e+00
1.025898490527226592e+00,4.842803976105988895e+00,2.618168153485396221e+00,4.972724806210813142e+00
8.687284539128006244e-01,4.876060097855436481e+00,2.605057513500594890e+00,4.972550511131419881e+00
7.107153391297629241e-01,4.910933699082214332e+00,2.590396042127788956e+00,4.968560984891318810e+00
5.540377539459768741e-01,4.947897592330264160e+00,2.573205270830180691e+00,4.963641158173299317e+00
3.982810253350841379e-01,4.987378976433362254e+00,2.559261718682828146e+00,4.960198987346884358e+00
2.436621752535206298e-01,5.029439454987830516e+00,2.554570566768295858e+00,4.957345545857459790e+00
8.989775370642938412e-02,5.073777621713929875e+00,2.565263651685142587e+00,4.955638941655867491e+00
-6.319152687465212637e-02,5.119781963888883070e+00,2.597121995103125247e+00,4.962490371984936921e+00
-2.157634746511849499e-01,5.167205719542572240e+00,2.645335059544862144e+00,4.974771555207512463e+00
