x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
0.436858,-7.336630,0.870546,0.529454,-0.014452,-0.179022,5.499426
0.745776,-7.348406,0.873934,0.526066,0.000650,0.308061,5.486782
0.994570,-7.336267,0.884248,0.515752,0.057918,0.080564,5.488814
1.221086,-7.320846,0.901883,0.498117,0.075197,0.065726,5.492274
1.440117,-7.302700,0.877076,0.426024,0.088639,0.057311,5.494861
1.647696,-7.282933,0.901591,0.398409,0.081320,-0.118065,5.495386
1.877347,-7.267066,0.935144,0.402056,0.135338,0.570966,5.493323
2.105923,-7.220536,1.052901,0.444899,0.192969,-0.071336,5.488179
2.322139,-7.180153,1.073329,0.433371,0.210288,0.216444,5.479899
2.552457,-7.125226,1.167650,0.508150,0.262738,0.235081,5.468400
2.785898,-7.055423,1.214042,0.549558,0.323528,0.263607,5.453283
3.020563,-6.968266,1.243959,0.592941,0.390291,0.271064,5.434276
3.253904,-6.862888,1.254325,0.633275,0.458366,0.262777,5.410967
3.483380,-6.739904,1.245436,0.663664,0.525152,0.252070,5.382521
3.706887,-6.600418,1.227468,0.689032,0.590590,0.246013,5.347756
3.922663,-6.445404,1.184440,0.692160,0.654980,0.239778,5.305145
4.129304,-6.275962,1.138724,0.691676,0.717666,0.230044,5.252190
4.326062,-6.093259,1.107730,0.697070,0.779034,0.227221,5.186024
4.512345,-5.897766,1.087321,0.701779,0.841041,0.231809,5.103796
4.687396,-5.689297,1.068386,0.695814,0.904989,0.238224,5.002578
4.849907,-5.467999,1.086888,0.712012,0.969830,0.237227,4.881798
4.997281,-5.237277,1.100786,0.710714,1.028224,0.192307,4.750556
5.130085,-5.003306,1.127587,0.727813,1.075448,0.159508,4.618447
5.249773,-4.769940,1.126069,0.724831,1.113435,0.129853,4.493668
5.358328,-4.539554,1.128897,0.736803,1.140729,0.082747,4.381959
5.459395,-4.312951,1.125155,0.763845,1.158202,0.056837,4.284591
5.555663,-4.088728,1.113866,0.809434,1.178796,0.112524,4.189696
5.644572,-3.865009,1.046287,0.822713,1.215216,0.190960,4.082487
5.722202,-3.640277,1.000851,0.882549,1.267416,0.239738,3.947316
5.788413,-3.405516,0.934536,0.943464,1.347687,0.362171,3.764758
5.839052,-3.125263,0.789361,0.943139,1.525762,0.747640,3.503335
5.817109,-2.768745,0.678328,0.959472,1.833819,1.015229,3.135511
5.643883,-2.400432,0.560630,0.909870,2.241250,1.084734,2.765315
5.302197,-2.119418,0.569018,0.880282,2.719462,1.226827,2.505023
4.849287,-2.043555,0.672041,0.854859,-3.048312,1.304052,2.347351
4.456082,-2.198574,0.732884,0.773416,-2.556222,1.247311,2.255301
4.222952,-2.458735,0.702025,0.652475,-2.196068,0.728559,2.200227
4.084282,-2.713604,0.639283,0.559017,-2.013692,0.413930,2.159256
3.984166,-2.962159,0.609764,0.534936,-1.932708,0.162972,2.121703
3.898195,-3.205137,0.577859,0.533941,-1.910062,0.006387,2.100511
3.813853,-3.444754,0.605000,0.608700,-1.921065,-0.093461,2.104859
3.724186,-3.681440,0.605487,0.664413,-1.955274,-0.176227,2.128121
3.623834,-3.914385,0.592224,0.706876,-2.010353,-0.257348,2.166851
3.507842,-4.141512,0.574631,0.733069,-2.085745,-0.333727,2.219537
3.371999,-4.359422,0.565463,0.749537,-2.181164,-0.411083,2.284794
3.213137,-4.562840,0.543543,0.751457,-2.292343,-0.454977,2.361265
3.031686,-4.746226,0.510476,0.756224,-2.411200,-0.472759,2.447574
2.831026,-4.905067,0.454099,0.756301,-2.534177,-0.495301,2.542300
2.615529,-5.035488,0.387716,0.774284,-2.660308,-0.512713,2.643931
2.390251,-5.135260,0.382813,0.869987,-2.778442,-0.448969,2.750966
2.161469,-5.208033,0.367541,0.954259,-2.880880,-0.404671,2.861880
1.932755,-5.257313,0.368678,1.033722,-2.970905,-0.361771,2.975202
1.704717,-5.286761,0.393250,1.100650,-3.054370,-0.360049,3.089542
1.475763,-5.297274,0.447671,1.151529,-3.138531,-0.369881,3.203612
1.244030,-5.288171,0.527860,1.174340,3.068575,-0.284664,3.316198
1.008024,-5.263060,0.628639,1.169161,3.015770,-0.163439,3.426078
0.767958,-5.227952,0.643712,1.048788,2.983469,-0.104750,3.531879
0.525052,-5.186048,0.687915,0.931485,2.962042,-0.069911,3.632156
0.279953,-5.139377,0.729113,0.794687,2.947865,-0.044172,3.725458
0.033131,-5.089539,0.783842,0.661858,2.938540,-0.030098,3.810327
-0.214888,-5.037494,0.855163,0.541237,2.932393,-0.018553,3.885293
-0.463453,-4.984111,0.938407,0.433493,2.930306,0.002078,3.948884
-0.711809,-4.930910,1.030798,0.341302,2.934688,0.032584,3.999989
-0.959434,-4.880001,1.134913,0.280787,2.946327,0.059731,4.038963
-1.206177,-4.833131,1.215866,0.228134,2.963719,0.079044,4.066549
-1.451712,-4.791502,1.294274,0.210726,2.987126,0.109270,4.083525
-1.696063,-4.756853,1.357185,0.217715,3.016685,0.129977,4.090894
-1.940150,-4.730173,1.370156,0.227144,3.048707,0.129697,4.090439
-2.185991,-4.711214,1.344409,0.255591,3.075301,0.085587,4.084078
-2.435079,-4.697315,1.297889,0.297011,3.088793,0.023370,4.073774
-2.686436,-4.684766,1.253468,0.362132,3.091599,-0.000871,4.061663
-2.938067,-4.672148,1.208139,0.450861,3.092138,0.005162,4.049960
-3.189216,-4.659881,1.110243,0.510757,3.092952,0.001303,4.040804
-3.439823,-4.647723,1.018996,0.588904,3.091636,-0.011841,4.036215
-3.689502,-4.634868,0.810671,0.553529,3.087418,-0.021972,4.038109
-3.937821,-4.620717,0.603423,0.516077,3.079756,-0.039769,4.048174
-4.184435,-4.604224,0.515791,0.578509,3.067819,-0.056970,4.067058
-4.429077,-4.584410,0.556879,0.747921,3.050826,-0.081663,4.093349
-4.671626,-4.559881,0.497361,0.785839,3.027881,-0.106596,4.125235
-4.912187,-4.529237,0.426056,0.773944,2.999691,-0.125568,4.161121
-5.151334,-4.491349,0.410864,0.778036,2.966917,-0.144123,4.199584
-5.390468,-4.444833,0.396576,0.747924,2.926842,-0.183122,4.239255
-5.630813,-4.386768,0.420765,0.724635,2.876431,-0.222815,4.278838
-5.872564,-4.313917,0.439238,0.668162,2.815703,-0.256735,4.317037
-6.114921,-4.223169,0.495857,0.631743,2.747861,-0.267590,4.352327
-6.356186,-4.113008,0.573347,0.609753,2.677646,-0.264111,4.382654
-6.593268,-3.983817,0.633251,0.576649,2.606196,-0.267930,4.405462
-6.822420,-3.836443,0.685816,0.552384,2.533217,-0.270402,4.418051
-7.040427,-3.672369,0.748289,0.555411,2.461642,-0.256639,4.417544
-7.245309,-3.494504,0.834025,0.594475,2.394785,-0.238055,4.400745
-7.436055,-3.306155,0.879679,0.605921,2.332923,-0.224174,4.364452
-7.612662,-3.109642,0.926766,0.629134,2.272534,-0.232315,4.305659
-7.775324,-2.904778,1.019358,0.710242,2.203584,-0.295233,4.221608
-7.920696,-2.689632,1.088565,0.785435,2.118637,-0.361648,4.110285
-8.044104,-2.464256,1.123750,0.851450,2.017310,-0.425171,3.972202
-8.142220,-2.226929,1.110969,0.913131,1.897696,-0.493704,3.812839
-8.211208,-1.971418,1.092102,1.022198,1.769061,-0.472024,3.636787
-8.248902,-1.695923,1.044353,1.141047,1.643091,-0.439892,3.448921
-8.252184,-1.405605,0.967429,1.240371,1.512837,-0.468247,3.257636
-8.214960,-1.110976,0.886287,1.321013,1.372954,-0.472891,3.076778
-8.133885,-0.815478,0.812404,1.375596,1.173781,-0.840534,2.916134
-7.977907,-0.545592,0.733590,1.376210,0.866407,-1.247274,2.790110
-7.746084,-0.359145,0.569014,1.253186,0.538146,-1.019813,2.708998
-7.489313,-0.253944,0.456255,1.146545,0.323971,-0.496100,2.664470
-7.235494,-0.187688,0.418856,1.084344,0.221221,-0.267558,2.644399
-6.984673,-0.140449,0.438655,1.061345,0.165203,-0.166848,2.643614
-6.736033,-0.104417,0.468333,1.031667,0.123259,-0.166536,2.658664
-6.489159,-0.079061,0.502978,0.997022,0.082527,-0.161419,2.686261
-6.244001,-0.063718,0.535828,0.964172,0.045093,-0.142555,2.724133
-5.999777,-0.056979,0.556271,0.937229,0.013709,-0.113605,2.770130
-5.755384,-0.057019,0.525303,0.874697,-0.010322,-0.082868,2.824445
-5.510318,-0.062031,0.537621,0.861879,-0.024731,-0.034845,2.888936
-5.264516,-0.069162,0.545618,0.834882,-0.029281,-0.002267,2.966064
-5.018425,-0.076438,0.515274,0.784726,-0.028615,0.007675,3.057409
-4.772307,-0.083250,0.516459,0.782741,-0.025104,0.020812,3.164369
-4.525804,-0.088808,0.497780,0.774420,-0.017775,0.038577,3.289014
-4.278652,-0.092025,0.456053,0.748047,-0.006404,0.053382,3.433446
-4.030812,-0.091978,0.476465,0.794435,0.007429,0.058256,3.599713
-3.782420,-0.088339,0.507454,0.860446,0.021845,0.057980,3.789007
-3.534223,-0.081128,0.508655,0.903445,0.034855,0.046933,3.998558
-3.286891,-0.071060,0.535008,0.977392,0.044604,0.031853,4.224601
-3.040896,-0.059109,0.553611,1.046389,0.049246,0.005705,4.463172
-2.796265,-0.046880,0.541400,1.068800,0.048014,-0.015813,4.710377
-2.551908,-0.035612,0.571607,1.128393,0.043597,-0.020228,4.962624
-2.306920,-0.025532,0.559414,1.137286,0.038431,-0.021887,5.216233
-2.061052,-0.016739,0.540117,1.127583,0.033201,-0.020627,5.467481
-1.814240,-0.009168,0.553615,1.138985,0.028210,-0.019810,5.712599
-1.566647,-0.002788,0.515605,1.104695,0.022888,-0.023162,5.947726
-1.318335,0.002184,0.504784,1.095216,0.017023,-0.024055,6.169020
-1.069151,0.005682,0.512865,1.087135,0.011516,-0.020148,6.372640
-0.819021,0.007934,0.531158,1.068842,0.007129,-0.014949,6.554671
-0.568002,0.009254,0.554393,1.039107,0.004097,-0.009230,6.711140
-0.316196,0.009994,0.571705,0.993195,0.002304,-0.005028,6.838075
-0.063757,0.010416,0.619350,0.963450,0.000648,-0.008088,6.931518
0.189201,0.010322,0.613958,0.869042,-0.001255,-0.006961,6.988378
0.442609,0.009780,0.604386,0.790414,-0.002881,-0.005875,7.009300
0.696354,0.008861,0.600991,0.738209,-0.003873,-0.001951,6.996019
0.950293,0.007814,0.530835,0.643665,-0.001915,0.017386,6.950341
1.204004,0.007888,0.495903,0.609797,0.004075,0.029902,6.874120
1.456994,0.009879,0.510696,0.648604,0.012797,0.039098,6.769237
1.709051,0.014352,0.563836,0.746064,0.023587,0.046538,6.637563
1.960125,0.021749,0.580461,0.825039,0.034778,0.042491,6.480774
2.210565,0.031800,0.589083,0.912417,0.041613,0.011998,6.299907
2.460249,0.042573,0.600629,0.999871,0.049430,0.050807,6.097494
2.708362,0.056426,0.593145,1.028255,0.064848,0.073324,5.877442
2.955088,0.074707,0.624760,1.074840,0.080879,0.056112,5.641429
3.200820,0.096343,0.619712,1.062888,0.094487,0.054212,5.391048
3.445545,0.121187,0.591676,1.008324,0.107583,0.052136,5.129692
3.689860,0.149159,0.621181,0.988019,0.118481,0.036457,4.860018
3.934054,0.179338,0.673593,0.979807,0.129816,0.055778,4.585043
4.177485,0.212819,0.723810,0.976190,0.148987,0.100093,4.308349
4.420284,0.252321,0.751651,0.943349,0.175137,0.112438,4.032353
4.662365,0.298618,0.769602,0.899798,0.207278,0.148973,3.759892
4.902065,0.353639,0.808088,0.889612,0.252674,0.220533,3.494690
5.137921,0.421403,0.779693,0.824507,0.313798,0.277535,3.240003
5.368635,0.505050,0.742269,0.767631,0.391087,0.353091,2.999272
5.591309,0.608346,0.653125,0.674775,0.493773,0.484643,2.776537
5.800603,0.737555,0.535604,0.558496,0.632305,0.642033,2.576791
5.988593,0.899417,0.456264,0.485536,0.814483,0.823717,2.405013
6.143191,1.100674,0.449372,0.469528,1.052244,1.063052,2.261576
6.241231,1.342144,0.516421,0.486179,1.337963,1.155517,2.147910
6.264125,1.610656,0.626342,0.518758,1.677192,1.424827,2.063143
6.184248,1.875692,0.757537,0.566363,2.059975,1.472771,2.004755
6.009554,2.088873,0.888921,0.626779,2.436232,1.370952,1.968333
5.776888,2.222557,1.000340,0.701260,2.746969,0.992156,1.947403
5.526503,2.290049,1.007426,0.709974,2.936258,0.458384,1.936522
5.275605,2.326959,0.985542,0.714458,3.020533,0.200146,1.932288
5.026786,2.350842,0.961823,0.738177,3.060847,0.121364,1.932041
4.780944,2.366988,0.932863,0.767537,3.087354,0.093208,1.933277
4.537806,2.377390,0.904237,0.805163,3.107195,0.069228,1.933811
4.296354,2.383663,0.917295,0.882505,3.123429,0.064906,1.934531
4.055693,2.386148,0.878179,0.883821,3.138752,0.062035,1.947941
3.814377,2.385032,0.849126,0.886774,-3.133519,0.028417,1.991877
3.571584,2.382239,0.865913,0.934087,-3.128225,0.015296,2.094728
3.327698,2.378526,0.862067,0.937933,-3.125265,0.008988,2.287687
3.082466,2.374252,0.868667,0.931333,-3.123238,0.007543,2.602859
2.835590,2.369492,0.884579,0.915421,-3.121087,0.009871,3.073639
2.587310,2.364097,0.899130,0.885270,-3.117470,0.019198,3.713600
2.337499,2.357474,0.885467,0.814533,-3.113910,0.009361,4.456904
2.086404,2.350228,0.914129,0.765571,-3.113512,-0.006149,5.207163
1.835464,2.343373,0.887826,0.666274,-3.114047,0.001894,5.860148
1.585234,2.336419,0.820922,0.544978,-3.113462,0.002781,6.410660
1.335200,2.329296,0.786356,0.473844,-3.113374,-0.002079,6.880347
1.085194,2.322305,0.776803,0.445597,-3.114442,-0.006468,7.289518
0.835245,2.315719,0.826529,0.501371,-3.116600,-0.010797,7.658152
0.585366,2.309810,0.894005,0.598495,-3.119874,-0.015399,8.011064
0.335562,2.304865,0.878196,0.630104,-3.124363,-0.020532,8.392836
0.085778,2.301202,0.893672,0.713828,-3.130312,-0.027091,8.605631
-0.164077,2.299229,0.903474,0.804026,-3.136848,-0.025225,8.612141
-0.413961,2.298830,0.916151,0.883849,3.140902,-0.018282,8.655873
-0.663873,2.299574,0.881033,0.909567,3.136679,-0.015509,8.698275
-0.913853,2.301287,0.809440,0.890560,3.133268,-0.011785,8.732158
-1.163847,2.303736,0.789699,0.910301,3.130992,-0.006424,8.758145
-1.413828,2.306587,0.778036,0.921964,3.130164,-0.000203,8.776870
-1.663815,2.309451,0.761274,0.924026,3.130851,0.005703,8.788976
-1.913884,2.311958,0.709268,0.890732,3.132346,0.006251,8.795106
-2.164107,2.314077,0.706096,0.898204,3.133681,0.004421,8.795893
-2.414473,2.315919,0.731177,0.908423,3.134751,0.004124,8.791954
-2.664907,2.317503,0.776396,0.923604,3.136131,0.006900,8.783923
-2.915354,2.318654,0.788432,0.891268,3.137680,0.005464,8.772433
-3.165809,2.319463,0.771637,0.808263,3.139101,0.005886,8.758115
-3.416269,2.319903,0.773260,0.725940,-3.140885,0.019662,8.741626
-3.666736,2.319109,0.790552,0.678948,-3.135671,0.021972,8.723605
-3.917209,2.316936,0.731860,0.584940,-3.130526,0.019106,8.704665
-4.167664,2.313565,0.654135,0.495865,-3.125973,0.017250,8.685431
-4.418092,2.309112,0.637829,0.491171,-3.121895,0.015313,8.666536
-4.668481,2.303699,0.666205,0.552595,-3.118328,0.013176,8.648617
-4.918829,2.297460,0.743120,0.682280,-3.115375,0.010402,8.632307
-5.169135,2.290570,0.752746,0.762954,-3.113499,0.004587,8.618245
-5.419410,2.283393,0.738044,0.833956,-3.114019,-0.008739,8.607065
-5.669694,2.276764,0.721181,0.902119,-3.117025,-0.015273,8.599430
-5.920001,2.271092,0.730538,0.969462,-3.118647,0.002315,8.596008
-6.170302,2.265275,0.713875,0.986125,-3.116206,0.017184,8.597420
-6.420564,2.258382,0.704983,0.995017,-3.110402,0.029191,8.366288
-6.670692,2.249662,0.705647,0.994353,-3.101598,0.041199,7.977117
-6.920424,2.238379,0.719872,0.980128,-3.090314,0.049136,7.575051
-7.169474,2.224063,0.741298,0.958702,-3.076612,0.060771,7.160520
-7.417649,2.206024,0.757879,0.942121,-3.059631,0.075783,6.735359
-7.664756,2.183378,0.774957,0.925043,-3.039215,0.088826,6.307060
-7.910588,2.155381,0.809144,0.912356,-3.015790,0.100558,5.884593
-8.154991,2.121378,0.866741,0.912059,-2.989032,0.116263,5.476974
-8.397941,2.080448,0.903822,0.880478,-2.956912,0.144383,5.093255
-8.639240,2.030915,0.922631,0.811269,-2.918601,0.166552,4.742493
-8.878575,1.971458,0.974014,0.739586,-2.878522,0.158768,4.433746
-9.115431,1.902671,1.071143,0.678157,-2.839766,0.156344,4.173998
-9.348377,1.825191,1.156503,0.587997,-2.799500,0.173431,3.961388
-9.574720,1.739121,1.223911,0.476089,-2.751580,0.227565,3.791788
-9.788793,1.644149,1.325552,0.406748,-2.683130,0.376442,3.661266
-9.979278,1.539458,1.464666,0.401434,-2.574786,0.703223,3.565928
-10.124981,1.430175,1.614229,0.457171,-2.358631,1.767435,3.501957
-10.219209,1.300693,1.623912,0.450788,-2.061091,1.514895,3.458235
-10.286054,1.128408,1.544023,0.420377,-1.871296,0.650372,3.424355
-10.336904,0.920891,1.457992,0.415808,-1.767922,0.381425,3.401146
-10.372193,0.697107,1.380311,0.434889,-1.694897,0.278985,3.390637
-10.393603,0.466356,1.362633,0.513367,-1.635142,0.241458,3.392077
-10.402099,0.232976,1.303534,0.539466,-1.583175,0.205417,3.403482
-10.399387,-0.000860,1.290843,0.588957,-1.538021,0.181622,3.422444
-10.386794,-0.233824,1.251619,0.580081,-1.497829,0.163030,3.446409
-10.365420,-0.465549,1.228027,0.564973,-1.462438,0.140959,3.472853
-10.336495,-0.696196,1.232028,0.564172,-1.432255,0.118554,3.499298
-10.301203,-0.926099,1.224890,0.537510,-1.407355,0.095386,3.523805
-10.260702,-1.155794,1.238473,0.518127,-1.387724,0.072902,3.546558
-10.216093,-1.385793,1.234478,0.474022,-1.371695,0.063879,3.568238
-10.167751,-1.616463,1.243047,0.448053,-1.353518,0.090106,3.589491
-10.114116,-1.847721,1.246800,0.427100,-1.328047,0.124135,3.610983
-10.053167,-2.079178,1.231273,0.401827,-1.294345,0.157200,3.633393
-9.982917,-2.310151,1.251371,0.424729,-1.252878,0.186111,3.657399
-9.901592,-2.539780,1.266983,0.459917,-1.205478,0.203149,3.683697
-9.808172,-2.767015,1.278562,0.503238,-1.154314,0.213875,3.712972
-9.702219,-2.990483,1.269255,0.538245,-1.100204,0.224453,3.745845
-9.583526,-3.208614,1.188765,0.510435,-1.043529,0.232554,3.782723
-9.452057,-3.420129,1.148791,0.535709,-0.986574,0.225534,3.823485
-9.308746,-3.624179,1.149456,0.602844,-0.930427,0.225719,3.867838
-9.154430,-3.819564,1.079032,0.597968,-0.874525,0.224040,3.915453
-8.990034,-4.005443,1.046879,0.623421,-0.821252,0.205660,3.966057
-8.817089,-4.182005,0.986064,0.614336,-0.773054,0.184496,4.019382
-8.637052,-4.349817,0.954154,0.627146,-0.730232,0.163510,4.075183
-8.451190,-4.509608,0.920920,0.629680,-0.692536,0.144061,4.133217
-8.260565,-4.662154,0.892335,0.628365,-0.659619,0.125523,4.193244
-8.066051,-4.808282,0.860473,0.616527,-0.631298,0.107181,4.255034
-7.868337,-4.948914,0.864718,0.635682,-0.607343,0.090138,4.318381
-7.667860,-5.085013,0.857739,0.640361,-0.586781,0.079509,4.383082
-7.464892,-5.217166,0.836480,0.625720,-0.568422,0.072097,4.448898
-7.259722,-5.345708,0.852269,0.637031,-0.551916,0.064220,4.515578
-7.052545,-5.471066,0.854154,0.626146,-0.537332,0.056155,4.582911
-6.843322,-5.593803,0.849365,0.602135,-0.524322,0.051077,4.650669
-6.632019,-5.714262,0.882736,0.619864,-0.512121,0.049306,4.718470
-6.418926,-5.832376,0.841738,0.583262,-0.499688,0.052832,4.785801
-6.204298,-5.947754,0.865337,0.609863,-0.485846,0.060807,4.852145
-5.988052,-6.059905,0.862272,0.596828,-0.470322,0.066645,4.917081
-5.770035,-6.168520,0.879339,0.588561,-0.453534,0.071210,4.980246
-5.550201,-6.273323,0.870534,0.539966,-0.435785,0.074590,5.041258
-5.328607,-6.374067,0.865246,0.482154,-0.417122,0.078824,5.099710
-5.105413,-6.470419,0.901452,0.460348,-0.397105,0.085975,5.155161
-4.880811,-6.561866,0.870241,0.373659,-0.374858,0.097602,5.207163
-4.654781,-6.647726,0.860819,0.326281,-0.347077,0.144833,5.255378
-4.446834,-6.718844,0.740209,0.182391,-0.447980,-0.869406,5.299776
-4.214168,-6.859470,0.600435,0.164665,-0.294666,1.953182,5.341336
-3.945582,-6.870975,0.722461,0.182439,-0.139355,-0.871912,5.379044
-3.731281,-6.927201,0.767537,0.257863,-0.241450,0.124109,5.412696
-3.494118,-6.982150,0.848117,0.381783,-0.216849,0.088508,5.442864
-3.254666,-7.032206,0.823029,0.409371,-0.196590,0.077118,5.469543
-3.012928,-7.077985,0.838806,0.489394,-0.179935,0.058385,5.492762
-2.769170,-7.120519,0.847209,0.577191,-0.166889,0.047343,5.512522
-2.524631,-7.160241,0.862625,0.642575,-0.153447,0.061268,5.528653
-2.279653,-7.196229,0.848696,0.648704,-0.138308,0.060917,5.541129
-2.033901,-7.228549,0.828993,0.632507,-0.123238,0.060682,5.550053
-1.787419,-7.257200,0.831927,0.623573,-0.108370,0.059161,5.555464
-1.540261,-7.282256,0.811713,0.583087,-0.093822,0.058015,5.557409
-1.292684,-7.303753,0.772487,0.527513,-0.078852,0.062518,5.555915
-1.044932,-7.321395,0.773580,0.527820,-0.062573,0.068554,5.551029
-0.796975,-7.334812,0.814797,0.564803,-0.045054,0.072507,5.542835
-0.548701,-7.343767,0.817444,0.560156,-0.026520,0.076663,5.531432
-0.300040,-7.347994,0.783835,0.516165,-0.006804,0.081533,5.516922
-0.049955,-7.347160,0.793295,0.507405,0.016546,0.117469,5.499426
0.174246,-7.340146,0.858029,0.540471,0.021628,-0.073013,5.469928
