x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
0.433322,-7.601893,0.603900,0.796100,0.042163,0.091894,5.713700
0.683146,-7.588475,0.624200,0.775800,0.065771,0.096858,5.287624
0.932572,-7.569009,0.648200,0.751800,0.090550,0.101250,4.921563
1.181425,-7.543232,0.680300,0.719700,0.116352,0.105041,4.611383
1.429514,-7.510927,0.670000,0.632300,0.143663,0.113324,4.352951
1.676586,-7.471603,0.710500,0.589500,0.173424,0.124638,4.142134
1.922311,-7.424596,0.771700,0.565800,0.207291,0.146162,3.974797
2.166153,-7.368641,0.893400,0.604500,0.246932,0.170849,3.846804
2.407378,-7.302322,0.928600,0.576400,0.291198,0.183178,3.754023
2.645303,-7.225031,1.038000,0.635800,0.339489,0.203096,3.692319
2.878979,-7.135771,1.098400,0.662300,0.392494,0.220952,3.657558
3.107354,-7.033755,1.141000,0.691900,0.448321,0.225727,3.645600
3.329601,-6.919028,1.164000,0.721600,0.504139,0.220900,3.652310
3.545175,-6.792213,1.164900,0.742200,0.558609,0.214933,3.673557
3.753626,-6.654007,1.155800,0.760900,0.612071,0.212835,3.705209
3.954432,-6.504913,1.123300,0.762800,0.665118,0.211614,3.743137
4.147074,-6.345410,1.079500,0.757400,0.717450,0.207108,3.783210
4.331207,-6.176151,1.047800,0.760900,0.769012,0.205444,3.821300
4.506408,-5.997664,1.025300,0.766700,0.820830,0.209159,3.853108
4.672041,-5.810267,1.003800,0.766500,0.873759,0.214344,3.873668
4.827398,-5.614272,1.006400,0.781200,0.928260,0.221758,3.877848
4.971656,-5.409975,1.016000,0.793600,0.985044,0.232650,3.860517
5.103796,-5.197646,1.032400,0.809600,1.044341,0.241905,3.816543
5.222866,-4.977724,1.040200,0.812500,1.105800,0.249983,3.740796
5.327972,-4.750801,1.051300,0.809300,1.169871,0.262857,3.628147
5.417958,-4.517475,1.070900,0.807000,1.237568,0.279070,3.473465
5.491470,-4.278452,1.108200,0.815800,1.309953,0.300482,3.271624
5.546851,-4.034595,1.104200,0.776400,1.389146,0.333727,3.017495
5.581741,-3.786977,1.118500,0.752800,1.477806,0.376512,2.709495
5.593241,-3.537161,1.149600,0.749300,1.582593,0.463623,2.370086
5.575852,-3.287739,1.141200,0.708700,1.710972,0.567353,2.031847
5.523580,-3.043467,1.072100,0.618200,1.867623,0.694101,1.727462
5.430385,-2.812143,1.016900,0.554100,2.059714,0.858743,1.489356
5.290795,-2.605900,0.965700,0.508300,2.294037,1.044329,1.349362
5.103482,-2.441848,0.947900,0.500400,2.622766,1.672793,1.339200
4.867929,-2.364441,0.992800,0.540100,3.018193,1.619505,1.478567
4.621127,-2.382022,0.974600,0.539200,-2.876603,1.611696,1.741435
4.398470,-2.491839,0.918200,0.548000,-2.543853,1.136505,2.093082
