x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
0.440510,-7.472025,0.735101,0.664899,-0.052865,-0.393229,7.182416
0.757491,-7.505466,0.716438,0.683562,-0.053056,0.400497,7.227332
1.015252,-7.502547,0.716678,0.683322,0.032138,0.181484,7.261911
1.243577,-7.489838,0.731376,0.668624,0.071410,0.143311,7.279798
1.463296,-7.470498,0.707639,0.595461,0.100531,0.123734,7.281971
1.667538,-7.447073,0.736199,0.563801,0.106670,-0.063069,7.264538
1.903658,-7.423345,0.776603,0.560597,0.170509,0.583902,7.238034
2.138686,-7.365950,0.903762,0.594038,0.235158,-0.039231,7.193343
2.354639,-7.315294,0.934259,0.572441,0.257958,0.225807,7.122604
2.588599,-7.247247,1.040325,0.635475,0.311643,0.227836,7.031943
2.825441,-7.163630,1.098786,0.664814,0.370224,0.239296,6.914350
3.062937,-7.063147,1.140015,0.696885,0.430361,0.229137,6.764462
3.298541,-6.946450,1.159576,0.728024,0.486933,0.203207,6.576409
3.530517,-6.815584,1.156279,0.752821,0.537105,0.174727,6.345049
3.758213,-6.672715,1.138809,0.777691,0.580743,0.150480,6.073082
3.981688,-6.519512,1.089701,0.786899,0.619002,0.132139,5.792494
4.201263,-6.357085,1.030285,0.800115,0.655444,0.134445,5.537588
4.416904,-6.184905,0.978690,0.826110,0.694732,0.149491,5.314273
4.628371,-6.001166,0.931891,0.857209,0.739828,0.171180,5.098203
4.834983,-5.803293,0.881837,0.882363,0.792250,0.194365,4.858180
5.034824,-5.589106,0.865689,0.933211,0.851244,0.211230,4.575015
5.222744,-5.360783,0.843435,0.968065,0.909907,0.189152,4.281537
5.396405,-5.124067,0.834811,1.020589,0.963146,0.174778,4.016741
5.555560,-4.882205,0.800126,1.050774,1.012184,0.165794,3.794727
5.699397,-4.639294,0.774036,1.091664,1.059780,0.173399,3.614336
5.826706,-4.398616,0.749872,1.139128,1.114022,0.223844,3.444170
5.936765,-4.156286,0.730663,1.192637,1.191109,0.352895,3.249122
6.023265,-3.906047,0.671543,1.197457,1.301357,0.481889,3.044915
6.077208,-3.647723,0.654599,1.228801,1.442447,0.565484,2.855377
6.092085,-3.372803,0.641176,1.236824,1.617856,0.603852,2.696521
6.048662,-3.041587,0.580562,1.151938,1.852847,0.743180,2.569930
5.886918,-2.664784,0.582037,1.055763,2.155895,0.863853,2.427367
5.593751,-2.354909,0.571519,0.898981,2.499264,0.849860,2.286277
5.225479,-2.169915,0.647827,0.801473,2.871702,1.007815,2.217657
4.825198,-2.142296,0.769746,0.757154,-3.001617,1.176731,2.204619
4.480765,-2.274843,0.811457,0.694843,-2.593767,1.181621,2.204216
4.253515,-2.491089,0.746338,0.608162,-2.291384,0.655179,2.202443
4.094440,-2.714794,0.648564,0.549736,-2.130625,0.441624,2.196365
3.967666,-2.947200,0.588308,0.556392,-2.031943,0.296474,2.183805
3.861940,-3.182718,0.535546,0.576254,-1.964536,0.221546,2.181108
3.770953,-3.420712,0.555978,0.657722,-1.922326,0.107560,2.200145
3.686940,-3.659865,0.562550,0.707350,-1.910782,-0.016959,2.235650
3.601621,-3.899430,0.565562,0.733538,-1.931299,-0.142933,2.285423
3.506581,-4.138299,0.571846,0.735854,-1.983973,-0.264158,2.349312
