x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
0.440510,-7.472025,0.735101,0.664899,-0.071721,-0.507953,7.203727
0.758306,-7.516524,0.705350,0.694650,-0.078923,0.461902,7.218762
1.016944,-7.517614,0.701517,0.698483,0.022723,0.234777,7.201188
1.245387,-7.505454,0.715656,0.684344,0.073982,0.188665,7.157493
1.464918,-7.484411,0.693631,0.609469,0.112053,0.160422,7.091783
1.668587,-7.457834,0.725387,0.574613,0.125013,-0.039749,7.007198
1.904490,-7.429171,0.770718,0.566482,0.193022,0.597007,6.906188
2.138686,-7.365950,0.903762,0.594038,0.260132,-0.031736,6.792391
2.353485,-7.309665,0.940005,0.566695,0.283119,0.219994,6.668398
2.585695,-7.235900,1.052037,0.623763,0.334312,0.213308,6.537519
2.820307,-7.147514,1.115700,0.647900,0.387781,0.214134,6.403984
3.055442,-7.044025,1.160553,0.676347,0.439737,0.192212,6.271740
3.289291,-6.926876,1.181226,0.706374,0.484751,0.153593,6.145020
3.521119,-6.798770,1.175541,0.733559,0.519859,0.112293,6.028844
3.751448,-6.662350,1.151187,0.765313,0.545063,0.076292,5.928730
3.981688,-6.519512,1.089701,0.786899,0.563424,0.059239,5.849912
4.213132,-6.370690,1.012231,0.818169,0.586173,0.105054,5.790990
4.444390,-6.212265,0.939908,0.864892,0.624966,0.170025,5.727307
4.672614,-6.039205,0.873544,0.915556,0.683474,0.236690,5.627306
4.893663,-5.846367,0.809045,0.955155,0.762317,0.300537,5.458168
5.101139,-5.630018,0.787769,1.011131,0.859630,0.356159,5.198551
5.284589,-5.392624,0.773875,1.037625,0.968120,0.377010,4.879731
5.437194,-5.141619,0.790406,1.064994,1.082752,0.409446,4.548332
5.555560,-4.882205,0.800126,1.050774,1.201264,0.427819,4.251652
5.638915,-4.620813,0.837278,1.028422,1.308050,0.348684,4.023277
5.695221,-4.362950,0.886108,1.002892,1.388361,0.251844,3.861569
5.733680,-4.107147,0.939609,0.983691,1.450582,0.226987,3.744869
5.756894,-3.852398,0.943263,0.925737,1.510428,0.243128,3.648023
5.764250,-3.601371,0.970971,0.912429,1.571850,0.240708,3.545985
5.756364,-3.349153,0.977729,0.900271,1.647250,0.326637,3.413336
5.723889,-3.074482,0.906997,0.825503,1.803981,0.739133,3.218473
5.620639,-2.777693,0.871265,0.766535,2.074327,1.076683,2.937531
5.421741,-2.526015,0.814140,0.656360,2.415769,1.149281,2.660189
5.152725,-2.362454,0.853653,0.595647,2.801846,1.368904,2.476704
4.842596,-2.321315,0.949609,0.577291,-3.054756,1.561724,2.368243
4.565269,-2.413595,0.973916,0.532384,-2.629213,1.492251,2.294725
4.367043,-2.588807,0.896129,0.458371,-2.327378,0.719537,2.237512
4.211606,-2.788251,0.786853,0.411447,-2.176164,0.446934,2.186170
4.078954,-3.005092,0.713754,0.430946,-2.087932,0.251160,2.135339
3.960460,-3.229816,0.644745,0.467055,-2.037859,0.143328,2.100669
3.850362,-3.458400,0.643876,0.569824,-2.014976,0.036945,2.092926
3.742517,-3.687779,0.624743,0.645157,-2.018592,-0.065405,2.105555
3.630689,-3.915728,0.598888,0.700212,-2.048105,-0.166507,2.134929
3.508770,-4.139731,0.574461,0.733239,-2.103025,-0.263559,2.179408
3.371180,-4.356385,0.562965,0.752035,-2.183340,-0.362825,2.237499
3.213134,-4.560438,0.541890,0.753110,-2.285082,-0.428859,2.307744
3.033353,-4.746032,0.511401,0.755299,-2.400038,-0.466510,2.388696
2.833804,-4.907883,0.457979,0.752421,-2.524200,-0.507114,2.478969
2.617972,-5.040944,0.393695,0.768305,-2.656245,-0.542242,2.577091
2.390757,-5.141558,0.388921,0.863879,-2.783872,-0.489488,2.681574
2.159048,-5.212492,0.371292,0.950508,-2.897713,-0.451725,2.790915
1.927212,-5.256903,0.367411,1.034989,-3.000115,-0.413457,2.903649
1.696596,-5.278358,0.384245,1.109655,-3.095668,-0.407706,3.018374
1.466379,-5.278081,0.428501,1.170699,3.092668,-0.411438,3.133816
1.235052,-5.255760,0.496196,1.206004,3.007694,-0.317365,3.248866
1.000672,-5.215348,0.582159,1.215641,2.948098,-0.187126,3.362488
0.763026,-5.163268,0.580451,1.112049,2.910894,-0.121049,3.473441
0.523273,-5.103217,0.606477,1.012923,2.886356,-0.078489,3.580344
0.281881,-5.037724,0.628643,0.895157,2.870959,-0.045173,3.681815
0.039186,-4.968911,0.664047,0.781653,2.862346,-0.023371,3.776459
-0.204385,-4.898292,0.716339,0.680061,2.858991,-0.003205,3.862854
-0.448579,-4.827277,0.781442,0.590458,2.861971,0.026618,3.939544
-0.693383,-4.757879,0.857185,0.514915,2.873660,0.065399,4.005349
-0.938847,-4.692682,0.946719,0.468981,2.894568,0.099546,4.060452
-1.184879,-4.633936,1.015678,0.428322,2.923075,0.126125,4.105139
-1.431400,-4.583304,1.085156,0.419844,2.959388,0.162710,4.139658
-1.678536,-4.542981,1.142619,0.432281,3.003338,0.188351,4.164534
-1.926363,-4.514434,1.153980,0.443320,3.050617,0.190194,4.181209
-2.175208,-4.497671,1.130595,0.469405,3.092396,0.144608,4.191389
-2.425025,-4.489882,1.090225,0.504675,3.120184,0.077929,4.196752
-2.675504,-4.486958,1.055386,0.560214,3.135611,0.045338,4.198843
-2.926473,-4.486882,1.022558,0.636442,-3.136464,0.043257,4.199192
-3.177628,-4.489534,0.939565,0.681435,-3.126942,0.032638,4.199410
-3.428435,-4.494237,0.865167,0.742733,-3.121276,0.012540,4.201077
-3.678408,-4.499709,0.675151,0.689049,-3.120280,-0.004637,4.205660
-3.927114,-4.504867,0.487181,0.632319,-3.124488,-0.029370,4.214578
-4.174221,-4.508191,0.419326,0.674974,-3.134718,-0.053620,4.228839
-4.419544,-4.508252,0.480236,0.824564,3.131432,-0.085474,4.247540
-4.663091,-4.503223,0.440168,0.843032,3.106667,-0.117856,4.269355
-4.905190,-4.491283,0.387559,0.812441,3.074869,-0.144084,4.293143
-5.146545,-4.470917,0.389965,0.798935,3.036752,-0.169428,4.317882
-5.388582,-4.440417,0.391900,0.752600,2.989566,-0.215239,4.342500
-5.632632,-4.396445,0.430605,0.714795,2.930139,-0.261725,4.365957
-5.878912,-4.335162,0.461410,0.645990,2.858432,-0.301649,4.387270
-6.126280,-4.252803,0.527594,0.600006,2.777982,-0.315809,4.405335
-6.372326,-4.147403,0.611349,0.571751,2.695206,-0.305709,4.418640
-6.613478,-4.019627,0.674389,0.535511,2.612966,-0.300541,4.425341
-6.845692,-3.870923,0.727435,0.510765,2.531439,-0.294210,4.423570
-7.065451,-3.703631,0.788346,0.515354,2.453730,-0.271561,4.411183
-7.270699,-3.521674,0.871215,0.557285,2.383385,-0.243422,4.385088
-7.460748,-3.329267,0.913501,0.572099,2.320910,-0.219047,4.341949
-7.636278,-3.129341,0.957520,0.598380,2.262538,-0.218621,4.278538
-7.798321,-2.921702,1.047904,0.681696,2.196483,-0.282861,4.191819
-7.943679,-2.703890,1.115597,0.758403,2.113556,-0.352821,4.079487
-8.067379,-2.475642,1.149648,0.825552,2.013113,-0.419071,3.941748
-8.165728,-2.235051,1.135835,0.888265,1.893543,-0.489144,3.783823
-8.234434,-1.976135,1.115803,0.998497,1.764312,-0.470132,3.610170
-8.271066,-1.697521,1.066576,1.118824,1.637480,-0.438207,3.425606
-8.272617,-1.404396,0.987898,1.219902,1.506676,-0.464960,3.238396
-8.233170,-1.107312,0.904862,1.302438,1.366456,-0.468729,3.062125
-8.149241,-0.809046,0.829053,1.358947,1.167279,-0.827687,2.906376
-7.989245,-0.535986,0.748452,1.361348,0.861267,-1.222066,2.785226
-7.753004,-0.347613,0.582464,1.239736,0.534957,-1.001911,2.708461
-7.493320,-0.242103,0.468757,1.134043,0.321780,-0.488056,2.667517
-7.238148,-0.175978,0.430864,1.072336,0.220146,-0.261333,2.650228
-6.986635,-0.128720,0.450548,1.049452,0.165407,-0.161484,2.651532
-6.737514,-0.092406,0.480435,1.019565,0.124653,-0.161672,2.668049
-6.490179,-0.066513,0.515568,0.984432,0.084949,-0.157357,2.696521
-6.244576,-0.050431,0.549127,0.950873,0.048338,-0.139354,2.734699
-5.999944,-0.042797,0.570452,0.923048,0.017568,-0.111357,2.780452
-5.755200,-0.041833,0.540489,0.859511,-0.006056,-0.081520,2.833982
-5.509892,-0.045766,0.553891,0.845609,-0.020261,-0.034392,2.897154
-5.263990,-0.051786,0.563000,0.817500,-0.024815,-0.002722,2.972436
-5.017886,-0.057977,0.533742,0.766258,-0.024359,0.006429,3.061420
-4.771814,-0.063778,0.535937,0.763263,-0.021266,0.018679,3.165511
-4.525443,-0.068451,0.518140,0.754060,-0.014564,0.035664,3.286785
-4.278521,-0.070962,0.477116,0.726984,-0.004027,0.049627,3.427349
-4.030977,-0.070442,0.498000,0.772900,0.008770,0.053769,3.589258
-3.782900,-0.066616,0.529183,0.838717,0.021989,0.052933,3.773731
-3.534979,-0.059534,0.530262,0.881838,0.033765,0.042127,3.978107
-3.287837,-0.049894,0.556195,0.956205,0.042367,0.027446,4.198747
-3.041904,-0.038632,0.574112,1.025888,0.045975,0.001743,4.431808
-2.797201,-0.027321,0.560980,1.049220,0.043821,-0.019352,4.673519
-2.552707,-0.017181,0.590057,1.109943,0.038595,-0.023285,4.920398
-2.307572,-0.008414,0.576543,1.120157,0.032727,-0.024535,5.168872
-2.061565,-0.001101,0.555763,1.111937,0.026899,-0.022829,5.415333
-1.814628,0.004849,0.567637,1.124963,0.021418,-0.021568,5.656131
-1.566922,0.009495,0.527890,1.092410,0.015716,-0.024457,5.887526
-1.318508,0.012646,0.515247,1.084753,0.009578,-0.024939,6.105801
-1.069245,0.014261,0.521445,1.078555,0.003908,-0.020566,6.307429
-0.819064,0.014598,0.537822,1.062178,-0.000527,-0.014910,6.489601
-0.568019,0.013997,0.559135,1.034365,-0.003494,-0.008753,6.649676
-0.316201,0.012841,0.574551,0.990349,-0.005112,-0.004109,6.785031
-0.063757,0.011420,0.620354,0.962446,-0.006478,-0.006710,6.893082
0.189200,0.009567,0.613203,0.869797,-0.007972,-0.005113,6.972070
0.442602,0.007383,0.601989,0.792811,-0.009074,-0.003582,7.023787
0.696339,0.004965,0.597095,0.742105,-0.009428,0.000785,7.051064
0.950283,0.002596,0.525616,0.648884,-0.006717,0.020581,7.056798
1.204030,0.001555,0.489570,0.616130,-0.000116,0.031520,7.043850
1.457088,0.002538,0.503355,0.655945,0.007822,0.031236,7.015017
1.709259,0.005507,0.554988,0.754912,0.015189,0.027173,6.973074
1.960527,0.010185,0.568891,0.836609,0.020084,0.011712,6.919772
2.211240,0.015590,0.572859,0.928641,0.017793,-0.030071,6.853027
2.461411,0.019098,0.577125,1.023375,0.013718,-0.002446,6.771045
2.710570,0.022440,0.559086,1.062314,0.014512,0.008849,6.673128
2.959012,0.026320,0.576214,1.123386,0.013236,-0.019161,6.557165
3.207203,0.029014,0.552081,1.130519,0.006938,-0.031568,6.421086
3.455421,0.029764,0.499721,1.100279,-0.001159,-0.033591,6.264462
3.704235,0.028438,0.499608,1.109592,-0.006060,-0.005866,6.086449
3.953979,0.026742,0.519702,1.133698,0.001737,0.067927,5.886293
4.205033,0.029308,0.538244,1.161756,0.030669,0.161864,5.663620
4.457468,0.042189,0.538254,1.156746,0.079407,0.223492,5.417188
4.710541,0.069533,0.535507,1.133893,0.147080,0.307319,5.145930
4.963134,0.117103,0.563795,1.133905,0.240122,0.415828,4.849751
5.212240,0.192372,0.538906,1.065294,0.357272,0.485421,4.530259
5.453163,0.300027,0.520504,0.989396,0.485508,0.488530,4.196835
