s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,a_mps2,t_s,w_tr_right_m,w_tr_left_m,d_opt_m
0.0,1.6849908602202863,-7.715485550337418,-0.027567166525192616,0.1255180361490741,5.280571827136748,1.2295813958321806,0.0,0.7,0.7,-0.21
0.2651763135012405,1.9501532928747098,-7.7181987681496285,0.010570022245334683,0.12264972236534605,5.341961300110853,1.4780764739480432,0.04992713325996475,0.7220064862435835,0.7220064862435835,-0.21632760524731823
0.5349129597796278,2.2196860167160968,-7.707712151719413,0.07084387582056621,0.11877120318270791,5.428482525698528,1.7442560552601094,0.10001543985918088,0.7514423902416754,0.7514423902416754,-0.22210090982256375
0.8086549275023838,2.4917698262412578,-7.677627845395313,0.15257457344945694,0.11500822847306395,5.516575486365728,0.9339116668196468,0.15003654845833536,0.7621896806313976,0.7621896806313976,-0.22629471150510275
1.086098971153944,2.7636423300862076,-7.622305706871875,0.2508680523882406,0.11479347293661878,5.521733277676884,-1.8074084463362183,0.20030585140723214,0.8116032536428691,0.8116032536428691,-0.2280246542554565
1.3645307573292529,3.0293153279401723,-7.538986334790346,0.357719377163993,0.114961215563263,5.328901764768175,-3.8620416531574193,0.25162667919033443,0.8588142168050797,0.8588142168050797,-0.22651519062025688
1.6427934139736418,3.284223094948534,-7.427397193734399,0.4678933934498737,0.11050691281950889,5.1173627428162645,-3.9617990431901546,0.3049017339129787,0.882961208737025,0.882961208737025,-0.2209360286360299
1.9190174860968128,3.523635372380538,-7.2896238311597426,0.5755539931514259,0.10455237056723435,4.899367405021765,-3.9551979566685347,0.3600542773171334,0.9201812605427088,0.9201812605427088,-0.21028393758508587
2.1919675451186,3.744790610420052,-7.129648534917845,0.6757498356460754,0.11051062866543936,4.67366936951756,-3.961044014596304,0.4170790366385917,0.9379493682128599,0.9379493682128599,-0.19349561987801536
2.46204449434648,3.9474826092024182,-6.951161806744997,0.7665895118985736,0.13180609255497497,4.438675942735468,-3.9682319241866324,0.47635619086687087,0.9438207811477548,0.9438207811477548,-0.1699628734575152
2.729712150714988,4.132439826973288,-6.757675885137586,0.8480029418011337,0.16543023198334972,4.192292507249496,-3.975109887134934,0.5383811323133837,0.9303058452816032,0.9303058452816032,-0.13965254386006204
2.9955281079997795,4.300800951929354,-6.551975484674296,0.9201199436263301,0.20821385892378716,3.931979284372176,-3.9784354457571,0.603818617445016,0.9131918752057631,0.9131918752057631,-0.10311007239702205
3.259885029700821,4.45405852360743,-6.3365765553023286,0.9835341093342985,0.2570932376306112,3.6546938345910998,-3.9765858444251094,0.6735084320859731,0.9025142997587978,0.9025142997587978,-0.06140735245085706
3.522844288217538,4.593444943049839,-6.113598983078828,1.0394141535840555,0.3106497030564202,3.3565919660926267,-3.6076929945188745,0.7485187129366192,0.8858957763002016,0.8858957763002016,-0.016093259915185818
3.7841039629376167,4.720295540576759,-5.885201208260629,1.0867835258601581,0.36502753510778385,3.0965008907036244,-2.7985054396780136,0.8294906377230187,0.900363250020021,0.900363250020021,0.03096686740144915
