x_m,y_m,psi_rad,v_mps
1.681381926995252,-7.271415080134311,0.020268897479243538,4.999999550451072
1.9358001343635405,-7.266395513513865,0.035885873026049474,5.000000046229776
2.182590260075319,-7.2534494054669345,0.08483584178481325,4.99055634521477
2.422186555201102,-7.225606948734685,0.15802497699062457,4.971268471298221
2.6550491564418044,-7.178295777620506,0.25019402637006427,4.94410743274529
2.880773468470845,-7.108780040410457,0.3477352763582516,4.911656379713731
3.099241825396531,-7.017012565006656,0.4440614317519285,4.876778611517887
3.3104693203052316,-6.904362565828274,0.5297757129085046,4.842274274241901
3.514123912910582,-6.773560278694488,0.6053021353799067,4.810611547400969
3.7100482972446853,-6.627909800559037,0.6683392085728669,4.783655789875889
3.8977122041990233,-6.470379337570837,0.7300127825290661,4.762382938592201
4.07621060506507,-6.300345290818488,0.7816736720597746,4.746773483230168
4.249948258415866,-6.120223422867138,0.8184351693495828,4.735976552649266
4.4176631574253715,-5.935897849923991,0.8565434371454691,4.728653305245875
4.575238180043904,-5.744785012340886,0.9025419362599073,4.723340996365344
4.724080723520633,-5.548096652225356,0.9479441722540333,4.718730600274842
4.862595084960767,-5.344388252936638,0.9979321022188048,4.713789759596923
4.990556756110912,-5.135443228506437,1.0504046776006983,4.707714998738638
5.105877212292928,-4.919362645885201,1.100807881647252,4.699735252111834
5.21339423546656,-4.697101056414323,1.1450924661934463,4.688833148257507
5.3088274396868425,-4.4715348782041655,1.2006571193059659,4.673479404989034
5.390680473543121,-4.240804352357197,1.2550502645611186,4.651473283768356
5.460742084241695,-4.006013954168935,1.3155488840043417,4.619927187829063
5.513491230978434,-3.7723871187771767,1.396027955611592,4.575388693162061
5.543222148023952,-3.540030146522203,1.4972549286472923,4.514039788078563
5.548223221145434,-3.311801967689949,1.6197845204709482,4.431912772945884
5.521970539584925,-3.0914089152909097,1.7732572644341296,4.3250552612753514
5.462213152946635,-2.8853668545576885,1.9583654859701616,4.189768071542622
5.363827005436116,-2.7013181890411544,2.1712280417712875,4.023204848167562
5.232795482028574,-2.547713774929817,2.4075991963998784,3.8250743886619376
5.071913880099711,-2.436093004469336,2.6728048329323553,3.600397836665873
4.8956162128445,-2.3743110040085433,2.970243409651363,3.3605388744604325
4.718049283319859,-2.371997235974623,-2.9729915777157268,3.1175140476754057
4.55225691431557,-2.4318436655072064,-2.625196372561824,2.8805092634293334
4.40758948904897,-2.5522810944039427,-2.3203569217323534,2.664956167936872
4.2892695337832,-2.7209183911260104,-2.0926485144376126,2.4929920195289137
4.197615316495369,-2.924360346841513,-1.9369211892100606,2.379640207698439
4.117432685058139,-3.1498257165602914,-1.9249579590415884,2.3272575649039173
4.023166740027201,-3.3862521885858543,-2.0128941628923838,2.3306970989298006
3.9020741245154014,-3.624628480112337,-2.102308881382596,2.3835547317264165
3.755945466780786,-3.856841484874625,-2.1915274820647594,2.4775403319912366
3.5898984657142416,-4.071574446752302,-2.283560474105072,2.601551053234091
3.4112294071599614,-4.26122680899648,-2.366151097443969,2.7434600016475725
3.2260127458564503,-4.430962492806307,-2.4073167879014594,2.893021060847871
3.0436984235813007,-4.593811768263203,-2.416292886808072,3.044183813207998
2.8659112287343342,-4.756999734262461,-2.3757276851645246,3.19499239564816
2.688313474758859,-4.918031570998365,-2.441354405966316,3.3470024641014615
2.500348952196182,-5.062698551739108,-2.5368303610844327,3.5016833126245572
2.302717882365284,-5.186356100298136,-2.636256336159921,3.660364328145062
2.096860979605761,-5.285244130848181,-2.766642770756112,3.8240326875331814
1.8828008724297396,-5.353319677002405,-2.901450706100623,3.9922482334868654
1.6640351700006435,-5.390496928250594,-3.0583374605704385,4.162796776865375
1.4438362637180677,-5.39142542479226,3.067983103400436,4.331699779265607
1.2237893785703735,-5.356613138923068,2.909486118723398,4.494090561459598
1.0036749234082345,-5.2874720288966355,2.7941158473691012,4.645025639424157
0.7819316401473255,-5.1994485274708895,2.7388950986516862,4.7806230599348165
0.5557453555502518,-5.105010044509724,2.7735878667368556,4.898818123429782
0.3184961178454522,-5.013620624420975,2.7870053328247852,4.917598448386078
0.07367022787416566,-4.923400312853281,2.80163228620643,4.91471979526016
