% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principal axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=2, Mon Jan  5 14:39:09 2026
1 16 -0.27944784452664023 -0.2024786763375363 0.20566389486983339 0.26474225041651933 0.7749844561858793 1.0140941191079949 1.1709023060276451
2 32 -0.076965872371825 -0.0044294457722958425 0.38380906856674846 0.44068548008023406 0.7749844561858793 1.0140941191079949 1.1709023060276451
3 48 0.037392607432193685 0.06848794853706724 0.4311552792738344 0.5209490484145499 0.7749844561858793 1.0140941191079949 1.1709023060276451
4 64 -0.009496867485979938 0.016927183371172164 0.45693568398085754 0.5771811333269339 0.6428423376035659 1.001538523665081 1.258441224133711
5 80 0.03050876820025185 0.054292947757564214 0.47914198490095256 0.5969741510581029 0.6428423376035659 1.001538523665081 1.258441224133711
6 96 -0.060105324725840265 -0.05042134906573753 0.3306469440745354 0.4479857327945236 0.6428423376035659 1.001538523665081 1.258441224133711
7 112 -0.15302262896676458 -0.0683942567985781 0.2801738436341238 0.31173483827683796 0.7472170167793313 1.0618679283246755 1.1463434182786842
8 128 0.017027407228881415 0.07151686234518513 0.2542224535002604 0.2606348621023151 0.7472170167793313 1.0618679283246755 1.1463434182786842
9 144 -0.09585285925437183 -0.03255722732191414 0.21259656861396492 0.23101886866013358 0.7472170167793313 1.0618679283246755 1.1463434182786842
10 160 -0.11051415354366473 -0.07271706451565475 0.06306280709848693 0.07052567527519084 0.9210184305800709 1.0179195640667185 1.0562030162909233
10 160 -0.11051415354366473 -0.07271706451565475 0.06306280709848693 0.07052567527519084 0.9210184305800709 1.0179195640667185 1.0562030162909233
