% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principal axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=2, Mon Jan  5 14:39:09 2026
1 16 -0.28411581028219657 -0.24073841435636456 0.1956330592335664 0.2977128211710447 0.7999861079600581 0.9431515590658766 1.2126365340457645
2 32 -0.28411581028219657 -0.24073841435636456 0.1956330592335664 0.2977128211710447 0.7999861079600581 0.9431515590658766 1.2126365340457645
3 48 -0.28411581028219657 -0.24073841435636456 0.1956330592335664 0.2977128211710447 0.7999861079600581 0.9431515590658766 1.2126365340457645
4 64 -0.5808145631439323 -0.46674101147308056 0.028865305252987382 0.07999385915749163 0.6460879622613106 0.9837163596838381 1.2707763252088875
5 80 -0.5808145631439323 -0.46674101147308056 0.028865305252987382 0.07999385915749163 0.6460879622613106 0.9837163596838381 1.2707763252088875
6 96 -0.5808145631439323 -0.46674101147308056 0.028865305252987382 0.07999385915749163 0.6460879622613106 0.9837163596838381 1.2707763252088875
7 112 -0.3502508224236256 -0.32477508030415253 0.10728044530406305 0.22582321172066183 0.8052476368511613 0.8933676061536036 1.246382992350666
8 128 -0.3502508224236256 -0.32477508030415253 0.10728044530406305 0.22582321172066183 0.8052476368511613 0.8933676061536036 1.246382992350666
9 144 -0.3502508224236256 -0.32477508030415253 0.10728044530406305 0.22582321172066183 0.8052476368511613 0.8933676061536036 1.246382992350666
10 160 -0.07554563525070927 -0.06888141204602398 0.0730977405557224 0.11375990155161925 0.9391687726736258 0.9777594741711217 1.0779371164884
10 160 -0.07554563525070927 -0.06888141204602398 0.0730977405557224 0.11375990155161925 0.9391687726736258 0.9777594741711217 1.0779371164884
