% # columns="iteration, evaluation, void, void, void, xmean", seed=2, Mon Jan  5 14:39:09 2026, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 16 0 0 0 1.3480797141306844 1.1648187441693025 0.020919467031825446
2 32 0 0 0 1.2913832891213533 1.0773946459785972 0.01856833210932893
3 48 0 0 0 1.2285959997366414 1.045459364925634 0.01642878229109805
4 64 0 0 0 1.245211930761783 1.0617492681145337 0.015946863355923994
5 80 0 0 0 1.21660095461057 1.0510142297275924 0.014881872141376337
6 96 0 0 0 1.2384644285709572 1.0579839122955956 0.01299532189748329
7 112 0 0 0 1.2499492304530322 1.0426570578532346 0.010920535268394078
8 128 0 0 0 1.229800185303531 1.0390215274130714 0.010341960419250775
9 144 0 0 0 1.242201848727565 1.0358803810389097 0.009622752582726478
10 160 0 0 0 1.2375576562303912 1.0425893897257175 0.009668476899757724
10 160 0 0 0 1.2375576562303912 1.0425893897257175 0.009668476899757724
