% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=2, Mon Jan  5 14:39:09 2026, <python>{}</python>
1 16 0.3520440029800219 0 0 0.06666666666666665 0.06666666666666665 0.003333333333333333
2 32 0.6037198266101133 0 0 0.06666666666666667 0.06666666666666665 0.0033333333333333335
3 48 0.9909079709623205 0 0 0.06666666666666667 0.06666666666666665 0.003333333333333333
4 64 0.8979865549776633 0 0 0.05376381418451697 0.04762115747123792 0.0029627356081629126
5 80 0.9345428349706648 0 0 0.05182795022530554 0.04449233645255061 0.0029897246787207498
6 96 0.9898196924595101 0 0 0.046737934313775216 0.03207966293854225 0.003333333333333333
7 112 1.2360695914334814 0 0 0.04628352624044657 0.03844650674919028 0.003333333333333333
8 128 1.164740404315663 0 0 0.035217047778612974 0.03189505170653673 0.0029280113006985437
9 144 1.034547623300773 0 0 0.02925560670995222 0.020332665929037784 0.0025084461379971655
10 160 0.8349973661344195 0 0 0.020673847776397844 0.013741285929580464 0.0017786871981391391
10 160 0.8349973661344195 0 0 0.020673847776397844 0.013741285929580464 0.0017786871981391391
