% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, 25%tile, current best feasible f-value, further/more values", seed=2, Mon Jan  5 14:39:09 2026, <python>{}</python>
1 16 0.3520440029800219 1.0000333338888951 6499691.66019347 6.4996916601934703e+06 6501131.4786340175 6502785.39521337 761.7785172527656 6500517.691269406 nan   
2 32 0.6037198266101133 1.5523096470054145 6499336.969064595 6.4993369690645952e+06 6499918.166300399 6502631.4778514635 497.93643837608397 6499706.811553037 nan   
3 48 0.9909079709623205 1.7541180524504774 6499297.023880709 6.4992970238807090e+06 6499750.069819031 6502051.787428653 568.1340373428538 6499493.693499121 nan   
4 64 0.8979865549776633 1.8524466074958637 6499297.023880709 6.4993217551050643e+06 6499502.949777142 6500606.742293697 288.5149146569893 6499416.98758859 nan   
5 80 0.9345428349706648 2.086712572505693 6499286.152560396 6.4992861525603961e+06 6499426.856797727 6499700.42378928 144.42425783071667 6499385.054210724 nan   
6 96 0.9898196924595101 2.297249477385767 6499234.057814947 6.4992340578149473e+06 6499358.333092335 6499924.308994338 231.384141725488 6499300.01451072 nan   
7 112 1.2360695914334814 3.1590466942584126 6499192.49314593 6.4991924931459296e+06 6499352.704308506 6499726.988768737 169.48787819966674 6499248.712406376 nan   
8 128 1.164740404315663 3.5117718871207835 6499188.69543154 6.4991886954315398e+06 6499303.693903096 6499852.193902786 269.646133328788 6499223.525991842 nan   
9 144 1.034547623300773 3.5669794772792236 6499184.017876724 6.4991840178767238e+06 6499290.143106283 6499582.849736671 108.46356059983373 6499215.960344559 nan   
10 160 0.8349973661344195 4.49786890449198 6499178.209435892 6.4991782094358923e+06 6499254.759868343 6499344.706876198 53.584979670122266 6499221.507162882 nan   
