segment,time,s_meas,ey_meas,epsi_meas,vx_meas,vy_meas,wz_meas,curv,a,delta,x_meas,y_meas,psi_meas,s_pred,ey_pred,epsi_pred,vx_pred,vy_pred,wz_pred,x_pred,y_pred,psi_pred
0,1780391816.021536,1.2480760411095229,-18.06138030011331,1.0204840564339706,0.0,0.0,0.0,0.25748699999999997,0.0,0.09071946175501094,8.792568221330146,-24.421754778697206,1.3517922243605955,1.2480760411095229,-18.06138030011331,1.0204840564339706,0.0,0.0,0.0,8.792568221330146,-24.421754778697206,1.3517922243605955
0,1780391816.071536,1.2480760411095229,-18.06138030011331,1.0204840564339712,0.0,0.0,0.0,0.25748699999999997,0.0,0.09089166081924961,8.792568221330146,-24.421754778697206,1.3517922243605955,1.2479690052452461,-18.061072893403388,1.0244582063014498,-0.0012285269933338214,0.015210711647214485,0.1127042444436911,8.791591530265832,-24.421765639997105,1.3557209687900746
0,1780391816.121536,1.2480760411095229,-18.06138030011331,1.0204840564339717,0.0,0.0,0.0,0.257487,0.0,0.09091092980909601,8.792568221330146,-24.421754778697206,1.3517922243605964,1.2478933276300161,-18.060842171997177,1.0263798255862966,-0.0005714918796411343,0.0038831731523514407,0.09199570306591055,8.790896815584299,-24.421760580179928,1.3576104954572736
0,1780391816.171536,1.2480760411095229,-18.06138030011331,1.020484056433972,0.0,0.0,0.0,0.257487,0.0,0.09083159145079023,8.792568221330146,-24.421754778697206,1.3517922243605964,1.247829272154616,-18.060657052807205,1.0298919446066792,-0.0016471017489532837,0.016223190583333165,0.18289020333922842,8.79031221880581,-24.421765855187438,1.3610954572008653
0,1780391816.221536,1.2480760411095229,-18.061380300113314,1.0204840564339726,0.0,0.0,0.0,0.257487,0.0,0.09071090559284005,8.792568221330146,-24.421754778697213,1.3517922243605973,1.247744004741324,-18.060420643014577,1.0352672004384038,-0.0001156058554640921,3.14907439505456e-05,0.06851555727084672,8.789537459176177,-24.421782261088026,1.3664345722226727
0,1780391816.2715359,1.2480760411095069,-18.06138030011308,1.020484056433973,0.0,0.0,0.0,0.2574869999999966,0.0,0.09060451033268317,8.79256822132994,-24.421754778697036,1.3517922243605902,1.2476994168945248,-18.060284833186195,1.0380165603595168,-0.0015093641913371584,0.01629879333570225,0.18141581849480823,8.789128438677361,-24.421779277354865,1.369165037830335
0,1780391816.3215358,1.2480760411095069,-18.06138030011308,1.0204840564339732,0.0,0.0,0.0,0.2574869999999966,0.0,0.09062180598346285,8.79256822132994,-24.421754778697036,1.351792224360591,1.2476138461534882,-18.060044635945054,1.0433195346415536,1.600847896212243e-05,0.00010489661337977074,0.06709515259816805,8.788350262999792,-24.42179280964084,1.374431759486022
0,1780391816.3715358,1.2480760411095069,-18.06138030011308,1.0204840564339737,0.0,0.0,0.0,0.2574869999999966,0.0,0.09077129981744818,8.79256822132994,-24.421754778697036,1.351792224360591,1.2475000085700045,-18.05971753649347,1.047936123643999,-0.000835739629784832,0.016598408468864973,0.10150411614853652,8.78731287760603,-24.421803516906646,1.379000137510964
0,1780391816.4215357,1.2480760411095069,-18.06138030011308,1.0204840564339737,0.0,0.0,0.0,0.2574869999999966,0.0,0.09104263452325323,8.79256822132994,-24.421754778697036,1.351792224360591,1.2474541661251755,-18.059573994787772,1.051100754799676,-0.00019834498604869835,0.013560548099069644,0.024901329248897333,8.786891378814962,-24.421796603906866,1.3821453595954596
0,1780391816.4715357,1.2480760411095069,-18.06138030011308,1.0204840564339739,0.0,0.0,0.0,0.2574869999999966,0.0,0.09134234394798715,8.79256822132994,-24.421754778697036,1.351792224360592,1.2473746937194707,-18.059328169139867,1.0539115337865024,-0.0012865628271440102,0.02617660275533766,0.11497937046464791,8.78616178450484,-24.421787408245066,1.3849224985376622
