x_m,y_m,w_tr_right_m,w_tr_left_m
-7.364,2.115262,0.85,0.85
-7.414,2.114043,0.85,0.85
-7.464,2.112795,0.85,0.85
-7.514,2.11152,0.85,0.85
-7.564,2.110222,0.85,0.85
-7.614,2.108902,0.85,0.85
-7.664,2.107563,0.85,0.85
-7.714,2.106209,0.85,0.85
-7.764,2.105713,0.85,0.85
-7.814,2.105095,0.85,0.85
-7.864,2.104361,0.85,0.85
-7.914,2.103517,0.85,0.85
-7.964,2.102569,0.8598,0.8598
-8.014,2.101522,0.8697,0.8697
-8.064,2.100381,0.8795,0.8795
-8.114,2.099153,0.8894,0.8894
-8.164,2.097843,0.8992,0.8992
-8.214,2.096457,0.9,0.9
-8.264,2.095,0.9,0.9
-8.314,2.093479,0.9,0.9
-8.364,2.091898,0.9,0.9
-8.414,2.090263,0.9,0.9
-8.464,2.08858,0.8992,0.8992
-8.514,2.086855,0.8894,0.8894
-8.564,2.085094,0.8795,0.8795
-8.614,2.083301,0.8697,0.8697
-8.664,2.081482,0.8598,0.8598
-8.714,2.080515,0.85,0.85
-8.764,2.080291,0.85,0.85
-8.81487,2.080709,0.85,0.85
-8.865629,2.081668,0.85,0.85
-8.917149,2.083071,0.85,0.85
-8.969321,2.084823,0.85,0.85
-9.022041,2.086832,0.8598,0.8598
-9.075204,2.08901,0.8697,0.8697
-9.128711,2.091269,0.8795,0.8795
-9.182463,2.093528,0.8894,0.8894
-9.236367,2.095705,0.8992,0.8992
-9.290331,2.097722,0.8894,0.8894
-9.344265,2.099506,0.8795,0.8795
-9.398083,2.100983,0.8697,0.8697
-9.451703,2.102085,0.8598,0.8598
-9.505044,2.102746,0.85,0.85
-9.558027,2.102901,0.85,0.85
-9.610579,2.10249,0.85,0.85
-9.662627,2.101455,0.85,0.85
-9.714102,2.099741,0.85,0.85
-9.764937,2.097296,0.85,0.85
-9.81507,2.094071,0.85,0.85
-9.864438,2.090018,0.85,0.85
-9.912986,2.085094,0.85,0.85
-9.960656,2.079258,0.85,0.85
-10.007398,2.072473,0.9,0.9
-10.053161,2.063717,0.9,0.9
-10.0979,2.053826,0.9,0.9
-10.141569,2.042768,0.9,0.9
-10.185,2.030512,0.9,0.9
-10.227171,2.017033,0.95,0.95
-10.26805,2.002305,0.95,0.95
-10.307607,1.986309,0.95,0.95
-10.345817,1.969024,0.9994,0.9994
-10.382654,1.950437,1.0,1.0
-10.418097,1.930534,1.0,1.0
-10.452129,1.909305,1.0198,1.0198
-10.484734,1.886743,1.05,1.05
-10.515898,1.862844,1.05,1.05
-10.546482,1.837607,1.05,1.05
-10.575498,1.811033,1.05,1.05
-10.602944,1.783126,1.05,1.05
-10.628822,1.753894,1.0597,1.0597
-10.653135,1.723345,1.0295,1.0295
