x_m,y_m,w_tr_right_m,w_tr_left_m
5.644694,-2.710384,0.7992,0.7992
5.620918,-2.666241,0.7591,0.7591
5.594740,-2.623151,0.7689,0.7689
5.567226,-2.581235,0.7291,0.7291
5.537591,-2.540610,0.7592,0.7592
5.507775,-2.501385,0.7495,0.7495
5.476013,-2.463664,0.7398,0.7398
5.443379,-2.427547,0.7398,0.7398
5.409098,-2.393127,0.7398,0.7398
5.373262,-2.360491,0.7398,0.7398
5.335965,-2.329722,0.7097,0.7097
5.298284,-2.300895,0.7495,0.7495
5.259445,-2.274081,0.7592,0.7592
5.219543,-2.249345,0.7291,0.7291
5.178676,-2.226747,0.7091,0.7091
5.137810,-2.206339,0.7591,0.7591
5.097042,-2.188171,0.7492,0.7492
5.055605,-2.172284,0.7894,0.7894
5.014471,-2.158715,0.7795,0.7795
4.972759,-2.147496,0.7697,0.7697
4.930574,-2.138651,0.7598,0.7598
4.888020,-2.132200,0.7598,0.7598
4.846073,-2.128158,0.7500,0.7500
4.803854,-2.126533,0.7500,0.7500
4.761472,-2.127328,0.7500,0.7500
4.719903,-2.130540,0.7598,0.7598
4.678273,-2.136160,0.7697,0.7697
4.637563,-2.144175,0.7697,0.7697
4.596901,-2.154564,0.7795,0.7795
4.557385,-2.167302,0.7894,0.7894
4.519130,-2.182359,0.7492,0.7492
4.481270,-2.199697,0.7591,0.7591
4.444794,-2.219274,0.7591,0.7591
4.408840,-2.241042,0.7291,0.7291
4.373528,-2.264947,0.7592,0.7592
4.339850,-2.290931,0.7194,0.7194
4.307816,-2.318928,0.7495,0.7495
4.275584,-2.348867,0.7398,0.7398
4.245019,-2.380672,0.7000,0.7000
4.215263,-2.414262,0.7398,0.7398
4.187313,-2.449549,0.7000,0.7000
4.160201,-2.486439,0.7000,0.7000
4.133941,-2.524834,0.6500,0.6500
4.109535,-2.564629,0.6500,0.6500
4.085145,-2.605714,0.6098,0.6098
4.062642,-2.647974,0.6197,0.6197
4.042044,-2.691286,0.6295,0.6295
4.022388,-2.735525,0.5894,0.5894
4.004566,-2.780556,0.5992,0.5992
3.986746,-2.826242,0.6192,0.6192
3.969819,-2.872438,0.5697,0.5697
3.953694,-2.918996,0.5795,0.5795
3.938276,-2.966744,0.5894,0.5894
3.923472,-3.015638,0.5492,0.5492
3.909189,-3.065631,0.5697,0.5697
3.895334,-3.116676,0.5795,0.5795
3.881814,-3.167733,0.5394,0.5394
3.868535,-3.219617,0.5492,0.5492
3.855405,-3.273135,0.5794,0.5794
3.842330,-3.327244,0.5992,0.5992
3.829216,-3.382749,0.5794,0.5794
3.815971,-3.437619,0.5992,0.5992
3.802502,-3.493523,0.6192,0.6192
3.788715,-3.549409,0.6394,0.6394
3.774517,-3.606074,0.5992,0.5992
3.759815,-3.662462,0.6192,0.6192
3.744515,-3.719368,0.6394,0.6394
3.728525,-3.776604,0.6192,0.6192
3.711752,-3.833109,0.6492,0.6492
3.694101,-3.888692,0.6591,0.6591
3.675480,-3.944027,0.6492,0.6492
3.655796,-3.998921,0.6591,0.6591
3.634956,-4.052307,0.6394,0.6394
3.612865,-4.104974,0.6492,0.6492
3.589432,-4.156722,0.6591,0.6591
3.564563,-4.208340,0.6494,0.6494
3.538164,-4.258875,0.6795,0.6795
3.510143,-4.309233,0.6591,0.6591
3.480406,-4.359336,0.6492,0.6492
3.449844,-4.409109,0.6591,0.6591
3.417498,-4.458479,0.6494,0.6494
3.384261,-4.507378,0.6397,0.6397
3.350160,-4.554870,0.6591,0.6591
3.315225,-4.601871,0.6494,0.6494
3.279488,-4.648319,0.6397,0.6397
3.242984,-4.694154,0.6591,0.6591
3.204768,-4.739316,0.6494,0.6494
3.165747,-4.783751,0.6397,0.6397
