x_m,y_m
-3.564,-5.425
-3.614,-5.425
-3.664,-5.425
-3.714,-5.425
-3.764,-5.425
-3.764,-5.375
-3.764,-5.325
-3.764,-5.275
-3.764,-5.225
-3.814,-5.175
-3.864,-5.175
-3.914,-5.125
-3.964,-5.125
-4.014,-5.175
-4.064,-5.175
-4.114,-5.225
-4.114,-5.275
-4.114,-5.325
-4.114,-5.375
-4.114,-5.425
-4.114,-5.475
-4.114,-5.525
-4.114,-5.575
-4.114,-5.625
-4.114,-5.675
-4.114,-5.725
-4.114,-5.775
-4.164,-5.775
-4.214,-5.775
-4.264,-5.775
-4.314,-5.775
-4.364,-5.775
-4.414,-5.775
-4.464,-5.775
-4.514,-5.775
-4.564,-5.775
-4.614,-5.725
-4.664,-5.725
-4.714,-5.725
-4.764,-5.675
-4.814,-5.675
-4.864,-5.675
-4.914,-5.625
-4.964,-5.625
-5.014,-5.575
-5.064,-5.575
-5.114,-5.525
-5.164,-5.525
-5.214,-5.475
-5.264,-5.475
-5.314,-5.425
-5.364,-5.425
-5.414,-5.375
-5.464,-5.325
-5.514,-5.325
-5.564,-5.275
-5.614,-5.275
-5.664,-5.225
-5.714,-5.225
-5.764,-5.175
-5.814,-5.175
-5.864,-5.125
-5.914,-5.125
-5.964,-5.075
-6.014,-5.025
-6.064,-5.025
-6.114,-4.975
-6.164,-4.925
-6.214,-4.925
-6.264,-4.875
-6.314,-4.875
-6.364,-4.825
-6.414,-4.775
-6.464,-4.775
-6.514,-4.725
-6.564,-4.725
-6.614,-4.675
-6.664,-4.625
-6.714,-4.625
-6.764,-4.575
-6.814,-4.525
-6.864,-4.525
-6.914,-4.475
-6.964,-4.425
-7.014,-4.375
-7.064,-4.375
-7.114,-4.325
-7.164,-4.275
-7.214,-4.275
-7.264,-4.225
-7.314,-4.175
-7.364,-4.125
-7.414,-4.125
-7.464,-4.075
-7.514,-4.025
-7.564,-4.025
-7.614,-3.975
-7.664,-3.975
-7.714,-3.975
-7.764,-3.975
-7.814,-3.925
-7.814,-3.875
-7.814,-3.825
-7.864,-3.775
-7.914,-3.725
-7.964,-3.675
-8.014,-3.675
-8.064,-3.625
-8.114,-3.625
-8.164,-3.575
-8.214,-3.525
-8.264,-3.525
-8.314,-3.475
-8.364,-3.425
-8.414,-3.375
-8.464,-3.375
-8.514,-3.325
-8.564,-3.275
-8.614,-3.225
-8.664,-3.175
-8.714,-3.125
-8.714,-3.075
-8.764,-3.025
-8.814,-2.975
-8.864,-2.925
-8.864,-2.875
-8.914,-2.825
-8.964,-2.775
-8.964,-2.725
-9.014,-2.675
-9.064,-2.625
-9.114,-2.575
-9.114,-2.525
-9.164,-2.475
-9.214,-2.425
-9.214,-2.375
-9.264,-2.325
-9.314,-2.275
-9.314,-2.225
-9.314,-2.175
-9.364,-2.125
-9.364,-2.075
-9.364,-2.025
-9.414,-1.975
-9.414,-1.925
-9.414,-1.875
-9.414,-1.825
-9.414,-1.775
-9.464,-1.725
-9.464,-1.675
-9.464,-1.625
-9.464,-1.575
-9.514,-1.525
-9.514,-1.475
-9.514,-1.425
-9.514,-1.375
-9.514,-1.325
-9.564,-1.275
-9.564,-1.225
-9.564,-1.175
-9.564,-1.125
-9.564,-1.075
-9.564,-1.025
-9.614,-0.975
-9.614,-0.925
-9.614,-0.875
-9.614,-0.825
-9.614,-0.775
-9.614,-0.725
-9.614,-0.675
-9.614,-0.625
-9.614,-0.575
-9.614,-0.525
-9.614,-0.475
-9.614,-0.425
-9.614,-0.375
-9.614,-0.325
-9.614,-0.275
-9.664,-0.225
-9.664,-0.175
-9.664,-0.125
-9.664,-0.075
-9.664,-0.025
-9.664,0.025
-9.664,0.075
-9.664,0.125
-9.664,0.175
-9.664,0.225
-9.664,0.275
-9.664,0.325
-9.664,0.375
-9.664,0.425
-9.664,0.475
-9.664,0.525
-9.664,0.575
-9.664,0.625
-9.664,0.675
-9.614,0.675
-9.564,0.675
-9.514,0.675
-9.464,0.675
-9.414,0.675
-9.364,0.725
-9.314,0.725
-9.264,0.725
-9.214,0.725
-9.164,0.725
-9.114,0.725
-9.064,0.725
-9.014,0.725
-8.964,0.725
-8.914,0.725
-8.864,0.725
-8.814,0.725
-8.764,0.725
-8.714,0.725
-8.664,0.725
-8.614,0.725
-8.564,0.725
-8.514,0.725
-8.464,0.725
-8.414,0.725
-8.364,0.725
-8.314,0.725
-8.264,0.725
-8.214,0.725
-8.164,0.775
-8.114,0.775
-8.064,0.775
-8.014,0.775
-7.964,0.775
-7.914,0.775
-7.864,0.775
-7.814,0.775
-7.764,0.775
-7.714,0.825
-7.664,0.825
-7.614,0.825
-7.564,0.825
-7.514,0.825
-7.464,0.825
-7.414,0.825
-7.364,0.825
-7.314,0.825
-7.264,0.825
-7.214,0.825
-7.164,0.825
-7.114,0.825
-7.064,0.825
-7.014,0.825
-6.964,0.825
-6.914,0.825
-6.864,0.825
-6.814,0.825
-6.764,0.825
-6.714,0.825
-6.664,0.825
-6.614,0.825
-6.564,0.825
-6.514,0.825
-6.464,0.825
-6.414,0.825
-6.364,0.825
-6.314,0.825
-6.264,0.825
-6.214,0.825
-6.164,0.825
-6.114,0.825
-6.064,0.825
-6.014,0.825
-5.964,0.825
-5.914,0.875
-5.864,0.875
-5.814,0.875
-5.764,0.875
-5.714,0.875
-5.664,0.875
-5.614,0.875
-5.564,0.875
-5.514,0.875
-5.464,0.875
-5.414,0.875
-5.364,0.875
-5.314,0.875
-5.264,0.925
-5.214,0.925
-5.164,0.925
-5.114,0.925
-5.064,0.925
-5.014,0.925
-4.964,0.925
-4.914,0.925
-4.864,0.925
-4.814,0.925
-4.764,0.925
-4.714,0.925
-4.664,0.925
-4.614,0.925
-4.564,0.925
-4.514,0.925
-4.514,0.875
-4.514,0.825
-4.514,0.775
-4.514,0.725
-4.514,0.675
-4.464,0.625
-4.414,0.575
-4.364,0.575
-4.314,0.575
-4.264,0.575
-4.214,0.625
-4.164,0.675
-4.114,0.725
-4.114,0.775
-4.114,0.825
-4.114,0.875
-4.114,0.925
-4.114,0.975
-4.064,0.975
-4.014,0.975
-3.964,0.975
-3.914,1.025
-3.864,1.025
-3.814,1.025
-3.764,1.025
-3.714,1.025
-3.664,1.025
-3.614,1.025
-3.564,1.025
-3.514,1.025
-3.464,1.025
-3.414,1.025
-3.364,1.025
-3.314,1.025
-3.264,1.025
-3.214,1.025
-3.164,1.025
-3.114,1.025
-3.064,1.025
-3.014,1.025
-2.964,1.025
-2.914,1.025
-2.864,1.025
-2.814,1.025
-2.764,1.025
-2.714,1.025
-2.664,1.025
-2.614,1.025
-2.564,1.025
-2.514,1.025
-2.464,1.025
-2.414,1.025
-2.364,1.025
-2.314,1.025
-2.264,1.025
-2.214,1.075
-2.164,1.075
-2.114,1.075
-2.064,1.075
-2.014,1.075
-1.964,1.075
-1.914,1.075
-1.864,1.075
-1.814,1.075
-1.764,1.075
-1.714,1.075
-1.664,1.075
-1.614,1.075
-1.564,1.025
-1.514,1.025
-1.464,1.025
-1.414,1.025
-1.364,1.025
-1.314,1.025
-1.264,1.025
-1.214,1.025
-1.164,1.025
-1.114,1.025
-1.064,1.025
-1.014,1.025
-0.964,1.025
-0.914,1.025
-0.864,1.025
-0.814,1.025
-0.764,1.025
-0.714,1.075
-0.664,1.075
-0.614,1.075
-0.564,1.075
-0.514,1.075
-0.464,1.075
-0.414,1.075
-0.364,1.075
-0.314,1.075
-0.264,1.075
-0.214,1.075
-0.164,1.075
-0.114,1.075
-0.064,1.075
-0.014,1.075
0.036,1.075
0.086,1.075
0.136,1.075
0.186,1.075
0.236,1.075
0.286,1.075
0.336,1.075
0.386,1.075
0.436,1.075
0.486,1.075
0.536,1.025
0.586,1.025
0.636,1.025
0.686,1.025
0.736,1.025
0.786,1.025
0.836,1.025
0.886,1.025
0.886,0.975
0.886,0.925
0.936,0.875
0.936,0.825
0.936,0.775
0.936,0.725
0.936,0.675
0.986,0.625
1.036,0.575
1.086,0.575
1.136,0.575
1.186,0.575
1.236,0.625
1.236,0.675
1.236,0.725
1.236,0.775
1.236,0.825
1.236,0.875
1.236,0.925
1.236,0.975
1.286,1.025
1.336,1.025
1.386,1.025
1.436,1.025
1.486,1.025
1.536,1.025
1.586,1.025
1.636,1.025
1.686,1.025
1.736,1.025
1.786,1.025
1.836,1.025
1.886,1.025
1.936,1.075
1.986,1.075
2.036,1.075
2.086,1.075
2.136,1.075
2.186,1.075
2.236,1.075
2.286,1.075
2.336,1.075
2.386,1.075
2.436,1.075
2.486,1.075
2.536,1.075
2.586,1.075
2.636,1.075
2.686,1.075
2.736,1.075
2.786,1.075
2.836,1.075
2.886,1.075
2.936,1.075
2.986,1.075
3.036,1.075
3.086,1.075
3.136,1.075
3.186,1.075
3.236,1.075
3.286,1.075
3.336,1.075
3.386,1.075
3.436,1.075
3.486,1.075
3.536,1.075
3.586,1.075
3.636,1.075
3.686,1.075
3.736,1.075
3.786,1.125
3.836,1.125
3.886,1.125
3.936,1.125
3.986,1.125
4.036,1.125
4.086,1.125
4.136,1.125
4.186,1.175
4.236,1.175
4.286,1.175
4.336,1.175
4.386,1.175
4.436,1.175
4.486,1.175
4.536,1.175
4.586,1.175
4.636,1.175
4.686,1.175
4.736,1.175
4.786,1.175
4.836,1.175
4.886,1.175
4.936,1.175
4.986,1.175
5.036,1.175
5.086,1.175
5.136,1.175
5.186,1.175
5.236,1.175
5.286,1.175
5.336,1.175
5.386,1.175
5.436,1.175
5.486,1.175
5.536,1.175
5.586,1.175
5.636,1.175
5.686,1.175
5.736,1.225
5.736,1.275
5.786,1.325
5.786,1.375
5.786,1.425
5.786,1.475
5.736,1.525
5.686,1.525
5.636,1.525
5.586,1.525
5.536,1.525
5.486,1.525
5.436,1.525
5.386,1.525
5.336,1.525
5.286,1.525
5.236,1.525
5.186,1.525
5.136,1.525
5.086,1.525
5.036,1.525
4.986,1.525
4.936,1.525
4.886,1.525
4.836,1.525
4.786,1.525
4.736,1.575
4.686,1.575
4.636,1.525
4.586,1.525
4.536,1.525
4.486,1.525
4.436,1.525
4.386,1.525
4.336,1.525
4.286,1.525
4.236,1.525
4.186,1.525
4.136,1.525
4.086,1.525
4.036,1.525
3.986,1.525
3.936,1.525
3.886,1.525
3.836,1.475
3.786,1.475
3.736,1.475
3.686,1.475
3.636,1.475
3.586,1.475
3.536,1.475
3.486,1.475
3.436,1.475
3.386,1.475
3.336,1.475
3.286,1.475
3.236,1.475
3.186,1.475
3.136,1.475
3.086,1.475
3.036,1.475
2.986,1.475
2.936,1.425
2.886,1.425
2.836,1.425
2.786,1.425
2.736,1.425
2.686,1.425
2.636,1.425
2.586,1.425
2.536,1.425
2.486,1.425
2.436,1.425
2.386,1.425
2.336,1.425
2.286,1.425
2.236,1.425
2.186,1.425
2.136,1.425
2.086,1.425
2.036,1.425
1.986,1.475
1.936,1.425
1.886,1.425
1.836,1.425
1.786,1.425
1.736,1.425
1.686,1.425
1.636,1.425
1.586,1.425
1.536,1.425
1.486,1.425
1.436,1.425
1.386,1.425
1.336,1.425
1.336,1.475
1.336,1.525
1.336,1.575
1.336,1.625
1.336,1.675
1.336,1.725
1.336,1.775
1.286,1.825
1.236,1.875
1.186,1.875
1.136,1.875
1.086,1.825
1.036,1.775
1.036,1.725
1.036,1.675
1.036,1.625
1.036,1.575
0.986,1.525
0.986,1.475
0.986,1.425
0.936,1.425
0.886,1.425
0.836,1.425
0.786,1.425
0.736,1.425
0.686,1.425
0.636,1.425
0.586,1.425
0.536,1.475
0.486,1.475
0.436,1.475
0.386,1.475
0.336,1.475
0.286,1.475
0.236,1.475
0.186,1.475
0.136,1.475
0.086,1.475
0.036,1.475
-0.014,1.475
-0.064,1.475
-0.114,1.475
-0.164,1.475
-0.214,1.475
-0.264,1.475
-0.314,1.475
-0.364,1.475
-0.414,1.475
-0.464,1.475
-0.514,1.475
-0.564,1.475
-0.614,1.425
-0.664,1.425
-0.714,1.425
-0.764,1.425
-0.814,1.425
-0.864,1.425
-0.914,1.425
-0.964,1.425
-1.014,1.425
-1.064,1.425
-1.114,1.425
-1.164,1.425
-1.214,1.425
-1.264,1.425
-1.314,1.425
-1.364,1.425
-1.414,1.425
-1.464,1.425
-1.514,1.425
-1.564,1.425
-1.614,1.425
-1.664,1.475
-1.714,1.475
-1.764,1.475
-1.814,1.475
-1.864,1.475
-1.914,1.475
-1.964,1.475
-2.014,1.475
-2.064,1.475
-2.114,1.475
-2.164,1.475
-2.214,1.475
-2.264,1.475
-2.314,1.475
-2.364,1.475
-2.414,1.425
-2.464,1.425
-2.514,1.425
-2.564,1.425
-2.614,1.425
-2.664,1.425
-2.714,1.425
-2.764,1.425
-2.814,1.425
-2.864,1.425
-2.914,1.425
-2.964,1.425
-3.014,1.425
-3.064,1.425
-3.114,1.425
-3.164,1.425
-3.214,1.425
-3.264,1.425
-3.314,1.425
-3.364,1.425
-3.414,1.475
-3.464,1.475
-3.514,1.475
-3.564,1.475
-3.614,1.475
-3.664,1.475
-3.714,1.475
-3.764,1.475
-3.814,1.475
-3.864,1.475
-3.914,1.475
-3.964,1.475
-4.014,1.475
-4.064,1.475
-4.064,1.525
-4.064,1.575
-4.064,1.625
-4.064,1.675
-4.064,1.725
-4.064,1.775
-4.114,1.825
-4.164,1.825
-4.214,1.875
-4.264,1.875
-4.314,1.825
-4.364,1.775
-4.364,1.725
-4.364,1.675
-4.364,1.625
-4.364,1.575
-4.364,1.525
-4.364,1.475
-4.364,1.425
-4.364,1.375
-4.364,1.325
-4.414,1.325
-4.464,1.325
-4.514,1.325
-4.564,1.325
-4.614,1.325
-4.664,1.325
-4.714,1.325
-4.764,1.325
-4.814,1.325
-4.864,1.325
-4.914,1.325
-4.964,1.325
-5.014,1.325
-5.064,1.325
-5.114,1.325
-5.164,1.325
-5.214,1.325
-5.264,1.325
-5.314,1.325
-5.364,1.325
-5.414,1.325
-5.464,1.325
-5.514,1.325
-5.564,1.325
-5.614,1.325
-5.664,1.325
-5.714,1.325
-5.764,1.325
-5.814,1.325
-5.864,1.325
-5.914,1.275
-5.964,1.275
-6.014,1.275
-6.064,1.275
-6.114,1.275
-6.164,1.275
-6.214,1.275
-6.264,1.275
-6.314,1.275
-6.364,1.275
-6.414,1.275
-6.464,1.275
-6.514,1.275
-6.564,1.275
-6.614,1.275
-6.664,1.275
-6.714,1.275
-6.764,1.275
-6.814,1.275
-6.864,1.275
-6.914,1.275
-6.964,1.275
-7.014,1.275
-7.064,1.275
-7.114,1.275
-7.164,1.275
-7.214,1.275
-7.264,1.275
-7.314,1.275
-7.364,1.275
-7.414,1.275
-7.464,1.275
-7.514,1.275
-7.564,1.275
-7.614,1.275
-7.664,1.275
-7.714,1.275
-7.764,1.275
-7.814,1.275
-7.864,1.225
-7.914,1.225
-7.964,1.225
-8.014,1.225
-8.064,1.225
-8.114,1.225
-8.164,1.225
-8.214,1.225
-8.264,1.225
-8.314,1.225
-8.364,1.225
-8.414,1.225
-8.464,1.225
-8.514,1.225
-8.564,1.225
-8.614,1.225
-8.664,1.225
-8.714,1.225
-8.764,1.225
-8.814,1.175
-8.864,1.175
-8.914,1.175
-8.964,1.175
-9.014,1.175
-9.064,1.175
-9.114,1.175
-9.164,1.175
-9.214,1.175
-9.264,1.175
-9.314,1.175
-9.364,1.175
-9.414,1.175
-9.464,1.125
-9.514,1.125
-9.564,1.125
-9.614,1.125
-9.664,1.125
-9.714,1.125
-9.764,1.125
-9.814,1.125
-9.864,1.125
-9.914,1.075
-9.914,1.025
-9.914,0.975
-9.914,0.925
-9.914,0.875
-9.914,0.825
-9.914,0.775
-9.914,0.725
-9.914,0.675
-9.914,0.625
-9.914,0.575
-9.914,0.525
-9.914,0.475
-9.914,0.425
-9.964,0.375
-9.914,0.325
-9.864,0.275
-9.864,0.225
-9.864,0.175
-9.814,0.125
-9.814,0.075
-9.764,0.025
-9.764,-0.025
-9.764,-0.075
-9.764,-0.125
-9.764,-0.175
-9.764,-0.225
-9.764,-0.275
-9.764,-0.325
-9.764,-0.375
-9.764,-0.425
-9.714,-0.475
-9.714,-0.525
-9.714,-0.575
-9.714,-0.625
-9.714,-0.675
-9.714,-0.725
-9.714,-0.775
-9.714,-0.825
-9.714,-0.875
-9.714,-0.925
-9.714,-0.975
-9.714,-1.025
-9.714,-1.075
-9.664,-1.125
-9.664,-1.175
-9.664,-1.225
-9.664,-1.275
-9.664,-1.325
-9.664,-1.375
-9.614,-1.425
-9.614,-1.475
-9.614,-1.525
-9.614,-1.575
-9.614,-1.625
-9.564,-1.675
-9.564,-1.725
-9.564,-1.775
-9.564,-1.825
-9.564,-1.875
-9.514,-1.925
-9.514,-1.975
-9.514,-2.025
-9.514,-2.075
-9.464,-2.125
-9.464,-2.175
-9.464,-2.225
-9.464,-2.275
-9.464,-2.325
-9.464,-2.375
-9.414,-2.425
-9.414,-2.475
-9.414,-2.525
-9.364,-2.575
-9.314,-2.625
-9.314,-2.675
-9.264,-2.725
-9.214,-2.775
-9.214,-2.825
-9.164,-2.875
-9.164,-2.925
-9.114,-2.975
-9.064,-3.025
-9.014,-3.075
-9.014,-3.125
-8.964,-3.175
-8.914,-3.225
-8.864,-3.275
-8.814,-3.325
-8.764,-3.375
-8.714,-3.425
-8.664,-3.475
-8.614,-3.525
-8.564,-3.575
-8.514,-3.625
-8.464,-3.625
-8.414,-3.675
-8.364,-3.675
-8.314,-3.725
-8.264,-3.725
-8.214,-3.775
-8.164,-3.825
-8.114,-3.875
-8.064,-3.875
-8.014,-3.875
-8.014,-3.925
-7.964,-3.975
-7.914,-4.025
-7.864,-4.075
-7.814,-4.075
-7.764,-4.075
-7.714,-4.075
-7.664,-4.075
-7.614,-4.125
-7.564,-4.175
-7.514,-4.175
-7.464,-4.225
-7.414,-4.275
-7.364,-4.325
-7.314,-4.325
-7.264,-4.375
-7.214,-4.425
-7.164,-4.475
-7.114,-4.475
-7.064,-4.525
-7.014,-4.575
-6.964,-4.575
-6.914,-4.625
-6.864,-4.675
-6.814,-4.675
-6.764,-4.725
-6.714,-4.775
-6.664,-4.775
-6.614,-4.825
-6.564,-4.875
-6.514,-4.875
-6.464,-4.925
-6.414,-4.975
-6.364,-4.975
-6.314,-5.025
-6.264,-5.025
-6.214,-5.075
-6.214,-5.125
-6.214,-5.175
-6.214,-5.225
-6.164,-5.275
-6.114,-5.325
-6.064,-5.375
-6.014,-5.375
-5.964,-5.425
-5.914,-5.425
-5.864,-5.475
-5.814,-5.525
-5.764,-5.525
-5.714,-5.575
-5.664,-5.575
-5.614,-5.625
-5.564,-5.675
-5.514,-5.675
-5.464,-5.675
-5.414,-5.725
-5.364,-5.775
-5.314,-5.775
-5.264,-5.825
-5.214,-5.825
-5.164,-5.825
-5.114,-5.875
-5.064,-5.875
-5.014,-5.925
-4.964,-5.925
-4.914,-5.975
-4.864,-5.975
-4.814,-6.025
-4.764,-6.025
-4.714,-6.025
-4.664,-6.025
-4.614,-6.075
-4.564,-6.075
-4.514,-6.075
-4.464,-6.125
-4.414,-6.125
-4.364,-6.125
-4.314,-6.125
-4.264,-6.125
-4.264,-6.175
-4.264,-6.225
-4.264,-6.275
-4.264,-6.325
-4.264,-6.375
-4.264,-6.425
-4.264,-6.475
-4.264,-6.525
-4.264,-6.575
-4.264,-6.625
-4.214,-6.675
-4.164,-6.725
-4.114,-6.725
-4.064,-6.725
-4.014,-6.725
-3.964,-6.725
-3.914,-6.675
-3.914,-6.625
-3.914,-6.575
-3.914,-6.525
-3.864,-6.475
-3.864,-6.425
-3.864,-6.375
-3.814,-6.375
-3.764,-6.375
-3.714,-6.375
-3.664,-6.375
-3.614,-6.375
-3.564,-6.375
-3.514,-6.375
-3.464,-6.375
-3.414,-6.425
-3.364,-6.425
-3.314,-6.425
-3.264,-6.425
-3.214,-6.425
-3.164,-6.475
-3.114,-6.475
-3.064,-6.475
-3.014,-6.475
