x_m,y_m,w_tr_right_m,w_tr_left_m
4.555909,-2.174421,0.7795,0.7795
4.516718,-2.189589,0.7394,0.7394
4.478799,-2.207024,0.7492,0.7492
4.44227,-2.226685,0.6992,0.6992
4.406268,-2.248522,0.7091,0.7091
4.370913,-2.272482,0.7291,0.7291
4.337199,-2.298507,0.6892,0.6892
4.305134,-2.32653,0.6795,0.6795
4.272876,-2.356482,0.7097,0.7097
4.242291,-2.388286,0.6698,0.6698
4.212521,-2.421861,0.7,0.7
4.184563,-2.457117,0.7,0.7
4.157448,-2.493964,0.6795,0.6795
4.131191,-2.532301,0.65,0.65
4.106793,-2.572024,0.65,0.65
4.082417,-2.613023,0.6098,0.6098
4.059934,-2.655183,0.6197,0.6197
4.039362,-2.698381,0.6295,0.6295
4.019737,-2.74249,0.5894,0.5894
4.001081,-2.787379,0.5992,0.5992
3.983415,-2.832908,0.5697,0.5697
3.966645,-2.878934,0.5795,0.5795
3.950679,-2.925307,0.5894,0.5894
3.935424,-2.972855,0.5394,0.5394
3.920785,-3.021536,0.5492,0.5492
3.90667,-3.071303,0.5697,0.5697
3.892986,-3.121121,0.5795,0.5795
3.87964,-3.171806,0.5394,0.5394
3.866538,-3.223299,0.5492,0.5492
3.853587,-3.276411,0.5894,0.5894
3.840693,-3.330096,0.5992,0.5992
3.827765,-3.385161,0.5794,0.5794
3.814708,-3.440443,0.5992,0.5992
3.801429,-3.495761,0.6192,0.6192
3.787835,-3.551047,0.6394,0.6394
3.773834,-3.607098,0.5992,0.5992
3.759331,-3.663728,0.6192,0.6192
3.744233,-3.72075,0.6394,0.6394
3.728448,-3.777109,0.6192,0.6192
3.711882,-3.832614,0.6492,0.6492
3.694442,-3.887944,0.6591,0.6591
3.676034,-3.942907,0.6492,0.6492
3.656566,-3.997425,0.6591,0.6591
3.635944,-4.051421,0.6394,0.6394
3.614076,-4.104702,0.6492,0.6492
3.590867,-4.158061,0.6591,0.6591
3.566225,-4.209569,0.6494,0.6494
3.540056,-4.261002,0.6795,0.6795
3.512268,-4.311301,0.6591,0.6591
3.482767,-4.361262,0.6492,0.6492
3.45146,-4.409941,0.6591,0.6591
3.419238,-4.458253,0.6494,0.6494
3.386125,-4.506126,0.6795,0.6795
3.352148,-4.553497,0.6591,0.6591
3.317337,-4.600299,0.6494,0.6494
3.281725,-4.646474,0.6397,0.6397
3.244361,-4.691092,0.6591,0.6591
3.206151,-4.735081,0.6494,0.6494
3.167135,-4.778385,0.6397,0.6397
3.127351,-4.820953,0.5998,0.5998
3.086845,-4.863604,0.63,0.63
3.045663,-4.905311,0.63,0.63
3.003854,-4.946033,0.6192,0.6192
2.961471,-4.986601,0.6095,0.6095
2.918568,-5.025999,0.5998,0.5998
2.875204,-5.064196,0.56,0.56
2.831439,-5.102038,0.56,0.56
2.786352,-5.139386,0.5998,0.5998
2.740878,-5.175243,0.6095,0.6095
2.695081,-5.209594,0.5794,0.5794
2.648048,-5.243301,0.5992,0.5992
2.600717,-5.276244,0.6192,0.6192
2.55316,-5.308311,0.5992,0.5992
2.505452,-5.338524,0.6192,0.6192
2.456687,-5.366894,0.5992,0.5992
2.407812,-5.394302,0.6394,0.6394
2.358908,-5.420653,0.6295,0.6295
2.309073,-5.445856,0.6591,0.6591
2.25926,-5.468957,0.6492,0.6492
2.208573,-5.490859,0.6894,0.6894
2.157966,-5.511484,0.6795,0.6795
2.107529,-5.529893,0.7197,0.7197
2.056368,-5.547001,0.7098,0.7098
2.005447,-5.561878,0.7,0.7
1.953875,-5.575447,0.75,0.75
1.902616,-5.587656,0.7598,0.7598
1.851769,-5.598456,0.7697,0.7697
1.800449,-5.607804,0.7795,0.7795
1.748641,-5.615665,0.7894,0.7894
1.697317,-5.621137,0.7992,0.7992
1.645594,-5.625177,0.8,0.8
1.594447,-5.62776,0.8,0.8
1.542996,-5.628002,0.8,0.8
1.491233,-5.626871,0.8,0.8
1.440134,-5.62436,0.8098,0.8098
1.388823,-5.620466,0.8197,0.8197
1.338279,-5.614321,0.8295,0.8295
1.287629,-5.606916,0.8394,0.8394
1.23687,-5.597391,0.8492,0.8492
1.186,-5.586745,0.8689,0.8689
1.136,-5.574129,0.8389,0.8389
1.086,-5.560549,0.8591,0.8591
1.036,-5.545163,0.8689,0.8689
0.986,-5.528116,0.8788,0.8788
0.936,-5.510428,0.8591,0.8591
0.886,-5.492137,0.8689,0.8689
0.836,-5.472418,0.8389,0.8389
0.786,-5.451435,0.8591,0.8591
0.736,-5.429352,0.8689,0.8689
0.686,-5.406337,0.8389,0.8389
0.636,-5.381577,0.8591,0.8591
0.586,-5.356983,0.8189,0.8189
0.536,-5.330762,0.8389,0.8389
0.486,-5.302976,0.8189,0.8189
0.436,-5.274673,0.7991,0.7991
0.386,-5.24603,0.8098,0.8098
0.336,-5.217117,0.8098,0.8098
0.286,-5.187019,0.77,0.77
0.236,-5.155807,0.77,0.77
0.186,-5.124536,0.77,0.77
0.136,-5.092409,0.7398,0.7398
0.086,-5.06037,0.7398,0.7398
0.036,-5.027511,0.7097,0.7097
-0.014,-4.994892,0.7194,0.7194
-0.064,-4.961722,0.7291,0.7291
-0.114,-4.928081,0.7,0.7
-0.164,-4.894047,0.7,0.7
-0.214,-4.860684,0.7,0.7
-0.264,-4.827203,0.6698,0.6698
-0.314,-4.793688,0.6795,0.6795
-0.364,-4.759349,0.6892,0.6892
-0.414,-4.726234,0.6591,0.6591
-0.464,-4.693556,0.6892,0.6892
-0.514,-4.661397,0.7091,0.7091
-0.564,-4.629837,0.6795,0.6795
-0.614,-4.598089,0.6892,0.6892
-0.664,-4.567217,0.7091,0.7091
-0.714,-4.538284,0.6892,0.6892
-0.764,-4.510501,0.7091,0.7091
-0.814,-4.483082,0.6892,0.6892
-0.864,-4.457088,0.7091,0.7091
-0.914,-4.431615,0.6992,0.6992
-0.964,-4.40674,0.7291,0.7291
-1.014,-4.383519,0.7091,0.7091
-1.064,-4.360172,0.7291,0.7291
-1.114,-4.338622,0.7091,0.7091
-1.164,-4.318935,0.7492,0.7492
-1.214,-4.300196,0.7394,0.7394
-1.264,-4.281484,0.7291,0.7291
-1.314,-4.264714,0.7591,0.7591
-1.364,-4.249945,0.7492,0.7492
-1.414,-4.235382,0.7394,0.7394
-1.464,-4.221948,0.7795,0.7795
-1.514,-4.209579,0.7697,0.7697
-1.564,-4.198325,0.7598,0.7598
-1.614,-4.189214,0.75,0.75
-1.664,-4.181308,0.75,0.75
-1.714,-4.174534,0.8,0.8
-1.764,-4.168817,0.8,0.8
-1.814,-4.164194,0.8,0.8
-1.864,-4.160699,0.8,0.8
-1.914,-4.158249,0.8,0.8
-1.964,-4.157743,0.8,0.8
-2.014,-4.158222,0.8,0.8
-2.064,-4.160585,0.8,0.8
-2.114,-4.16387,0.8,0.8
-2.164,-4.167987,0.8,0.8
-2.214,-4.17197,0.8,0.8
-2.264,-4.176705,0.7598,0.7598
-2.314,-4.182087,0.7697,0.7697
-2.364,-4.188996,0.7795,0.7795
-2.414,-4.196456,0.7894,0.7894
-2.464,-4.203487,0.7992,0.7992
-2.514,-4.211944,0.8091,0.8091
-2.564,-4.220843,0.8189,0.8189
-2.614,-4.229196,0.7991,0.7991
-2.664,-4.236995,0.8091,0.8091
-2.714,-4.246081,0.8189,0.8189
-2.764,-4.255454,0.8389,0.8389
-2.814,-4.265968,0.8492,0.8492
-2.864,-4.276622,0.8091,0.8091
-2.914,-4.289136,0.8189,0.8189
-2.964,-4.301524,0.8389,0.8389
-3.014,-4.314636,0.8389,0.8389
-3.064,-4.328453,0.8189,0.8189
-3.114,-4.341971,0.8389,0.8389
-3.164,-4.355922,0.8189,0.8189
-3.214,-4.370169,0.7991,0.7991
-3.264,-4.384691,0.8189,0.8189
-3.314,-4.399463,0.8091,0.8091
-3.364,-4.414465,0.7991,0.7991
-3.414,-4.430543,0.8189,0.8189
-3.464,-4.445708,0.7991,0.7991
-3.514,-4.460808,0.7689,0.7689
-3.564,-4.475821,0.7091,0.7091
-3.614,-4.491594,0.6992,0.6992
-3.664,-4.507122,0.6894,0.6894
-3.714,-4.522272,0.6795,0.6795
-3.764,-4.53778,0.6197,0.6197
-3.814,-4.552644,0.6098,0.6098
-3.864,-4.566846,0.6,0.6
