x_m,y_m,psi_rad,v_mps
0.44949058920607743,-7.039884845083968,-0.029773047806434912,6.99999910994903
0.7079694418214063,-7.0473647907674,-0.02822302402816886,6.999999588377562
0.9661709707706075,-7.05491862271036,-0.029546680111351215,6.999999585081832
1.2224590716181496,-7.062115508359227,-0.023222296775780405,6.999999579881801
1.4745571490963425,-7.067224540594307,-0.011384270905281194,6.99999957277848
1.7207545213330198,-7.067456300885167,0.016964056130914253,6.999999564030375
1.9596466018422352,-7.0596865576792345,0.05728544893678632,6.999999554134086
2.189843580874466,-7.040536237659297,0.11860805256577375,6.999999543789557
2.4113087673600955,-7.006758344853608,0.19142564062791037,6.999999533947807
2.625164809331404,-6.956114004076427,0.27736898580585956,6.99999952576274
2.8324206386251305,-6.887427774647003,0.36316574207654534,6.999999520339994
3.0338644004883175,-6.80026513200769,0.45019148717532376,6.99999951834503
3.2274818185494096,-6.696955485930042,0.5337703698142366,6.999999519761519
3.413191987368889,-6.575434713524793,0.6170424341090196,6.999999523924977
3.5944822437404347,-6.436522983528001,0.6832512584441547,6.999999529775616
3.7705988886622346,-6.2834992963084355,0.7413874197193767,6.999999536179567
3.941454350952426,-6.119126035297005,0.7871305038880247,6.999999542169743
4.106090307063246,-5.946079264672626,0.8318736076120384,6.999999547073882
4.263929413758168,-5.7657850127494665,0.870607132435729,6.999999550519411
4.414510752049052,-5.579328058211855,0.9120635964792237,6.999999552381617
4.557307827235941,-5.38752497372559,0.9501848545610826,6.99999955268902
4.69152461833016,-5.191099327284517,0.9940730491323715,6.999999551521575
4.815632913350488,-4.991398929370483,1.0387766529589473,6.999999548905917
4.929432156253685,-4.786108122908818,1.0886437611923956,6.999999544720369
5.033802155688736,-4.575610335505844,1.1370000848640367,6.999999538627457
5.124967963634047,-4.363396777903887,1.1970579024274848,6.999999530024447
5.201957396897972,-4.148513281840965,1.2593276385887138,6.999999518015707
5.263529934488979,-3.932347574689479,1.332876478294406,6.999999501339884
5.3072040903587006,-3.7185187647209887,1.4165403972258344,6.999999478222433
5.329530816329217,-3.5113270381916672,1.5251711728068194,6.999999937544088
5.327431515056658,-3.3147213881156325,1.6551166523978407,7.000000004463859
5.299432967738069,-3.133054037787468,1.8118635119124613,6.977123271426217
