s_m,ey_m,epsi_rad,v_mps,a_mps2,delta_rad,sdot_mps,t_s
0.0,0.46574725693498353,-0.0008035237812889185,6.99999910994903,0.197143642117639,0.006598675299907053,7.093030062230054,0.0
0.25852347257551134,0.4657574160925699,0.0008830211738667603,6.999999588377562,0.2698894041547996,-0.006978621928057097,7.127998442441149,0.03651210403012193
0.5170462926247021,0.46575628924691015,-0.0008918824533278729,6.999999585081832,0.3976322817552086,0.007130280835579658,7.190229540395153,0.07284500218872506
0.7755560452000818,0.46575805705711393,0.0009059054628590486,6.999999579881801,0.5812261572039525,-0.007284374611592679,7.2815978097222755,0.10886357059562608
1.0340568069512235,0.46575783610130317,-0.0009076804585594889,6.99999957277848,0.8127427051923458,0.007428350430071735,7.400178715574044,0.14442999187800928
1.2925751249366397,0.46575838124749663,0.0009121310426291732,6.999999564030375,1.076616193323472,-0.007590647340771238,7.540132052543797,0.17942676649866457
1.5511384279347475,0.4657582880025397,-0.000912906701481049,6.999999554134086,1.353211718786098,0.007755737953213852,7.692629764946134,0.21377359820520012
1.809727829345058,0.46575852104927207,0.0009148844831754273,6.999999543789557,1.6199606255454315,-0.007921454585370401,7.845658455665474,0.24744000226807988
2.0683188603865026,0.4657584476959023,-0.0009155194007166325,6.999999533947807,1.8509311359779668,0.00806810808988823,7.983165630944454,0.2804491944738181
2.3269671296115817,0.4657585814194198,0.0009166971212755307,6.99999952576274,2.0203193648160624,-0.0081818192425554,8.087114086712182,0.31289044993128623
2.5857594717734944,0.46575850027830384,-0.0009174210627113573,6.999999520339994,2.1098533056629516,0.008245647785212307,8.143159081277597,0.34491401911880876
2.844658897250493,0.4657586011560504,0.0009183273106288976,6.99999951834503,2.1146108005261195,-0.008257405741441598,8.14615907116871,0.3767179293652287
3.103631798203802,0.46575849092501315,-0.0009193179734860808,6.999999519761519,2.0438132783059677,0.0082208042846937,8.101745251092598,0.4085093677982615
3.3629180348143484,0.4657585956600458,0.0009202540889684935,6.999999523924977,1.9175335206409614,-0.008152704021113833,8.023717052335412,0.4404758394091958
3.6227043009635262,0.4657584234813494,-0.0009217782245071648,6.999999529775616,1.7614122220489103,0.008069047242511831,7.929302343682828,0.4727524509802228
3.882382984152746,0.46575857439278007,0.0009230983542600022,6.999999536179567,1.6011840431227469,-0.007989498889821972,7.834687558979744,0.5054140635163931
4.141686618357594,0.4657582833091847,-0.0009256143342046472,6.999999542169743,1.458348861512692,0.007925798870192085,7.752226092242756,0.5384694796634278
4.400661710348836,0.46575855038328934,0.0009278984515799788,6.999999547073882,1.3477763586887685,-0.007888543288451668,7.689573729340127,0.5718770916738739
4.659283620400437,0.4657580783836152,-0.0009319026086057827,6.999999550519411,1.2772655718360104,0.007881324439493801,7.650146113741544,0.6055563607094938
4.9175497857437085,0.46575854026707725,0.0009358007965091366,6.999999552381617,1.248735552373101,-0.007903349404352725,7.634308591792057,0.639409714528021
5.175427871380391,0.4657579252753735,-0.0009409805117005441,6.99999955268902,1.2605575596027636,0.007954081750359094,7.640862590155397,0.6733328066894341
5.432981284313682,0.46575855106589886,0.0009462556277276473,6.999999551521575,1.310439001626697,-0.00802627304519888,7.668645617862404,0.7072272903925882
5.690065041440689,0.46575796875260445,-0.0009511821730653164,6.999999548905917,1.3982343311017966,0.008120867468753958,7.718037230646696,0.7409984738701293
5.946927922089954,0.4657585772510405,0.0009563633282710882,6.999999544720369,1.5280368561250697,-0.008236660909268178,7.792240571270224,0.7745540673324254
6.204570333115945,0.465758162858242,-0.0009599257248976826,6.999999538627457,1.7090215068243186,0.00838098860205273,7.898114484567255,0.8077895506397628
6.4626763152467515,0.4657586123149011,0.0009638419774632445,6.999999530024447,1.9549704792420897,-0.008565509471602816,8.04669227636824,0.8405801382598599
6.720651197283457,0.46575837628020766,-0.0009659373542622938,6.999999518015707,2.2829531121802917,0.008806610188707155,8.253745995658376,0.872764568060367
6.978641107639242,0.46575865105291514,0.0009684393275569182,6.999999501339884,2.711929656432527,-0.00913054281234333,8.541201255376288,0.904142407593156
7.236558505714065,0.46575853434069364,-0.0009695391088527056,6.999999478222433,3.2624613478890434,0.009574431016537321,8.94080460825101,0.9344633200176403
7.494348408056163,0.4657587739549775,0.0009719025500512091,6.999999937544088,3.9590826525556446,-0.010189432301589219,9.503442906638972,0.9634300904301235
7.751922986339194,0.46575877937340104,-0.0009718457407393695,7.000000004463859,3.9187454641171855,-0.014322837254418503,10.321821151439892,0.9906807468138048
8.00918068025694,0.46536706234004244,-0.003488016968341325,6.977123271426217,3.6554085294855505,-0.029185489243686864,11.541884853502701,1.015816719366274
8.265987381450909,0.46446252577160513,-0.008061034784690816,6.926365673601995,3.3327058620506196,-0.04032289430324469,13.55074379810148,1.0383499697352487
8.522415755332478,0.4630395430442202,-0.013409042476718676,6.850972995688755,3.049421537380556,-0.04822105615635369,17.352410963878828,1.0575931808556858
8.778384954192726,0.46141141674225844,-0.018356223360491503,6.762906504723522,2.847667643698678,-0.05368871672594097,25.929676936164164,1.0726537569961776
9.03370891695154,0.46004290790836044,-0.022001120709985878,6.682974500609221,2.7300420089860298,-0.05721319804383968,48.772312709141,1.0827423919241614
9.287842575025762,0.4592214330627908,-0.02404493177843907,6.630668663102022,2.6743329640271227,-0.0591296644224847,84.69741579579613,1.088102903505213
