s_m,ey_m,epsi_rad,v_mps,a_mps2,delta_rad,sdot_mps,t_s,x_m,y_m,psi_rad,v_mps
0.0,0.46574725693498353,-0.0008035237812889185,6.99999910994903,0.197143642117639,0.006598675299907053,7.093030062230054,0.0,0.44949058920607743,-7.039884845083968,-0.029773047806434912,6.99999910994903
0.25852347257551134,0.4657574160925699,0.0008830211738667603,6.999999588377562,0.2698894041547996,-0.006978621928057097,7.127998442441149,0.03651210403012193,0.7079694418214063,-7.0473647907674,-0.02822302402816886,6.999999588377562
0.5170462926247021,0.46575628924691015,-0.0008918824533278729,6.999999585081832,0.3976322817552086,0.007130280835579658,7.190229540395153,0.07284500218872506,0.9661709707706075,-7.05491862271036,-0.029546680111351215,6.999999585081832
0.7755560452000818,0.46575805705711393,0.0009059054628590486,6.999999579881801,0.5812261572039525,-0.007284374611592679,7.2815978097222755,0.10886357059562608,1.2224590716181496,-7.062115508359227,-0.023222296775780405,6.999999579881801
1.0340568069512235,0.46575783610130317,-0.0009076804585594889,6.99999957277848,0.8127427051923458,0.007428350430071735,7.400178715574044,0.14442999187800928,1.4745571490963425,-7.067224540594307,-0.011384270905281194,6.99999957277848
1.2925751249366397,0.46575838124749663,0.0009121310426291732,6.999999564030375,1.076616193323472,-0.007590647340771238,7.540132052543797,0.17942676649866457,1.7207545213330198,-7.067456300885167,0.016964056130914253,6.999999564030375
1.5511384279347475,0.4657582880025397,-0.000912906701481049,6.999999554134086,1.353211718786098,0.007755737953213852,7.692629764946134,0.21377359820520012,1.9596466018422352,-7.0596865576792345,0.05728544893678632,6.999999554134086
1.809727829345058,0.46575852104927207,0.0009148844831754273,6.999999543789557,1.6199606255454315,-0.007921454585370401,7.845658455665474,0.24744000226807988,2.189843580874466,-7.040536237659297,0.11860805256577375,6.999999543789557
2.0683188603865026,0.4657584476959023,-0.0009155194007166325,6.999999533947807,1.8509311359779668,0.00806810808988823,7.983165630944454,0.2804491944738181,2.4113087673600955,-7.006758344853608,0.19142564062791037,6.999999533947807
2.3269671296115817,0.4657585814194198,0.0009166971212755307,6.99999952576274,2.0203193648160624,-0.0081818192425554,8.087114086712182,0.31289044993128623,2.625164809331404,-6.956114004076427,0.27736898580585956,6.99999952576274
