0.000000000000000000e+00,4.657472569349835334e-01,-8.035237812889185413e-04,6.999999109949030185e+00,1.971436421176389897e-01,6.598675299907053211e-03,7.093030062230053723e+00
2.585234725755113372e-01,4.657574160925698759e-01,8.830211738667602915e-04,6.999999588377561643e+00,2.698894041547996170e-01,-6.978621928057097273e-03,7.127998442441149329e+00
5.170462926247021418e-01,4.657562892469101490e-01,-8.918824533278729445e-04,6.999999585081831732e+00,3.976322817552085942e-01,7.130280835579657674e-03,7.190229540395153052e+00
7.755560452000818117e-01,4.657580570571139278e-01,9.059054628590486498e-04,6.999999579881801104e+00,5.812261572039525426e-01,-7.284374611592678989e-03,7.281597809722275549e+00
1.034056806951223484e+00,4.657578361013031687e-01,-9.076804585594888935e-04,6.999999572778479617e+00,8.127427051923458157e-01,7.428350430071735400e-03,7.400178715574043942e+00
1.292575124936639730e+00,4.657583812474966334e-01,9.121310426291732477e-04,6.999999564030375154e+00,1.076616193323471915e+00,-7.590647340771238330e-03,7.540132052543796704e+00
1.551138427934747543e+00,4.657582880025397110e-01,-9.129067014810490332e-04,6.999999554134086033e+00,1.353211718786097917e+00,7.755737953213851996e-03,7.692629764946134152e+00
1.809727829345058048e+00,4.657585210492720673e-01,9.148844831754273255e-04,6.999999543789557244e+00,1.619960625545431521e+00,-7.921454585370401105e-03,7.845658455665473596e+00
2.068318860386502589e+00,4.657584476959023001e-01,-9.155194007166324571e-04,6.999999533947806718e+00,1.850931135977966768e+00,8.068108089888229723e-03,7.983165630944453639e+00
2.326967129611581697e+00,4.657585814194197815e-01,9.166971212755306965e-04,6.999999525762739871e+00,2.020319364816062446e+00,-8.181819242555399274e-03,8.087114086712182015e+00
2.585759471773494411e+00,4.657585002783038441e-01,-9.174210627113573444e-04,6.999999520339994064e+00,2.109853305662951595e+00,8.245647785212306680e-03,8.143159081277596911e+00
2.844658897250492924e+00,4.657586011560503891e-01,9.183273106288976362e-04,6.999999518345029870e+00,2.114610800526119494e+00,-8.257405741441598002e-03,8.146159071168710852e+00
3.103631798203802195e+00,4.657584909250131466e-01,-9.193179734860808163e-04,6.999999519761519018e+00,2.043813278305967707e+00,8.220804284693700864e-03,8.101745251092598465e+00
3.362918034814348367e+00,4.657585956600457933e-01,9.202540889684935038e-04,6.999999523924977041e+00,1.917533520640961386e+00,-8.152704021113833105e-03,8.023717052335411992e+00
3.622704300963526247e+00,4.657584234813493818e-01,-9.217782245071647540e-04,6.999999529775616125e+00,1.761412222048910348e+00,8.069047242511831128e-03,7.929302343682827825e+00
3.882382984152746186e+00,4.657585743927800670e-01,9.230983542600022101e-04,6.999999536179567272e+00,1.601184043122746870e+00,-7.989498889821972441e-03,7.834687558979744004e+00
4.141686618357594440e+00,4.657582833091846730e-01,-9.256143342046471972e-04,6.999999542169742739e+00,1.458348861512692052e+00,7.925798870192084580e-03,7.752226092242755939e+00
4.400661710348836131e+00,4.657585503832893381e-01,9.278984515799788401e-04,6.999999547073882056e+00,1.347776358688768550e+00,-7.888543288451668398e-03,7.689573729340127173e+00
4.659283620400437087e+00,4.657580783836152150e-01,-9.319026086057827099e-04,6.999999550519411251e+00,1.277265571836010416e+00,7.881324439493801043e-03,7.650146113741543630e+00
4.917549785743708490e+00,4.657585402670772479e-01,9.358007965091366199e-04,6.999999552381616752e+00,1.248735552373100965e+00,-7.903349404352725399e-03,7.634308591792057008e+00
5.175427871380390954e+00,4.657579252753735188e-01,-9.409805117005441396e-04,6.999999552689019744e+00,1.260557559602763611e+00,7.954081750359094302e-03,7.640862590155396816e+00
5.432981284313681769e+00,4.657585510658988626e-01,9.462556277276473271e-04,6.999999551521574936e+00,1.310439001626696909e+00,-8.026273045198879796e-03,7.668645617862403618e+00
5.690065041440688809e+00,4.657579687526044454e-01,-9.511821730653163788e-04,6.999999548905917024e+00,1.398234331101796624e+00,8.120867468753957888e-03,7.718037230646696223e+00
5.946927922089954244e+00,4.657585772510404731e-01,9.563633282710881601e-04,6.999999544720369116e+00,1.528036856125069676e+00,-8.236660909268177927e-03,7.792240571270223626e+00
6.204570333115944969e+00,4.657581628582420086e-01,-9.599257248976826064e-04,6.999999538627457163e+00,1.709021506824318637e+00,8.380988602052729525e-03,7.898114484567255289e+00
6.462676315246751457e+00,4.657586123149011215e-01,9.638419774632444627e-04,6.999999530024447303e+00,1.954970479242089665e+00,-8.565509471602816491e-03,8.046692276368240471e+00
6.720651197283457279e+00,4.657583762802076643e-01,-9.659373542622938080e-04,6.999999518015706634e+00,2.282953112180291733e+00,8.806610188707155243e-03,8.253745995658375634e+00
6.978641107639242058e+00,4.657586510529151402e-01,9.684393275569181964e-04,6.999999501339884134e+00,2.711929656432527036e+00,-9.130542812343329928e-03,8.541201255376288159e+00
7.236558505714064893e+00,4.657585343406936418e-01,-9.695391088527055513e-04,6.999999478222433069e+00,3.262461347889043406e+00,9.574431016537321426e-03,8.940804608251010421e+00
7.494348408056162647e+00,4.657587739549775008e-01,9.719025500512090817e-04,6.999999937544087558e+00,3.959082652555644621e+00,-1.018943230158921888e-02,9.503442906638971621e+00
7.751922986339193855e+00,4.657587793734010440e-01,-9.718457407393695175e-04,7.000000004463858616e+00,3.918745464117185495e+00,-1.432283725441850335e-02,1.032182115143989165e+01
8.009180680256939411e+00,4.653670623400424367e-01,-3.488016968341325127e-03,6.977123271426217244e+00,3.655408529485550506e+00,-2.918548924368686431e-02,1.154188485350270099e+01
8.265987381450909055e+00,4.644625257716051281e-01,-8.061034784690815705e-03,6.926365673601995177e+00,3.332705862050619583e+00,-4.032289430324469126e-02,1.355074379810148066e+01
8.522415755332477971e+00,4.630395430442201810e-01,-1.340904247671867618e-02,6.850972995688755063e+00,3.049421537380556213e+00,-4.822105615635369213e-02,1.735241096387882820e+01
8.778384954192725687e+00,4.614114167422584400e-01,-1.835622336049150261e-02,6.762906504723521728e+00,2.847667643698677864e+00,-5.368871672594097144e-02,2.592967693616416369e+01
9.033708916951539436e+00,4.600429079083604433e-01,-2.200112070998587813e-02,6.682974500609221380e+00,2.730042008986029778e+00,-5.721319804383968172e-02,4.877231270914099781e+01
9.287842575025761604e+00,4.592214330627907848e-01,-2.404493177843906870e-02,6.630668663102022187e+00,2.674332964027122728e+00,-5.912966442248469845e-02,8.469741579579613244e+01
9.540527205306524650e+00,4.587185369479733210e-01,-2.525284819966274255e-02,6.597963484340477969e+00,2.644885040894286110e+00,-6.024107705632368581e-02,5.083163884162072321e+01
9.793169424583684446e+00,4.578297710735260151e-01,-2.729338454444906262e-02,6.547394845067587177e+00,2.612252256881252510e+00,-6.175153390805288717e-02,2.369052216372758934e+01
1.004774313483793158e+01,4.557045948933170498e-01,-3.174534788832308885e-02,6.462488839264279861e+00,2.571017266865338158e+00,-6.411242650066506510e-02,1.409370079718990176e+01
1.030473827788754093e+01,4.514575669882614495e-01,-3.941072625192053314e-02,6.368411866061040705e+00,2.532737711662439217e+00,-6.669638795564081235e-02,1.014052603111872308e+01
1.056368984165892932e+01,4.441269605976619350e-01,-5.032734094509642986e-02,6.298928102994345579e+00,2.507740325910312595e+00,-6.861664268108588760e-02,8.217980274330530577e+00
1.082354280606273456e+01,4.327364153853697770e-01,-6.402598355691201115e-02,6.273207109633778700e+00,2.497914191869987643e+00,-6.935309209147083598e-02,7.179496369354393615e+00
1.108316912177617120e+01,4.164257520395863166e-01,-7.979554055022985981e-02,6.296274163646520705e+00,2.498025748852605421e+00,-6.884550323321050880e-02,6.591721005446913750e+00
1.134248265842590797e+01,3.945572313379551166e-01,-9.688733790258331757e-02,6.365589247788977723e+00,2.496904188680282299e+00,-6.737816442915400827e-02,6.267523289521365726e+00
1.160145693753516660e+01,3.667739697819218936e-01,-1.146466398769457745e-01,6.475199125322076199e+00,2.473086066969082619e+00,-6.551524568889857680e-02,6.118353828195277622e+00
1.186005899250967666e+01,3.330134571372489471e-01,-1.326092494442817349e-01,6.616984185555248921e+00,2.371965074108274951e+00,-6.427723203866150814e-02,6.097580004639470808e+00
1.211842652547628774e+01,2.934560916332082381e-01,-1.506473930952726970e-01,6.779888596342637186e+00,1.966321962889292063e+00,-6.620964227831427351e-02,6.173751136291184771e+00
1.237667197248657125e+01,2.483390680888701296e-01,-1.694209246504562449e-01,6.943750433881011652e+00,-9.810068684009740636e-01,-7.025740690287869683e-02,6.312365214416280956e+00
1.263492900909339411e+01,1.978153141155894745e-01,-1.893485908654176098e-01,6.999999612543634342e+00,-3.295160805797074488e+00,4.046898901609455312e-02,6.400218206645653218e+00
1.289319931920778117e+01,1.466055198364199785e-01,-1.779954377914397534e-01,6.972878004531833263e+00,-3.283381215847259504e+00,4.109106790194417408e-02,6.477043231240041443e+00
