0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,3.609953534884620483e-03,4.000000000000000000e+00,1.249772619980449653e-02,0.000000000000000000e+00,1.093930065551868523e-02
4.999090479921798613e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,3.551180530773492567e-03,4.000000000000000000e+00,1.249772619980449653e-02,1.249772619980449653e-02,1.076119835966580195e-02
9.998178565394735817e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,4.416749596340962050e-03,4.000000000000000000e+00,1.249772619980449653e-02,2.499545239960899307e-02,1.338417671739364385e-02
1.499715701233927945e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,5.924901965444575626e-03,4.000000000000000000e+00,1.249772619980449653e-02,3.749317859941349307e-02,1.795445847450295729e-02
1.999602612371598198e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,7.548276008408183468e-03,4.000000000000000000e+00,1.249772619980449653e-02,4.999090479921798613e-02,2.287399809005377649e-02
2.499552601241393779e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,8.544515171553338298e-03,4.000000000000000000e+00,1.249772619980449653e-02,6.248863099902247920e-02,2.589310036076854574e-02
2.999489911121080432e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,8.152459168112457036e-03,4.000000000000000000e+00,1.249772619980449653e-02,7.498635719882697226e-02,2.470496904272482738e-02
3.499363530991213556e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,5.981294188534817813e-03,4.000000000000000000e+00,1.249772619980449653e-02,8.748408339863146532e-02,1.812535005528369964e-02
3.999245381471417948e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,2.314978892813427010e-03,4.000000000000000000e+00,1.249772619980449653e-02,9.998180959843595839e-02,7.015100085589291538e-03
4.499131810662398423e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,-1.945375458346820406e-03,4.000000000000000000e+00,1.249772619980449653e-02,1.124795357982404514e-01,-5.895084583128443190e-03
4.999055450125097777e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,-5.625480396274877906e-03,4.000000000000000000e+00,1.249772619980449653e-02,1.249772619980449445e-01,-1.704709011636141441e-02
5.498968239374063538e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,-7.691180188303683128e-03,4.000000000000000000e+00,1.249772619980449653e-02,1.374749881978494515e-01,-2.330706620373021107e-02
5.998839643543053546e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,-7.648989143394552444e-03,4.000000000000000000e+00,1.249772619980449653e-02,1.499727143976539445e-01,-2.317920703063839141e-02
6.498819327563305492e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,-5.755705514773078180e-03,4.000000000000000000e+00,1.249772619980449653e-02,1.624704405974584376e-01,-1.744172446737215360e-02
6.998809444972252658e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,-2.765478028959671500e-03,4.000000000000000000e+00,1.249772619980449653e-02,1.749681667972629306e-01,-8.380257815107729907e-03
7.498673823301044150e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,6.247798423456731422e-04,4.000000000000000000e+00,1.249772619980449653e-02,1.874658929970674237e-01,1.893272495878561834e-03
7.998591141399885585e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,4.106118151187564819e-03,4.000000000000000000e+00,1.249772619980449653e-02,1.999636191968719168e-01,1.244285220608948653e-02
8.498502067682768280e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,7.698241647385636183e-03,4.000000000000000000e+00,1.249772619980449653e-02,2.124613453966764098e-01,2.332846583160119378e-02
8.998406937805527583e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.154688360634188032e-02,4.000000000000000000e+00,1.249772619980449653e-02,2.249590715964809029e-01,3.499211156883348661e-02
