s_m,ey_m,epsi_rad,v_mps,a_mps2,delta_rad,sdot_mps,dt_s,t_s,curvature_1pm,x_m,y_m,psi_rad,v_mps,x_rollout_m,y_rollout_m,psi_rollout_rad,v_rollout_mps,psi_err_rad,xy_err_m,v_err_mps
0.0,0.0,0.0,4.0,0.0,0.0036099535348846205,4.0,0.012497726199804497,0.0,0.010939300655518685,0.4360000000000226,-7.505840000000006,-0.027478333013176273,4.0,0.4360000000000226,-7.505840000000006,-0.027478333013176273,4.0,0.0,0.0,0.0
0.049990904799217986,0.0,0.0,4.0,0.0,0.0035511805307734926,4.0,0.012497726199804497,0.012497726199804497,0.010761198359665802,0.48597203295080815,-7.507213493869713,-0.026768579659169636,4.0,0.4859724060182415,-7.5071998298102605,-0.026931467475536215,4.0,-0.0001628878163666414,1.3669151401585898e-05,0.0
0.09998178565394736,0.0,0.0,4.0,0.0,0.004416749596340962,4.0,0.012497726199804497,0.024995452399608993,0.013384176717393644,0.5359459425399662,-7.508516050135725,-0.023486894292366486,4.0,0.5359455422957187,-7.508532553700188,-0.026393505432812662,4.0,-0.0029066111404461026,1.650841710850861e-05,0.0
0.1499715701233928,0.0,0.0,4.0,0.0,0.005924901965444576,4.0,0.012497726199804497,0.03749317859941349,0.017954458474502957,0.5859240270823909,-7.509561487550613,-0.023516873268552733,4.0,0.5859194734740427,-7.509835117324885,-0.025724418328717528,4.0,-0.0022075450601648505,0.00027366766107275194,0.0
0.19996026123715982,0.0,0.0,4.0,0.0,0.0075482760084081835,4.0,0.012497726199804497,0.049990904799217986,0.022873998090053776,0.6358956801294764,-7.510866988854147,-0.03249292318534441,4.0,0.6358944089035686,-7.511098534787226,-0.024826858704397138,4.0,0.007666064480947199,0.0002315494226737665,0.0
0.24995526012413938,0.0,0.0,4.0,0.0,0.008544515171553338,4.0,0.012497726199804497,0.06248863099902248,0.025893100360768546,0.6858612452775414,-7.512809883193199,-0.031098365367178072,4.0,0.6858706066138963,-7.512310950867064,-0.023683366843499767,4.0,0.007414998523678218,0.0004990201405570385,0.0
0.29994899111210804,0.0,0.0,4.0,0.0,0.008152459168112457,4.0,0.012497726199804497,0.07498635719882697,0.024704969042724827,0.7358347966482642,-7.513975934307759,-0.020510345687869084,4.0,0.7358482443104825,-7.513462447273135,-0.02238894732840799,4.0,-0.0018786016405387684,0.000513663094202837,0.0
0.34993635309912136,0.0,0.0,4.0,0.0,0.005981294188534818,4.0,0.012497726199804497,0.08748408339863147,0.0181253500552837,0.7858149415912105,-7.514860255578412,-0.014879011351284518,4.0,0.7858272986718327,-7.514550734982271,-0.021153923572925507,4.0,-0.006274912221640783,0.00030976716558888144,0.0
0.3999245381471418,0.0,0.0,4.0,0.0,0.002314978892813427,4.0,0.012497726199804497,0.09998180959843596,0.0070151000855892915,0.8358001003151949,-7.515463428967024,-0.013570674067590214,4.0,0.8358074909397322,-7.515585516371864,-0.02024782092385932,4.0,-0.006677146856269189,0.00012231089792661036,0.0
0.44991318106623984,0.0,0.0,4.0,0.0,-0.0019453754583468204,4.0,0.012497726199804497,0.11247953579824045,-0.005895084583128443,0.8857830215025286,-7.516216973094885,-0.020335776146629986,4.0,0.8857883250465635,-7.516588890189276,-0.01989712972332364,4.0,0.00043864642330637693,0.0003719549067824878,0.0
0.4999055450125098,0.0,0.0,4.0,0.0,-0.005625480396274878,4.0,0.012497726199804497,0.12497726199804494,-0.017047090116361414,0.9357641548884514,-7.517496555873599,-0.0167100275933201,4.0,0.9357691872988083,-7.517590864779649,-0.02019183033550215,4.0,-0.0034818027421819053,9.444307764112101e-05,0.0
0.5498968239374064,0.0,0.0,4.0,0.0,-0.007691180188303683,4.0,0.012497726199804497,0.13747498819784945,-0.02330706620373021,0.9857516208611412,-7.517887606645758,-0.013058404656091737,4.0,0.985749465419195,-7.518621500703487,-0.021044029794612864,4.0,-0.00798562513852108,0.0007338972229819753,0.0
