x_rollout_m,y_rollout_m,psi_rollout_rad,v_rollout_mps,psi_err_rad,xy_err_m,v_err_mps
0.4360000000000226,-7.505840000000006,-0.027478333013176273,4.0,0.0,0.0,0.0
0.4859724060182415,-7.5071998298102605,-0.026931467475536215,4.0,-0.0001628878163666414,1.3669151401585898e-05,0.0
0.5359455422957187,-7.508532553700188,-0.026393505432812662,4.0,-0.0029066111404461026,1.650841710850861e-05,0.0
0.5859194734740427,-7.509835117324885,-0.025724418328717528,4.0,-0.0022075450601648505,0.00027366766107275194,0.0
0.6358944089035686,-7.511098534787226,-0.024826858704397138,4.0,0.007666064480947199,0.0002315494226737665,0.0
0.6858706066138963,-7.512310950867064,-0.023683366843499767,4.0,0.007414998523678218,0.0004990201405570385,0.0
0.7358482443104825,-7.513462447273135,-0.02238894732840799,4.0,-0.0018786016405387684,0.000513663094202837,0.0
0.7858272986718327,-7.514550734982271,-0.021153923572925507,4.0,-0.006274912221640783,0.00030976716558888144,0.0
0.8358074909397322,-7.515585516371864,-0.02024782092385932,4.0,-0.006677146856269189,0.00012231089792661036,0.0
0.8857883250465635,-7.516588890189276,-0.01989712972332364,4.0,0.00043864642330637693,0.0003719549067824878,0.0
0.9357691872988083,-7.517590864779649,-0.02019183033550215,4.0,-0.0034818027421819053,9.444307764112101e-05,0.0
0.985749465419195,-7.518621500703487,-0.021044029794612864,4.0,-0.00798562513852108,0.0007338972229819753,0.0
1.0357286772277676,-7.519702549692842,-0.02220917112235261,4.0,0.010661210746368166,0.0009005271539079732,0.0
1.0857065992087296,-7.520841671056813,-0.02336792065434262,4.0,0.011040847505108253,0.00033250484002635307,0.0
1.135683340047476,-7.522031536365094,-0.02423984824172521,4.0,-0.002267300231841407,0.00021112204078785053,0.0
1.1856593037168988,-7.523253658047313,-0.024658784912353165,4.0,0.0024391143424784545,0.00011797736075849862,0.0
1.235635068915091,-7.524483883081233,-0.02456413850725272,4.0,0.0018688551141705645,0.0004676899640968604,0.0
1.2856112709539136,-7.525696199805579,-0.023942109067187363,4.0,0.0009668463195007249,0.00031746676644442764,0.0
1.335588534946367,-7.526863831268317,-0.022775897952687977,4.0,-0.00025181379250271974,0.0005779571675132866,0.0
