x_m,y_m,psi_rad,v_mps
0.4360000000000226,-7.505840000000006,-0.027478333013176273,4.0
0.48597203295080815,-7.507213493869713,-0.026768579659169636,4.0
0.5359459425399662,-7.508516050135725,-0.023486894292366486,4.0
0.5859240270823909,-7.509561487550613,-0.023516873268552733,4.0
0.6358956801294764,-7.510866988854147,-0.03249292318534441,4.0
0.6858612452775414,-7.512809883193199,-0.031098365367178072,4.0
0.7358347966482642,-7.513975934307759,-0.020510345687869084,4.0
0.7858149415912105,-7.514860255578412,-0.014879011351284518,4.0
0.8358001003151949,-7.515463428967024,-0.013570674067590214,4.0
0.8857830215025286,-7.516216973094885,-0.020335776146629986,4.0
0.9357641548884514,-7.517496555873599,-0.0167100275933201,4.0
0.9857516208611412,-7.517887606645758,-0.013058404656091737,4.0
1.0357299119396055,-7.5188020233853905,-0.032870381868720856,4.0
1.0856935416238342,-7.521173919409883,-0.03440876815945089,4.0
1.1356687442655133,-7.522242153266731,-0.02197254800988386,4.0
1.18564228516499,-7.523370401469151,-0.027097899254831487,4.0
1.2356155013955776,-7.52495116352668,-0.02643299362142341,4.0
1.2855895435212257,-7.526012922186325,-0.024908955386688286,4.0
1.3355654601232771,-7.5274413276233005,-0.022524084160185368,4.0
1.3855440959484657,-7.528264687749623,-0.023600270015315727,4.0
1.435516328928413,-7.529800633154592,-0.027719005971156813,4.0
1.4854942996155893,-7.531035917830263,-0.016962379546067153,4.0
1.5354778320850644,-7.5314963807490605,-0.010389631794303926,4.0
1.5854655675190508,-7.532074619868098,-0.0031237290869926574,4.0
1.635455456331791,-7.531808684777757,0.0005072332267621588,4.0
1.6854461082972527,-7.532023906411436,-0.00338093382778072,3.9740487021755273
1.735436682056675,-7.5321467159739335,0.0036170064837893782,3.9234087027569853
1.7854239655980877,-7.53166228427634,0.020399332629274503,3.8721064823265783
1.8354022774893157,-7.530107201630452,0.028534705275076715,3.820115361096019
1.885377491477183,-7.528809365522028,0.029033718566640426,3.7674068181825047
1.9353450906931553,-7.527204674504957,0.03593140070555361,3.7139503086732706
1.9853007972574226,-7.525217435243327,0.04430812816985406,3.6597130566344322
2.0352389009224217,-7.522775668021601,0.05406783429024141,3.6046598200810567
2.0851521529589943,-7.519813421756862,0.06510699440037548,3.5487526231216866
2.135031645049087,-7.516269266415974,0.07733779037589428,3.4919504494937077
2.1848668799550484,-7.5120862932935335,0.09487406014538348,3.43420889046161
2.2346023832758424,-7.5067941403223974,0.12150152229693843,3.3866863718013382
2.2842177900614358,-7.499955252324995,0.13852771264720284,3.3879641664060407
2.333758864438439,-7.492969676301849,0.14611892202243548,3.424654101781298
2.3836456702124655,-7.485322670311943,0.16052306550782747,3.460955105291538
2.4329271464357847,-7.476912725518638,0.17733746631883995,3.496879289429312
2.4820739863265624,-7.4676823320746255,0.1943483566901515,3.5324381507445732
