s_m,ey_m,epsi_rad,v_mps,a_mps2,delta_rad,sdot_mps,dt_s,t_s,curvature_1pm
0.0,0.0,0.0,4.0,0.0,0.0036099535348846205,4.0,0.012497726199804497,0.0,0.010939300655518685
0.049990904799217986,0.0,0.0,4.0,0.0,0.0035511805307734926,4.0,0.012497726199804497,0.012497726199804497,0.010761198359665802
0.09998178565394736,0.0,0.0,4.0,0.0,0.004416749596340962,4.0,0.012497726199804497,0.024995452399608993,0.013384176717393644
0.1499715701233928,0.0,0.0,4.0,0.0,0.005924901965444576,4.0,0.012497726199804497,0.03749317859941349,0.017954458474502957
0.19996026123715982,0.0,0.0,4.0,0.0,0.0075482760084081835,4.0,0.012497726199804497,0.049990904799217986,0.022873998090053776
0.24995526012413938,0.0,0.0,4.0,0.0,0.008544515171553338,4.0,0.012497726199804497,0.06248863099902248,0.025893100360768546
0.29994899111210804,0.0,0.0,4.0,0.0,0.008152459168112457,4.0,0.012497726199804497,0.07498635719882697,0.024704969042724827
0.34993635309912136,0.0,0.0,4.0,0.0,0.005981294188534818,4.0,0.012497726199804497,0.08748408339863147,0.0181253500552837
0.3999245381471418,0.0,0.0,4.0,0.0,0.002314978892813427,4.0,0.012497726199804497,0.09998180959843596,0.0070151000855892915
0.44991318106623984,0.0,0.0,4.0,0.0,-0.0019453754583468204,4.0,0.012497726199804497,0.11247953579824045,-0.005895084583128443
0.4999055450125098,0.0,0.0,4.0,0.0,-0.005625480396274878,4.0,0.012497726199804497,0.12497726199804494,-0.017047090116361414
0.5498968239374064,0.0,0.0,4.0,0.0,-0.007691180188303683,4.0,0.012497726199804497,0.13747498819784945,-0.02330706620373021
0.5998839643543054,0.0,0.0,4.0,0.0,-0.0076489891433945524,4.0,0.012497726199804497,0.14997271439765394,-0.02317920703063839
0.6498819327563305,0.0,0.0,4.0,0.0,-0.005755705514773078,4.0,0.012497726199804497,0.16247044059745844,-0.017441724467372154
0.6998809444972253,0.0,0.0,4.0,0.0,-0.0027654780289596715,4.0,0.012497726199804497,0.17496816679726293,-0.00838025781510773
0.7498673823301044,0.0,0.0,4.0,0.0,0.0006247798423456731,4.0,0.012497726199804497,0.18746589299706742,0.0018932724958785618
0.7998591141399886,0.0,0.0,4.0,0.0,0.004106118151187565,4.0,0.012497726199804497,0.19996361919687192,0.012442852206089487
0.8498502067682768,0.0,0.0,4.0,0.0,0.007698241647385636,4.0,0.012497726199804497,0.2124613453966764,0.023328465831601194
0.8998406937805528,0.0,0.0,4.0,0.0,0.01154688360634188,4.0,0.012497726199804497,0.2249590715964809,0.03499211156883349
0.9498306502695377,0.0,0.0,4.0,0.0,0.01573426048748854,4.0,0.012497726199804497,0.2374567977962854,0.04768351225370665
0.9998200053801305,0.0,0.0,4.0,0.0,0.020143054473093867,4.0,0.012497726199804497,0.2499545239960899,0.06104781580010775
