s_m,x_m,y_m,psi_unwrapped_rad,psi_rad,curvature_1pm,v_ref_mps,a_ref_mps2,yaw_rate_ref_radps,delta_ref_rad,dt_s,t_s,ey_ref_m,epsi_ref_rad,w_tr_right_m,w_tr_left_m,x_rollout_m,y_rollout_m,psi_rollout_unwrapped_rad,v_rollout_mps,psi_rollout_rad,psi_err_rad,xy_err_m,v_err_mps
0.0,0.436,-7.50584,-0.028599023300248872,-0.02859902330024866,-0.0012984985222982068,5.219061124921662,-3.999999999999954,-0.006776943158494795,-0.0004285044861316329,0.00961569948154073,0.0,0.0,0.0,0.7,0.7,0.436,-7.50584,-0.028599023300248872,5.219061124921662,-0.02859902330024866,0.0,0.0,0.0
0.05,0.4859807452352981,-7.507227482202718,-0.026885766688930467,-0.026885766688930612,0.018782498548794282,5.1805983269955,-3.9999999999999964,0.09730458055867906,0.006198145148494906,0.009687626223046983,0.00961569948154073,0.0,0.0,0.6999999995729658,0.6999999995729658,0.4859795073417783,-7.507271378704236,-0.028663948226363783,5.1805983269955,-0.028663948226363978,-0.0017781815374333654,4.391395251966213e-05,0.0
0.1,0.5359658873749132,-7.5084463091699165,-0.020252602651764148,-0.020252602651764207,-0.016969092614588233,5.141847822103312,-3.9999999999999774,-0.08725249190338989,-0.00559974203150282,0.00976119159085026,0.01930332570458771,0.0,0.0,0.7000000002029795,0.7000000002029795,0.535959633736792,-7.508680911178186,-0.02772482329892407,5.141847822103312,-0.027724823298924228,-0.007472220647160022,0.0002346853431170117,0.0
0.15000000000000002,0.5859548973241462,-7.509494728683445,-0.028167354657073936,-0.028167354657073762,0.0010582138161183037,5.102803055739911,-4.0,0.005399856694514673,0.0003492105451238631,0.00983645876467798,0.02906451729543797,0.0,0.0,0.6999999999270603,0.6999999999270603,0.5859398243193457,-7.51008817780375,-0.02857327792965348,5.102803055739911,-0.028573277929653695,-0.0004059232725799333,0.0005936405089481728,0.0
0.2,0.6359244466944913,-7.511239381718347,-0.034651842916605585,-0.03465184291660561,0.0021491737636094993,5.063457220681199,-4.000000000000013,0.010882249411847109,0.0007092272230765773,0.009913494388171318,0.03890097606011595,0.0,0.0,0.7000000000388501,0.7000000000388501,0.6359194526700207,-7.511515325078966,-0.028520367238847565,5.063457220681199,-0.028520367238847655,0.006131475677757958,0.00027598854785976527,0.0
0.25,0.6859032092074988,-7.512696540681825,-0.02540695053042434,-0.02540695053042441,0.013936245441493035,5.023803243128514,-3.9999999999999916,0.07001295504600767,0.004598928572751189,0.009992368816953666,0.04881447044828727,0.0,0.0,0.6999999999576474,0.6999999999576474,0.685899195277165,-7.512938464748099,-0.02841290855066709,5.023803243128514,-0.028412908550667026,-0.003005958020242616,0.00024195736293677948,0.0
0.30000000000000004,0.735889539226259,-7.513865646860632,-0.02130444185107135,-0.0213044418510715,-0.0017171088462182987,4.983833767860699,-3.999999999999965,-0.008557785050875082,-0.0005666458586043913,0.010073156388764248,0.05880683926524093,0.0,0.0,0.7000000001364437,0.7000000001364437,0.7358795051509357,-7.514341505647203,-0.027716096278592436,4.983833767860699,-0.027716096278592506,-0.0064116544275210074,0.00047596456530377644,0.0
0.35000000000000003,0.7858817616736427,-7.514747531625068,-0.012434090408678301,-0.012434090408678156,-0.004871387316574605,4.943541142305643,-4.000000000000038,-0.02408190361959244,-0.0016075564296988917,0.010155935718014666,0.06887999565400518,0.0,0.0,0.6999999994677713,0.6999999994677713,0.7858602422872342,-7.515729278602896,-0.027801951720903353,4.943541142305643,-0.027801951720903162,-0.015367861312225006,0.0009819827964199833,0.0
0.4,0.8358782466437008,-7.515340861825646,-0.01753071030796102,-0.01753071030796116,0.0026796797033276296,4.9029173994335835,-3.999999999999985,0.013138248242354059,0.0008842940715991306,0.010240790017421546,0.07903593137201985,0.0,0.0,0.7000000020417597,0.7000000020417597,0.8358407500539218,-7.517125283984075,-0.028045521086732084,4.9029173994335835,-0.028045521086732084,-0.010514810778770922,0.0017848160784070277,0.0
0.45,0.8858644568299561,-7.516514830105721,-0.023398968780579607,-0.023398968780579565,0.007452824906003808,4.8619542393638975,-3.9999999999999853,0.03623529364698205,0.0024594272601224446,0.010327807449706888,0.0892767213894414,0.0,0.0,0.6999999915205649,0.6999999915205649,0.8858211813408564,-7.518524027932054,-0.0279115371015657,4.8619542393638975,-0.02791153710156591,-0.004512568320986343,0.002009663820965845,0.0
